1,AL,27932,28405,29237,29583,30180,30296,29796,29644,29985,29913,31067,32347,33365,32836,31916,31524,31847,31729,31587,32754,33128,33105,32796,32236,31687,32000,32490,33097,34383,35613,35032,33394,32261,31821,31989,31996,31843,32150,32188,32428,32150,31343,31373,30650,29848,30348,30420,31599,33284,34926,33022,31826,31207,31821,32933,34842,35307,35373,36081,35711,35399,35015,35127,34313,33591,32759,31766,30604,29768,27767,27566,27019,27031,26540,19327,19242,19092,18885,16073,14396,13608,12948,11859,10386,9766,9969,8992,8016,7039,6063,5086,4110,3133,2157,1180,623
2,AK,4716,4644,4753,4972,5101,5155,5087,5011,5067,5023,5010,4931,4956,4892,4737,4785,4691,4644,4039,3633,3944,4087,4314,4473,4540,4888,5085,5305,5636,5702,5730,5513,5523,5295,5422,5349,5190,5262,4986,4860,4609,4333,4244,4077,3911,3894,3720,3831,3994,4291,4238,3938,3909,4063,4150,4340,4483,4543,4620,4575,4528,4421,4375,4298,4219,4115,3811,3621,3415,3101,2941,2676,2560,2463,1844,1789,1670,1539,1359,1214,1023,905,868,748,673,700,632,565,498,431,364,296,229,162,95,85
4,AZ,38172,38799,39904,41505,42283,43521,43159,43436,43151,43685,44842,46781,48686,48361,47012,46315,46191,44959,47064,47487,46449,46322,46106,47142,46998,47073,47424,48054,49336,49692,48827,46712,45704,44844,45228,44608,44121,45140,45254,45260,44369,42313,42194,41456,41085,41718,40764,40656,42698,45004,43245,41672,40599,40791,41398,43504,44519,44938,45492,45596,45090,45111,45639,44758,43994,43599,43278,42365,41625,39699,39366,38919,39605,39738,28915,28820,28435,27877,24025,21464,19581,17954,16212,14298,13085,13458,12149,10841,9532,8224,6916,5607,4299,2990,1682,1141
5,AR,17402,17578,18169,18326,18786,18764,18506,18415,18643,18886,19462,20057,20740,20766,20168,19811,19848,19500,18996,19193,19569,19586,19756,19366,19048,18937,19185,19557,20148,20679,20385,19496,19121,18843,18921,18970,18964,19312,19234,19412,19143,18361,18327,17815,17338,17746,17514,17944,18789,19527,18467,17747,17453,17764,18297,19722,20269,20225,20287,20178,19897,19647,19770,19330,19080,18668,18240,17641,17070,16150,15844,15668,15587,15583,11355,11544,11367,11115,9702,8875,8074,7545,6902,6029,5759,6017,5441,4865,4289,3713,3138,2562,1986,1410,834,791
6,CA,217759,218987,225286,234103,237596,241777,239213,241870,241855,245221,247323,253173,261992,260648,254624,252689,253851,251085,255346,249781,244921,244465,248216,256905,265108,272838,279947,287206,297265,306682,305082,295916,288317,280745,279614,278244,274149,276798,273495,269699,263821,253110,250533,247250,244523,245661,240654,243256,250420,262934,258888,249689,242217,241022,243370,252424,254368,253631,251835,251099,246423,239500,237173,229382,224086,219178,208676,201578,192378,183021,179211,171989,169543,166566,127722,125468,119993,116058,101159,92677,86731,81107,75427,68568,63904,69811,63420,57030,50640,44249,37859,31469,25078,18688,18012,12298
8,CO,30457,30617,31587,32355,33184,33565,33366,33334,33490,34214,35394,36082,37026,37140,36455,36374,36634,35742,35467,35919,34247,34220,35110,36650,38180,39853,41676,43519,44540,44945,44867,43732,43209,42916,43009,42394,41728,41784,41041,40812,39606,37931,37262,35863,34777,34571,33634,34051,35489,37368,36025,34597,32928,32630,33075,35085,36003,36471,37323,37363,36780,36254,35924,34995,34275,33328,32299,31544,30257,27960,26990,25709,25431,25018,17715,17261,16691,16093,13855,12263,11260,10664,9620,8637,7977,8569,7771,6973,6176,5378,4581,3783,2985,2188,1809,1390
9,CT,16817,17233,17783,18280,18680,18936,18756,19149,19430,19947,20463,21310,22271,22618,22517,22727,23026,22953,25134,25692,25864,25066,22909,21445,21321,21476,21794,22088,21586,21357,21637,21871,22518,22660,23083,22588,22484,22855,22846,22715,22545,22062,21825,21432,21021,21109,21174,22117,23753,25750,25633,25307,25105,25959,26958,27969,28048,27630,27852,27727,27145,26525,26157,24989,24162,23189,21955,21133,20247,18834,18475,18064,18514,18714,13731,13464,13581,13682,11524,10143,9423,9006,8469,7704,7260,8389,7663,6937,6211,5485,4759,4033,3444,3307,2581,1855
10,DE,5120,5193,5289,5464,5698,5593,5485,5527,5617,5707,5813,5933,6133,6122,6045,6028,5967,5876,6478,6443,6068,5564,5511,5477,5634,5889,6043,6238,6475,6823,6930,6881,6562,6335,6338,6171,6106,6112,6112,6150,6024,5920,5841,5543,5398,5428,5388,5582,5981,6546,6442,6225,6369,6650,6845,7177,7270,7441,7498,7533,7395,7455,7664,7466,7405,7227,7052,6975,6818,6268,6039,6016,6097,6023,4317,4209,4176,4107,3470,3054,2755,2547,2360,2067,1895,1993,1803,1614,1424,1235,1046,856,667,477,302,288
11,DC,4355,4201,4161,4078,4055,4130,3685,3684,3653,3431,3301,3187,3142,2965,2677,2603,2546,2567,4854,6404,5435,4600,4231,5795,7093,7872,8371,8385,8792,8916,8582,8695,8572,7971,7654,7211,6935,6548,6194,5741,5337,4975,4584,4221,3928,3801,3636,3685,3714,3837,3657,3481,3452,3384,3398,3621,3591,3637,3626,3574,3512,3442,3447,3389,3312,3284,3271,3088,2984,2891,2815,2653,2613,2461,1923,1882,1838,1803,1570,1391,1385,1228,1150,1060,970,1107,1010,913,816,719,622,525,428,420,331,234
12,FL,106048,107613,110236,112086,114461,114446,113911,113307,114663,115346,117644,120784,125581,125794,123401,120932,121084,118269,117695,117638,119914,120752,121741,123400,124872,126891,129674,133229,138125,143410,144218,140416,137150,134790,135090,134810,134428,136599,135376,134948,133003,129826,130446,128729,127090,128032,127884,131991,138956,145514,140222,135964,135542,139912,143746,152208,154913,154762,156008,155161,152268,151695,152201,149312,147395,145997,143795,141018,139075,132823,130977,130448,133229,134938,101208,99815,100260,99789,85794,77499,71512,67392,62205,55910,51359,54094,48958,43822,38686,33550,28415,23279,18143,13007,8342,7871
