1,AL,145337,311165,159441,162952,492685,689463,620816
2,AK,24186,49869,21792,21358,79746,88291,63705
4,AZ,200663,452634,232016,233017,697277,899101,865201
5,AR,90261,194407,97348,97325,291164,392810,361591
6,CA,1133731,2487696,1262752,1259615,4265997,5247128,4109649
8,CO,158200,350066,180136,178407,640025,748832,593623
9,CT,88793,205397,119532,116605,333558,518121,453609
10,DE,26764,57975,30792,28254,95165,134496,135167
11,DC,20850,33855,18974,27154,116439,80651,62975
12,FL,550444,1184877,595618,610679,2039154,2942177,3023813
13,GA,316680,708246,367519,352740,1117974,1503168,1111708
15,HI,42078,85085,38126,40303,145345,185593,185709
16,ID,55950,129376,63943,56873,177842,226397,201511
17,IL,361804,791915,412100,406628,1295902,1734424,1474782
18,IN,202753,439900,226432,229912,655575,890367,773588
19,IA,95016,205144,106395,109157,293827,398927,383253
20,KS,89785,198212,98966,101032,280242,363964,333760
21,KY,132089,279721,142475,143797,429228,610229,535253
22,LA,145314,303715,145958,148184,484350,611801,534177
23,ME,31134,69954,38324,36402,122511,193169,198988
24,MD,179031,380304,193406,184101,634338,884306,711443
25,MA,174736,380444,231895,245492,731703,979490,851435
26,MI,275475,598167,320448,330736,948322,1355515,1255048
27,MN,170332,368323,182313,175126,565924,737862,646578
28,MS,88892,195535,99019,97640,290086,399419,348149
29,MO,178857,382817,193212,196761,606714,809111,749465
30,MT,29368,64888,31889,33891,101900,134212,139018
31,NE,63613,133694,66997,66200,188705,238928,217982
32,NV,89252,195345,90531,88717,328637,410814,336705
33,NH,31146,71427,42276,42516,125586,197476,180127
34,NJ,261158,564463,284950,273393,891473,1336069,1106214
35,NM,58755,136339,69464,67353,204805,265322,261639
36,NY,564751,1146089,605222,646306,2137391,2779940,2448915
37,NC,291694,639567,340132,332874,1039312,1450915,1238957
38,ND,26140,51298,23979,29604,77512,86389,83111
39,OH,336922,722764,375759,367442,1140601,1570607,1464119
40,OK,122763,267583,130500,130814,395554,496608,443804
41,OR,107966,244232,121857,128143,444281,554028,523899
42,PA,341357,744805,404687,391986,1247344,1746553,1709698
44,RI,27271,57838,37033,37871,109076,151221,139322
45,SC,139573,312866,159461,157442,503925,699138,654587
46,SD,29420,60463,28760,28207,81413,105090,103132
47,TN,199421,424244,212476,220069,701210,945137,817737
48,TX,956700,2082714,1023430,968860,3110318,3780537,2672180
49,UT,118830,263267,129492,130356,347028,369672,257060
50,VT,14280,32495,20861,22276,56908,87862,88562
51,VA,246693,521758,273464,274541,880669,1189547,971907
53,WA,219739,469165,224251,229034,840648,996519,845492
54,WV,44617,100915,51878,53508,155185,243824,249353
55,WI,160899,357197,189708,192208,547809,782025,711615
56,WY,16305,37482,17886,17542,54896,70151,66890
