table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Alaska: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,733391,384439,348952,732441,383943,348498,732673,384204,348469
.0,9657,4941,4716,9626,4920,4706,9236,4797,4439
.1,9631,4987,4644,9575,4952,4623,9569,4855,4714
.2,9904,5151,4753,9792,5080,4712,9403,4867,4536
.3,10207,5235,4972,10095,5196,4899,9731,4996,4735
.4,10494,5393,5101,10411,5347,5064,10172,5228,4944
.5,10352,5197,5155,10347,5225,5122,10296,5292,5004
.6,10319,5232,5087,10321,5224,5097,10279,5237,5042
.7,10308,5297,5011,10279,5264,5015,10286,5181,5105
.8,10396,5329,5067,10316,5282,5034,10243,5255,4988
.9,10388,5365,5023,10341,5342,4999,10181,5228,4953
.10,10292,5282,5010,10287,5285,5002,10308,5299,5009
.11,10406,5475,4931,10303,5394,4909,10184,5213,4971
.12,10408,5452,4956,10427,5471,4956,10239,5351,4888
.13,10157,5265,4892,10172,5283,4889,10265,5368,4897
.14,9729,4992,4737,9796,5041,4755,10084,5250,4834
.15,9773,4988,4785,9757,4987,4770,9724,5006,4718
.16,9609,4918,4691,9640,4931,4709,9637,4933,4704
.17,9537,4893,4644,9534,4895,4639,9519,4891,4628
.18,8589,4550,4039,8569,4552,4017,8568,4552,4016
.19,8266,4633,3633,8257,4624,3633,8073,4528,3545
.20,9424,5480,3944,9438,5479,3959,9620,5621,3999
.21,9873,5786,4087,9798,5738,4060,9982,5831,4151
.22,10095,5781,4314,10072,5771,4301,10060,5783,4277
.23,10314,5841,4473,10267,5805,4462,10161,5728,4433
.24,10465,5925,4540,10413,5892,4521,10440,5883,4557
.25,10905,6017,4888,10750,5944,4806,10491,5851,4640
.26,11121,6036,5085,11043,6011,5032,10748,5844,4904
.27,11524,6219,5305,11378,6138,5240,11057,6001,5056
.28,12001,6365,5636,11857,6309,5548,11357,6108,5249
.29,12085,6383,5702,12021,6337,5684,11911,6309,5602
.30,11911,6181,5730,11968,6234,5734,11977,6333,5644
.31,11528,6015,5513,11551,6014,5537,11940,6211,5729
.32,11425,5902,5523,11401,5895,5506,11550,5961,5589
.33,11262,5967,5295,11269,5932,5337,11323,5845,5478
.34,11458,6036,5422,11368,6000,5368,11200,5862,5338
.35,11265,5916,5349,11336,5958,5378,11409,6063,5346
.36,11019,5829,5190,10992,5802,5190,11328,5970,5358
.37,11110,5848,5262,11073,5834,5239,10893,5765,5128
.38,10490,5504,4986,10651,5606,5045,10951,5783,5168
.39,10206,5346,4860,10204,5348,4856,10599,5572,5027
.40,9728,5119,4609,9878,5190,4688,10090,5305,4785
.41,9147,4814,4333,9247,4870,4377,9803,5174,4629
.42,8920,4676,4244,8873,4656,4217,9127,4813,4314
.43,8587,4510,4077,8708,4567,4141,8821,4624,4197
.44,8310,4399,3911,8283,4385,3898,8636,4570,4066
.45,8248,4354,3894,8259,4363,3896,8190,4339,3851
.46,7956,4236,3720,7991,4243,3748,8231,4370,3861
.47,8151,4320,3831,8055,4267,3788,7858,4173,3685
.48,8520,4526,3994,8397,4460,3937,7958,4197,3761
.49,9101,4810,4291,8969,4756,4213,8388,4483,3905
.50,8914,4676,4238,8950,4700,4250,8860,4702,4158
.51,8514,4576,3938,8558,4573,3985,8749,4583,4166
.52,8284,4375,3909,8299,4398,3901,8494,4523,3971
.53,8474,4411,4063,8381,4364,4017,8224,4324,3900
.54,8698,4548,4150,8585,4497,4088,8211,4305,3906
.55,9181,4841,4340,9037,4759,4278,8441,4425,4016
.56,9440,4957,4483,9348,4910,4438,8807,4609,4198
.57,9607,5064,4543,9548,5032,4516,9205,4829,4376
.58,9729,5109,4620,9622,5055,4567,9337,4913,4424
.59,9691,5116,4575,9656,5083,4573,9350,4871,4479
.60,9597,5069,4528,9563,5056,4507,9491,4985,4506
.61,9199,4778,4421,9197,4790,4407,9321,4892,4429
.62,9142,4767,4375,9055,4714,4341,8974,4690,4284
.63,8823,4525,4298,8900,4588,4312,8796,4568,4228
.64,8534,4315,4219,8496,4304,4192,8654,4444,4210
.65,8473,4358,4115,8427,4318,4109,8237,4178,4059
.66,7941,4130,3811,8024,4148,3876,8171,4156,4015
.67,7474,3853,3621,7526,3880,3646,7774,4009,3765
.68,7026,3611,3415,7038,3618,3420,7276,3720,3556
.69,6378,3277,3101,6524,3351,3173,6839,3494,3345
.70,6138,3197,2941,6140,3183,2957,6334,3235,3099
.71,5626,2950,2676,5712,2991,2721,5918,3053,2865
.72,5382,2822,2560,5333,2788,2545,5532,2881,2651
.73,5117,2654,2463,5382,2796,2586,5130,2675,2455
.74,3699,1855,1844,3782,1907,1875,5215,2700,2515
.75,3614,1825,1789,3601,1814,1787,3608,1822,1786
.76,3395,1725,1670,3390,1720,1670,3474,1743,1731
.77,3137,1598,1539,3232,1639,1593,3233,1633,1600
.78,2672,1313,1359,2702,1340,1362,3069,1550,1519
.79,2383,1169,1214,2404,1174,1230,2529,1249,1280
.80,1985,962,1023,2050,991,1059,2263,1100,1163
.81,1735,830,905,1758,851,907,1908,924,984
.82,1594,726,868,1618,745,873,1667,788,879
.83,1399,651,748,1413,654,759,1488,680,808
.84,1228,555,673,1220,552,668,1260,581,679
.85+,6597,2535,4062,6615,2561,4054,6738,2671,4067
,,,,,,,,,
.Median Age (years),35.3,35,35.6,35.3,35,35.7,35.6,35.3,35.9
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Alaska: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-02)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
