table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Arkansas: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,3011524,1486608,1524916,3012232,1486839,1525393,3025891,1493178,1532713
.0,35611,18209,17402,35293,18173,17120,34720,17734,16986
.1,36058,18480,17578,35922,18390,17532,35559,18345,17214
.2,37065,18896,18169,36878,18815,18063,36336,18597,17739
.3,37596,19270,18326,37386,19129,18257,37152,18947,18205
.4,38592,19806,18786,38446,19711,18735,37793,19357,18436
.5,38630,19866,18764,38657,19869,18788,38742,19895,18847
.6,38044,19538,18506,38283,19675,18608,38968,20021,18947
.7,38005,19590,18415,38004,19559,18445,38494,19753,18741
.8,38647,20004,18643,38414,19855,18559,38217,19670,18547
.9,38747,19861,18886,38706,19911,18795,38676,19976,18700
.10,39906,20444,19462,39632,20306,19326,38970,20026,18944
.11,41101,21044,20057,40680,20828,19852,39874,20458,19416
.12,42597,21857,20740,42452,21774,20678,40920,20905,20015
.13,42562,21796,20766,42552,21802,20750,42665,21899,20766
.14,41137,20969,20168,41472,21156,20316,42669,21839,20830
.15,40638,20827,19811,40827,20894,19933,41680,21280,20400
.16,40738,20890,19848,40814,20936,19878,41010,21040,19970
.17,40220,20720,19500,40375,20763,19612,40944,20954,19990
.18,38921,19925,18996,38711,19839,18872,39203,20175,19028
.19,39417,20224,19193,39324,20161,19163,38798,19897,18901
.20,40197,20628,19569,40467,20787,19680,40490,20846,19644
.21,39836,20250,19586,39770,20248,19522,40590,20758,19832
.22,39859,20103,19756,39919,20134,19785,40378,20405,19973
.23,38904,19538,19366,38990,19560,19430,39496,19779,19717
.24,38540,19492,19048,38441,19440,19001,38976,19633,19343
.25,38243,19306,18937,38282,19343,18939,38319,19415,18904
.26,38595,19410,19185,38573,19408,19165,38291,19206,19085
.27,39233,19676,19557,39007,19585,19422,38688,19506,19182
.28,40212,20064,20148,40026,20018,20008,39249,19716,19533
.29,41362,20683,20679,41099,20534,20565,40303,20141,20162
.30,40687,20302,20385,41094,20505,20589,41389,20663,20726
.31,39023,19527,19496,39334,19663,19671,41378,20582,20796
.32,38159,19038,19121,38298,19100,19198,39565,19791,19774
.33,37651,18808,18843,37725,18836,18889,38553,19184,19369
.34,37809,18888,18921,37759,18850,18909,37908,18917,18991
.35,37796,18826,18970,38005,18923,19082,37890,18903,18987
.36,38200,19236,18964,37887,19015,18872,38318,19128,19190
.37,38718,19406,19312,38687,19411,19276,38115,19064,19051
.38,38716,19482,19234,38887,19540,19347,38709,19373,19336
.39,39023,19611,19412,38800,19498,19302,38991,19602,19389
.40,38407,19264,19143,38792,19463,19329,38719,19433,19286
.41,36824,18463,18361,37175,18627,18548,38942,19534,19408
.42,36530,18203,18327,36387,18156,18231,37252,18641,18611
.43,35430,17615,17815,35968,17892,18076,36589,18272,18317
.44,34631,17293,17338,34492,17186,17306,35915,17771,18144
.45,35216,17470,17746,35277,17530,17747,34557,17222,17335
.46,34755,17241,17514,34754,17238,17516,35386,17590,17796
.47,35402,17458,17944,35132,17337,17795,34739,17237,17502
.48,37156,18367,18789,36715,18124,18591,34957,17197,17760
.49,38890,19363,19527,38624,19209,19415,36688,18111,18577
.50,37139,18672,18467,37572,18821,18751,38547,19167,19380
.51,35609,17862,17747,35840,17993,17847,37675,18843,18832
.52,34829,17376,17453,34901,17424,17477,35834,17961,17873
.53,35546,17782,17764,35394,17696,17698,34960,17496,17464
.54,36322,18025,18297,35988,17886,18102,35148,17450,17698
.55,38836,19114,19722,38188,18805,19383,35738,17682,18056
.56,39882,19613,20269,39738,19556,20182,38180,18839,19341
.57,39804,19579,20225,39834,19565,20269,39521,19337,20184
.58,40073,19786,20287,39975,19710,20265,39793,19482,20311
.59,39555,19377,20178,39805,19533,20272,39715,19505,20210
.60,39003,19106,19897,39002,19086,19916,39581,19311,20270
.61,38466,18819,19647,38431,18782,19649,38777,18876,19901
.62,38228,18458,19770,38132,18474,19658,38208,18635,19573
.63,37280,17950,19330,37758,18185,19573,37915,18347,19568
.64,36395,17315,19080,36301,17309,18992,37468,17955,19513
.65,35577,16909,18668,35659,16925,18734,35931,17093,18838
.66,34674,16434,18240,34860,16504,18356,35306,16705,18601
.67,33462,15821,17641,33515,15841,17674,34335,16174,18161
.68,32416,15346,17070,32334,15287,17047,33025,15538,17487
.69,30380,14230,16150,30970,14515,16455,31742,14922,16820
.70,29696,13852,15844,29628,13805,15823,30294,14099,16195
.71,29274,13606,15668,29215,13560,15655,28879,13383,15496
.72,29416,13829,15587,28756,13456,15300,28436,13139,15297
.73,29518,13935,15583,30695,14449,16246,27864,12986,14878
.74,21058,9703,11355,21539,9955,11584,29610,13816,15794
.75,21185,9641,11544,21044,9582,11462,20662,9466,11196
.76,20864,9497,11367,20587,9348,11239,20282,9202,11080
.77,20189,9074,11115,20573,9240,11333,19658,8842,10816
.78,17520,7818,9702,17631,7885,9746,19558,8727,10831
.79,15913,7038,8875,15938,7043,8895,16588,7364,9224
.80,14529,6455,8074,14613,6461,8152,14988,6548,8440
.81,13384,5839,7545,13366,5862,7504,13588,5923,7665
.82,12105,5203,6902,12231,5254,6977,12383,5337,7046
.83,10635,4606,6029,10693,4601,6092,11223,4768,6455
.84,9810,4051,5759,9795,4087,5708,9658,4065,5593
.85+,54716,19660,35056,54537,19648,34889,54091,19807,34284
,,,,,,,,,
.Median Age (years),38.5,37.4,39.6,38.5,37.4,39.6,38.6,37.5,39.7
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Arkansas: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-05)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
