table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for California: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,39538223,19771649,19766574,39499738,19752709,19747029,39237836,19617190,19620646
.0,445470,227711,217759,439018,224668,214350,422861,216442,206419
.1,448027,229040,218987,446641,228190,218451,432883,221632,211251
.2,461505,236219,225286,457282,233916,223366,440896,225100,215796
.3,479513,245410,234103,473206,242163,231043,452329,231373,220956
.4,486785,249189,237596,485015,248222,236793,468176,239558,228618
.5,495278,253501,241777,492719,252259,240460,480303,245784,234519
.6,490958,251745,239213,491656,252081,239575,487735,249696,238039
.7,494655,252785,241870,492431,251816,240615,487035,249679,237356
.8,496041,254186,241855,493044,252375,240669,487848,249457,238391
.9,503104,257883,245221,500550,256721,243829,488744,250168,238576
.10,506920,259597,247323,505691,259036,246655,496286,254671,241615
.11,519686,266513,253173,513483,263176,250307,501622,257023,244599
.12,539024,277032,261992,536090,275412,260678,509362,261082,248280
.13,535111,274463,260648,534547,274431,260116,532061,273359,258702
.14,522001,267377,254624,524515,268787,255728,531161,272714,258447
.15,517256,264567,252689,518357,265243,253114,521654,267423,254231
.16,518398,264547,253851,518204,264521,253683,515661,263828,251833
.17,512805,261720,251085,513732,262130,251602,516014,263481,252533
.18,519733,264387,255346,517267,263051,254216,519591,263899,255692
.19,511969,262188,249781,509306,260820,248486,497475,254413,243062
.20,504713,259792,244921,507831,261353,246478,505650,260223,245427
.21,502310,257845,244465,500565,257281,243284,504397,259682,244715
.22,508783,260567,248216,507792,260142,247650,499404,256228,243176
.23,525839,268934,256905,522820,267302,255518,508867,260177,248690
.24,543625,278517,265108,538531,275701,262830,521368,266080,255288
.25,559068,286230,272838,555755,284556,271199,535773,274146,261627
.26,576022,296075,279947,573045,294344,278701,551630,282084,269546
.27,590575,303369,287206,585856,301244,284612,568329,291697,276632
.28,611767,314502,297265,607313,312328,294985,579496,297668,281828
.29,631749,325067,306682,625762,321693,304069,600065,308204,291861
.30,626804,321722,305082,630425,323710,306715,617886,317621,300265
.31,608448,312532,295916,609514,312956,296558,621666,319025,302641
.32,595343,307026,288317,596854,307432,289422,601154,308745,292409
.33,582614,301869,280745,583911,302186,281725,588093,302918,285175
.34,580364,300750,279614,579835,300559,279276,575550,297565,277985
.35,573716,295472,278244,576719,297511,279208,572226,296330,275896
.36,566063,291914,274149,564143,290693,273450,568765,293250,275515
.37,570411,293613,276798,568640,292793,275847,556732,286878,269854
.38,561237,287742,273495,564828,289790,275038,560944,288534,272410
.39,551983,282284,269699,550698,281661,269037,557395,285523,271872
.40,539810,275989,263821,545552,279110,266442,544179,278466,265713
.41,514851,261741,253110,518319,263621,254698,537945,274814,263131
.42,507492,256959,250533,506433,256815,249618,511481,259783,251698
.43,498980,251730,247250,502042,253289,248753,500471,253563,246908
.44,493358,248835,244523,491015,247811,243204,496303,250625,245678
.45,495301,249640,245661,495581,249707,245874,485917,245054,240863
.46,484202,243548,240654,485047,244027,241020,489978,246617,243361
.47,488546,245290,243256,485818,243861,241957,479614,240900,238714
.48,504233,253813,250420,500120,251547,248573,480758,241167,239591
.49,530873,267939,262934,524374,264488,259886,493746,247991,245755
.50,524337,265449,258888,525501,265859,259642,518117,261260,256857
.51,504218,254529,249689,505796,255391,250405,518035,261609,256426
.52,489369,247152,242217,492417,248658,243759,499274,251760,247514
.53,485419,244397,241022,483589,243537,240052,485407,244879,240528
.54,489624,246254,243370,486802,244988,241814,476700,239670,237030
.55,505786,253362,252424,500938,251234,249704,479377,241104,238273
.56,508096,253728,254368,507068,253272,253796,492240,246289,245951
.57,504383,250752,253631,503710,250516,253194,497924,248315,249609
.58,500680,248845,251835,499840,248330,251510,494660,245554,249106
.59,497129,246030,251099,495240,245261,249979,490811,243263,247548
.60,488858,242435,246423,491054,243257,247797,485631,240152,245479
.61,471884,232384,239500,472583,233040,239543,480187,237231,242956
.62,466154,228981,237173,464356,228078,236278,461972,227206,234766
.63,447619,218237,229382,452365,220757,231608,453485,222091,231394
.64,433975,209889,224086,432962,209580,223382,441445,214636,226809
.65,422354,203176,219178,423200,203698,219502,422655,203940,218715
.66,400256,191580,208676,403700,193200,210500,412760,197896,214864
.67,383549,181971,201578,384274,182607,201667,393867,187711,206156
.68,364809,172431,192378,365831,172854,192977,374957,177368,197589
.69,344543,161522,183021,348267,163431,184836,357068,168052,189016
.70,336221,157010,179211,336725,157170,179555,339267,158347,180920
.71,321409,149420,171989,322728,149923,172805,327772,152200,175572
.72,316900,147357,169543,312836,145202,167634,313676,144963,168713
.73,312965,146399,166566,322906,150787,172119,303491,140157,163334
.74,235045,107323,127722,240658,110314,130344,312500,145046,167454
.75,230122,104654,125468,230244,104675,125569,232780,106065,126715
.76,218776,98783,119993,218326,98485,119841,222057,100274,121783
.77,210472,94414,116058,213693,95951,117742,209851,93977,115874
.78,182413,81254,101159,185096,82430,102666,204624,91231,113393
.79,165991,73314,92677,167303,73788,93515,176799,78034,98765
.80,153975,67244,86731,155369,67914,87455,158887,69455,89432
.81,143530,62423,81107,143466,62414,81052,146717,63512,83205
.82,132311,56884,75427,133502,57341,76161,134801,58053,76748
.83,119094,50526,68568,119605,50725,68880,124364,52862,71502
.84,110002,46098,63904,109856,46060,63796,110808,46425,64383
.85+,682636,254076,428560,680040,253453,426587,677391,254263,423128
,,,,,,,,,
.Median Age (years),37.1,36.3,38.1,37.2,36.3,38.1,37.6,36.7,38.5
