table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Connecticut: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,3605944,1770328,1835616,3600260,1767486,1832774,3605597,1769587,1836010
.0,34477,17660,16817,34265,17531,16734,32573,16635,15938
.1,35349,18116,17233,35203,18031,17172,35208,17966,17242
.2,36502,18719,17783,36323,18622,17701,36046,18394,17652
.3,37238,18958,18280,36988,18866,18122,36927,18939,17988
.4,38018,19338,18680,37934,19280,18654,37457,19028,18429
.5,38627,19691,18936,38525,19626,18899,38451,19523,18928
.6,38558,19802,18756,38677,19835,18842,38883,19808,19075
.7,39009,19860,19149,38871,19829,19042,38935,19949,18986
.8,39718,20288,19430,39431,20113,19318,39203,19988,19215
.9,40679,20732,19947,40428,20620,19808,39681,20227,19454
.10,41957,21494,20463,41655,21310,20345,40773,20747,20026
.11,43671,22361,21310,43087,22065,21022,41846,21378,20468
.12,45389,23118,22271,45161,23038,22123,43300,22200,21100
.13,45884,23266,22618,45705,23211,22494,45306,23073,22233
.14,45903,23386,22517,45871,23339,22532,45902,23326,22576
.15,46315,23588,22727,46241,23542,22699,45867,23336,22531
.16,47167,24141,23026,47017,24039,22978,46232,23489,22743
.17,47148,24195,22953,47129,24171,22958,47120,24079,23041
.18,50923,25789,25134,50460,25543,24917,50414,25487,24927
.19,51991,26299,25692,51754,26174,25580,50897,25710,25187
.20,52290,26426,25864,52389,26489,25900,52031,26413,25618
.21,50846,25780,25066,50425,25580,24845,50692,25738,24954
.22,47179,24270,22909,47095,24225,22870,47560,24404,23156
.23,44459,23014,21445,44461,22982,21479,44765,23048,21717
.24,44110,22789,21321,43903,22693,21210,44393,23017,21376
.25,44439,22963,21476,44303,22926,21377,44206,22841,21365
.26,45260,23466,21794,45047,23339,21708,44916,23152,21764
.27,45338,23250,22088,45180,23206,21974,45661,23519,22142
.28,44212,22626,21586,44499,22790,21709,45564,23339,22225
.29,43898,22541,21357,43999,22542,21457,45410,23159,22251
.30,44025,22388,21637,44241,22509,21732,45032,22945,22087
.31,44214,22343,21871,44071,22302,21769,45316,22999,22317
.32,45178,22660,22518,44835,22496,22339,44953,22583,22370
.33,45469,22809,22660,45341,22743,22598,45694,22854,22840
.34,46243,23160,23083,46064,23083,22981,46195,23147,23048
.35,45567,22979,22588,46014,23176,22838,46820,23425,23395
.36,45243,22759,22484,45032,22637,22395,46656,23427,23229
.37,45564,22709,22855,45552,22741,22811,45727,22978,22749
.38,45306,22460,22846,45553,22602,22951,46076,23026,23050
.39,45061,22346,22715,44979,22297,22682,46205,22909,23296
.40,44588,22043,22545,44995,22275,22720,45340,22441,22899
.41,43491,21429,22062,43667,21524,22143,45320,22473,22847
.42,43035,21210,21825,42914,21155,21759,43860,21556,22304
.43,42153,20721,21432,42618,20969,21649,43122,21293,21829
.44,41476,20455,21021,41299,20354,20945,42794,21105,21689
.45,41692,20583,21109,41783,20608,21175,41494,20455,21039
.46,41378,20204,21174,41259,20195,21064,41852,20605,21247
.47,43076,20959,22117,42513,20685,21828,41173,20083,21090
.48,46611,22858,23753,45705,22365,23340,42397,20587,21810
.49,50608,24858,25750,49757,24437,25320,45522,22292,23230
.50,50199,24566,25633,50271,24619,25652,49576,24362,25214
.51,49609,24302,25307,49438,24207,25231,50006,24512,25494
.52,49245,24140,25105,49132,24073,25059,49154,24015,25139
.53,50925,24966,25959,50350,24670,25680,48823,23904,24919
.54,52731,25773,26958,52062,25483,26579,50044,24483,25561
.55,54505,26536,27969,53924,26255,27669,51471,25136,26335
.56,54971,26923,28048,54879,26844,28035,53471,26035,27436
.57,54227,26597,27630,54291,26617,27674,54159,26457,27702
.58,54511,26659,27852,54234,26536,27698,53547,26173,27374
.59,54244,26517,27727,54279,26527,27752,53469,26124,27345
.60,53144,25999,27145,53105,25958,27147,53341,26009,27332
.61,52031,25506,26525,51930,25432,26498,52142,25482,26660
.62,51336,25179,26157,51134,25068,26066,50866,24787,26079
.63,48853,23864,24989,49572,24226,25346,50099,24475,25624
.64,46865,22703,24162,46806,22700,24106,48427,23611,24816
.65,44983,21794,23189,45154,21833,23321,45767,22086,23681
.66,42557,20602,21955,42993,20787,22206,44081,21190,22891
.67,40635,19502,21133,40749,19581,21168,42012,20256,21756
.68,38594,18347,20247,38617,18386,20231,39864,19052,20812
.69,35369,16535,18834,36135,16945,19190,37768,17883,19885
.70,34441,15966,18475,34383,15959,18424,35237,16430,18807
.71,33553,15489,18064,33624,15515,18109,33620,15502,18118
.72,34267,15753,18514,33384,15339,18045,32791,15054,17737
.73,34761,16047,18714,36026,16603,19423,32467,14799,17668
.74,25141,11410,13731,25725,11696,14029,34925,16006,18919
.75,24689,11225,13464,24704,11200,13504,24917,11226,13691
.76,24783,11202,13581,24314,10962,13352,23805,10707,13098
.77,24771,11089,13682,25137,11267,13870,23475,10524,12951
.78,20612,9088,11524,21062,9306,11756,24128,10708,13420
.79,18003,7860,10143,18342,8011,10331,20203,8849,11354
.80,16433,7010,9423,16639,7115,9524,17466,7548,9918
.81,15632,6626,9006,15538,6564,8974,15795,6697,9098
.82,14547,6078,8469,14658,6131,8527,14648,6090,8558
.83,13051,5347,7704,13128,5384,7744,13666,5649,8017
.84,12227,4967,7260,12178,4945,7233,12174,4911,7263
.85+,82967,28302,54665,82145,28032,54113,80426,27760,52666
