table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for District of Columbia: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,689545,328643,360902,690093,328910,361183,670050,318904,351146
.0,8886,4531,4355,8761,4475,4286,8771,4455,4316
.1,8598,4397,4201,8582,4376,4206,7954,4087,3867
.2,8542,4381,4161,8502,4360,4142,7863,4027,3836
.3,8475,4397,4078,8419,4364,4055,8083,4155,3928
.4,8408,4353,4055,8390,4333,4057,8088,4171,3917
.5,8157,4027,4130,8167,4085,4082,7979,4110,3869
.6,7617,3932,3685,7713,3943,3770,7835,3892,3943
.7,7677,3993,3684,7620,3960,3660,7393,3767,3626
.8,7462,3809,3653,7467,3830,3637,7387,3823,3564
.9,7014,3583,3431,7094,3621,3473,7215,3711,3504
.10,6578,3277,3301,6646,3331,3315,6976,3559,3417
.11,6321,3134,3187,6337,3146,3191,6440,3222,3218
.12,6186,3044,3142,6231,3071,3160,6149,3095,3054
.13,5909,2944,2965,5964,2961,3003,6084,3005,3079
.14,5438,2761,2677,5523,2790,2733,5830,2912,2918
.15,5157,2554,2603,5214,2601,2613,5461,2750,2711
.16,5100,2554,2546,5108,2554,2554,5141,2566,2575
.17,5119,2552,2567,5122,2546,2576,5186,2566,2620
.18,8672,3818,4854,8613,3796,4817,8461,3759,4702
.19,11852,5448,6404,11788,5403,6385,11414,5193,6221
.20,10162,4727,5435,10226,4739,5487,10000,4566,5434
.21,8524,3924,4600,8626,3969,4657,8370,3856,4514
.22,7792,3561,4231,8177,3712,4465,7439,3388,4051
.23,10120,4325,5795,9964,4301,5663,8880,3801,5079
.24,12384,5291,7093,12153,5217,6936,10941,4699,6242
.25,13990,6118,7872,13816,6031,7785,12421,5355,7066
.26,15077,6706,8371,14954,6655,8299,13471,5958,7513
.27,15463,7078,8385,15441,7063,8378,14232,6421,7811
.28,16284,7492,8792,16182,7468,8714,14610,6685,7925
.29,16819,7903,8916,16713,7846,8867,15266,7135,8131
.30,16906,8324,8582,16940,8259,8681,15734,7449,8285
.31,16657,7962,8695,16592,8002,8590,15786,7792,7994
.32,16312,7740,8572,16201,7723,8478,15263,7475,7788
.33,15438,7467,7971,15491,7459,8032,14814,7113,7701
.34,14850,7196,7654,14854,7203,7651,14129,6765,7364
.35,14145,6934,7211,14287,6991,7296,13730,6664,7066
.36,13472,6537,6935,13418,6527,6891,13186,6511,6675
.37,12832,6284,6548,12909,6307,6602,12426,6085,6341
.38,12122,5928,6194,12243,5980,6263,12033,5834,6199
.39,11335,5594,5741,11366,5590,5776,11505,5656,5849
.40,10736,5399,5337,10901,5448,5453,10715,5264,5451
.41,10009,5034,4975,10113,5080,5033,10188,5061,5127
.42,9145,4561,4584,9251,4626,4625,9477,4730,4747
.43,8405,4184,4221,8604,4290,4314,8752,4380,4372
.44,7786,3858,3928,7839,3886,3953,8229,4045,4184
.45,7640,3839,3801,7670,3831,3839,7513,3722,3791
.46,7288,3652,3636,7293,3649,3644,7350,3636,3714
.47,7433,3748,3685,7360,3699,3661,7080,3552,3528
.48,7579,3865,3714,7524,3829,3695,7063,3568,3495
.49,7852,4015,3837,7798,3981,3817,7267,3650,3617
.50,7428,3771,3657,7519,3836,3683,7546,3873,3673
.51,7103,3622,3481,7092,3612,3480,7192,3648,3544
.52,6877,3425,3452,6908,3460,3448,6855,3511,3344
.53,6742,3358,3384,6696,3327,3369,6543,3272,3271
.54,6888,3490,3398,6832,3456,3376,6480,3234,3246
.55,7289,3668,3621,7163,3598,3565,6581,3306,3275
.56,7230,3639,3591,7215,3631,3584,6839,3421,3418
.57,7257,3620,3637,7220,3605,3615,6937,3492,3445
.58,7107,3481,3626,7117,3499,3618,6883,3396,3487
