table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Florida: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,21538187,10591419,10946768,21569932,10606221,10963711,21781128,10710357,11070771
.0,216820,110772,106048,213862,109399,104463,209420,106833,102587
.1,219879,112266,107613,219375,111964,107411,216034,110441,105593
.2,224949,114713,110236,224216,114348,109868,221646,113085,108561
.3,229162,117076,112086,227783,116334,111449,226533,115464,111069
.4,234195,119734,114461,233732,119397,114335,230161,117612,112549
.5,233966,119520,114446,234648,119878,114770,236039,120646,115393
.6,233369,119458,113911,234201,119872,114329,237152,121166,115986
.7,232150,118843,113307,232643,119081,113562,236707,121145,115562
.8,234793,120130,114663,233835,119631,114204,234962,120253,114709
.9,236192,120846,115346,236078,120816,115262,236409,120876,115533
.10,240682,123038,117644,239878,122631,117247,238392,122092,116300
.11,247672,126888,120784,245357,125626,119731,242401,124007,118394
.12,257039,131458,125581,256366,131193,125173,247902,126856,121046
.13,256840,131046,125794,257022,131248,125774,258686,132382,126304
.14,251515,128114,123401,252959,128887,124072,259341,132403,126938
.15,247694,126762,120932,249145,127383,121762,255563,130299,125264
.16,247229,126145,121084,247959,126617,121342,251387,128566,122821
.17,242444,124175,118269,243936,124829,119107,250545,127988,122557
.18,243380,125685,117695,240940,124489,116451,239647,123746,115901
.19,241102,123464,117638,240095,122961,117134,235841,121018,114823
.20,243807,123893,119914,245559,124812,120747,245645,125017,120628
.21,245427,124675,120752,245098,124510,120588,250157,126822,123335
.22,246765,125024,121741,247271,125298,121973,249319,126059,123260
.23,250678,127278,123400,250790,127208,123582,252770,127982,124788
.24,253979,129107,124872,252743,128411,124332,254428,129217,125211
.25,258216,131325,126891,257609,131045,126564,255608,130008,125600
.26,264748,135074,129674,263885,134559,129326,260183,132428,127755
.27,270675,137446,133229,268896,136719,132177,266213,135498,130715
.28,279379,141254,138125,277920,140744,137176,271468,137984,133484
.29,289318,145908,143410,286886,144612,142274,280431,141919,138512
.30,290804,146586,144218,292162,147170,144992,289274,145824,143450
.31,283848,143432,140416,284660,143693,140967,294300,148211,146089
.32,278434,141284,137150,279650,141725,137925,287934,145375,142559
.33,274600,139810,134790,275503,140127,135376,282516,143079,139437
.34,275079,139989,135090,275297,140121,135176,278094,141405,136689
.35,273032,138222,134810,275313,139555,135758,278324,141530,136794
.36,270839,136411,134428,270234,136195,134039,278436,140953,137483
.37,274706,138107,136599,274484,137987,136497,273262,137554,135708
.38,271732,136356,135376,274166,137629,136537,277542,139417,138125
.39,270993,136045,134948,270446,135753,134693,277046,139227,137819
.40,267112,134109,133003,270518,135834,134684,273404,137109,136295
