table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Georgia: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,10711908,5233864,5478044,10725800,5239375,5486425,10799566,5269761,5529805
.0,124074,63345,60729,122774,62725,60049,120296,61339,58957
.1,125452,64104,61348,125260,63974,61286,123890,63353,60537
.2,129328,66175,63153,128799,65855,62944,126686,64771,61915
.3,132374,67428,64946,131468,67033,64435,129979,66534,63445
.4,135148,68644,66504,134862,68472,66390,132464,67512,64952
.5,136687,69325,67362,136683,69363,67320,135958,69007,66951
.6,135466,69133,66333,136177,69393,66784,137793,69827,67966
.7,136160,69061,67099,136117,69137,66980,137228,69928,67300
.8,138992,70674,68318,138121,70170,67951,137411,69755,67656
.9,140417,71761,68656,140118,71532,68586,139117,70596,68521
.10,144559,73772,70787,143592,73298,70294,141361,72176,69185
.11,149685,76622,73063,148075,75726,72349,144649,73808,70841
.12,155555,79484,76071,155050,79247,75803,149139,76329,72810
.13,155218,79206,76012,155366,79355,76011,156282,79823,76459
.14,151936,77391,74545,152750,77790,74960,156309,79690,76619
.15,149493,75955,73538,150337,76435,73902,153418,78048,75370
.16,150477,76374,74103,150497,76395,74102,151038,76666,74372
.17,148100,75182,72918,148694,75465,73229,151284,76743,74541
.18,148386,75555,72831,147518,75109,72409,148533,75625,72908
.19,151040,76911,74129,150614,76664,73950,148625,75470,73155
.20,146701,75367,71334,147977,75888,72089,148808,76004,72804
.21,143740,73064,70676,143901,73232,70669,148569,75641,72928
.22,141943,71940,70003,142681,72322,70359,144728,73456,71272
.23,141342,71141,70201,141845,71307,70538,144486,72570,71916
.24,141872,71346,70526,141369,71003,70366,142965,71745,71220
.25,144048,72205,71843,143815,72074,71741,142578,71290,71288
.26,147423,73604,73819,147111,73502,73609,145174,72561,72613
.27,150690,75430,75260,149840,74894,74946,148174,73781,74393
.28,152918,75960,76958,152753,76062,76691,151009,75141,75868
.29,154536,76409,78127,154340,76306,78034,153740,76135,77605
.30,153054,75233,77821,154394,75878,78516,155205,76371,78834
.31,149073,73141,75932,149891,73546,76345,155642,76221,79421
.32,145450,71600,73850,146116,71814,74302,150982,73893,77089
.33,143126,70333,72793,143683,70591,73092,146912,71956,74956
.34,143796,70698,73098,143734,70613,73121,144737,70850,73887
.35,143302,70248,73054,144394,70826,73568,144493,70999,73494
.36,141957,69341,72616,141635,69205,72430,145227,71070,74157
.37,144831,70541,74290,144394,70366,74028,142148,69245,72903
.38,144128,70208,73920,145029,70585,74444,145138,70547,74591
.39,145181,70588,74593,144328,70202,74126,145504,70680,74824
.40,144010,69980,74030,145403,70614,74789,144876,70208,74668
.41,139199,67320,71879,140238,67839,72399,145799,70648,75151
.42,137827,66694,71133,137492,66545,70947,140923,68169,72754
.43,134910,65411,69499,136610,66126,70484,137737,66596,71141
.44,133028,64508,68520,132366,64209,68157,136835,66136,70699
.45,135189,65273,69916,135383,65386,69997,132439,64063,68376
.46,134755,65271,69484,134348,64988,69360,135554,65474,70080
.47,139567,67852,71715,138148,67076,71072,134219,64915,69304
.48,146927,71950,74977,145323,71012,74311,138239,67087,71152
.49,154041,75876,78165,153026,75299,77727,145323,71070,74253
.50,146378,72358,74020,148322,73195,75127,152512,74818,77694
.51,139590,68816,70774,140418,69245,71173,148072,72962,75110
.52,136000,67131,68869,136761,67464,69297,140095,69015,71080
.53,137367,67576,69791,136635,67204,69431,136076,66917,69159
.54,139325,68293,71032,138572,67980,70592,135980,66747,69233
.55,143355,69976,73379,142282,69482,72800,137641,67400,70241
.56,142947,69946,73001,143311,70061,73250,141542,69026,72516
.57,140616,68309,72307,141145,68619,72526,142317,69301,73016
.58,139739,67775,71964,139712,67765,71947,140025,67866,72159
.59,136526,66152,70374,137344,66487,70857,138334,66923,71411
.60,132293,63954,68339,133023,64306,68717,135732,65404,70328
.61,129041,62070,66971,129297,62194,67103,131685,63567,68118
.62,126631,60594,66037,126588,60607,65981,127662,61077,66585
.63,123039,58544,64495,124563,59283,65280,125074,59677,65397
.64,118316,55832,62484,118509,55972,62537,123125,58402,64723
.65,113882,53369,60513,114557,53712,60845,116699,54820,61879
.66,108673,50526,58147,109883,51111,58772,113016,52731,60285
.67,104497,48227,56270,104843,48428,56415,108271,50119,58152
.68,100862,46154,54708,100702,46133,54569,102864,47174,55690
.69,94429,42838,51591,96208,43662,52546,98887,44989,53898
.70,92377,42026,50351,92323,41931,50392,94117,42455,51662
.71,90297,41165,49132,90347,41117,49230,90351,40857,49494
.72,90277,41228,49049,88646,40406,48240,87975,39716,48259
.73,88649,40790,47859,92397,42448,49949,86263,39075,47188
.74,63490,28417,35073,65247,29320,35927,89544,40833,48711
.75,62202,27899,34303,62287,27869,34418,63142,28194,34948
.76,60230,26888,33342,59728,26651,33077,60057,26651,33406
.77,58221,25944,32277,59287,26344,32943,57287,25374,31913
.78,49095,21441,27654,49893,21855,28038,56626,24889,31737
.79,43891,19153,24738,44374,19282,25092,47446,20555,26891
.80,39795,16969,22826,40313,17229,23084,41928,17957,23971
.81,36324,15307,21017,36390,15359,21031,37916,16092,21824
.82,32353,13488,18865,32899,13679,19220,33906,14082,19824
.83,28311,11716,16595,28631,11827,16804,30390,12431,17959
.84,26096,10417,15679,26106,10465,15641,26329,10718,15611
.85+,139683,47942,91741,139818,48235,91583,141057,49425,91632
,,,,,,,,,
.Median Age (years),37.2,36,38.3,37.3,36.1,38.4,37.5,36.3,38.6
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Georgia: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-13)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
