table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Idaho: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,1839106,927206,911900,1847772,931609,916163,1900923,958616,942307
.0,21581,11064,10517,21799,11187,10612,21203,10826,10377
.1,21915,11287,10628,21880,11249,10631,22603,11642,10961
.2,22700,11682,11018,22632,11645,10987,22691,11655,11036
.3,23917,12269,11648,23643,12144,11499,23400,12019,11381
.4,24779,12640,12139,24768,12658,12110,24427,12499,11928
.5,25154,12876,12278,25196,12890,12306,25644,13099,12545
.6,24811,12731,12080,25061,12864,12197,26073,13326,12747
.7,25143,12778,12365,25136,12805,12331,25818,13250,12568
.8,25139,12849,12290,25171,12847,12324,25918,13168,12750
.9,25765,13160,12605,25694,13136,12558,25976,13249,12727
.10,26833,13735,13098,26654,13628,13026,26428,13494,12934
.11,27662,14179,13483,27446,14069,13377,27410,13967,13443
.12,28602,14752,13850,28590,14728,13862,28196,14508,13688
.13,28514,14693,13821,28613,14748,13865,29266,15063,14203
.14,27698,14192,13506,27987,14371,13616,29219,15068,14151
.15,27563,14140,13423,27686,14207,13479,28601,14697,13904
.16,27484,14116,13368,27599,14178,13421,28096,14439,13657
.17,26531,13619,12912,26834,13779,13055,28057,14460,13597
.18,25039,12896,12143,24977,12865,12112,25820,13347,12473
.19,23972,11875,12097,23944,11887,12057,23963,11994,11969
.20,22839,11472,11367,23121,11594,11527,23826,11916,11910
.21,23459,12353,11106,23466,12326,11140,24343,12670,11673
.22,24190,12904,11286,24394,13015,11379,25329,13493,11836
.23,24332,12777,11555,24423,12819,11604,25188,13257,11931
.24,24187,12628,11559,24246,12673,11573,25120,13111,12009
.25,23732,12446,11286,23898,12516,11382,24749,12890,11859
.26,24027,12526,11501,24042,12537,11505,24375,12712,11663
.27,24154,12535,11619,24181,12563,11618,24698,12793,11905
.28,24343,12484,11859,24424,12556,11868,24773,12809,11964
.29,24616,12439,12177,24674,12500,12174,25203,13000,12203
.30,24380,12156,12224,24706,12354,12352,25623,12949,12674
.31,23650,11823,11827,23861,11925,11936,25534,12787,12747
.32,23340,11616,11724,23546,11725,11821,24831,12398,12433
.33,23516,11906,11610,23597,11903,11694,24509,12270,12239
.34,23947,12210,11737,24001,12215,11786,24569,12463,12106
.35,24190,12263,11927,24392,12385,12007,24970,12679,12291
.36,24262,12364,11898,24204,12307,11897,25215,12742,12473
.37,24616,12461,12155,24705,12524,12181,25021,12693,12328
.38,24690,12525,12165,24867,12607,12260,25363,12829,12534
.39,24740,12607,12133,24795,12636,12159,25767,13076,12691
.40,24317,12434,11883,24683,12610,12073,25540,12948,12592
.41,23764,12091,11673,23961,12210,11751,25433,13034,12399
.42,23263,11887,11376,23373,11930,11443,24672,12568,12104
.43,22319,11393,10926,22793,11639,11154,24040,12271,11769
.44,21583,11053,10530,21660,11083,10577,23365,11949,11416
.45,21419,10950,10469,21632,11064,10568,22168,11350,10818
.46,20568,10594,9974,20786,10688,10098,22147,11382,10765
.47,20417,10501,9916,20449,10512,9937,21268,10943,10325
.48,21453,11039,10414,21255,10939,10316,20885,10766,10119
.49,22375,11521,10854,22334,11502,10832,21684,11142,10542
.50,21395,10888,10507,21740,11092,10648,22777,11695,11082
.51,20849,10623,10226,21014,10701,10313,22301,11407,10894
.52,19997,10251,9746,20218,10340,9878,21423,10908,10515
.53,20296,10325,9971,20282,10330,9952,20705,10583,10122
.54,20260,10220,10040,20287,10255,10032,20626,10478,10148
.55,20972,10426,10546,20900,10418,10482,20810,10513,10297
.56,21880,10821,11059,21794,10782,11012,21474,10648,10826
.57,22451,11014,11437,22419,11013,11406,22293,11005,11288
.58,23292,11532,11760,23177,11443,11734,23016,11311,11705
.59,23218,11497,11721,23449,11604,11845,23709,11697,12012
.60,22701,11332,11369,22857,11375,11482,23868,11782,12086
.61,22551,11083,11468,22613,11140,11473,23379,11607,11772
.62,22881,11146,11735,22872,11162,11710,23181,11402,11779
.63,22567,11050,11517,22966,11229,11737,23342,11378,11964
.64,22127,10843,11284,22209,10872,11337,23546,11481,12065
.65,21587,10605,10982,21806,10702,11104,22578,11072,11506
.66,21264,10426,10838,21463,10520,10943,22111,10819,11292
