table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Illinois: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,12812508,6334948,6477560,12785245,6321509,6463736,12671469,6265082,6406387
.0,141497,72268,69229,140183,71692,68491,132242,67638,64604
.1,143318,73251,70067,142421,72745,69676,138717,70871,67846
.2,148111,75551,72560,146794,74892,71902,141350,72105,69245
.3,151585,77467,74118,150006,76630,73376,145576,74229,71347
.4,155319,79489,75830,154459,78999,75460,148736,75955,72781
.5,155805,79716,76089,155519,79574,75945,153210,78390,74820
.6,153053,78497,74556,153720,78810,74910,154297,78940,75357
.7,153828,78433,75395,153231,78231,75000,152557,78191,74366
.8,155602,79504,76098,154441,78849,75592,152077,77642,74435
.9,157951,81340,76611,157027,80734,76293,153456,78343,75113
.10,162738,83470,79268,161291,82786,78505,156060,80144,75916
.11,166825,85142,81683,164907,84258,80649,160286,82243,78043
.12,172222,87771,84451,171476,87409,84067,163932,83758,80174
.13,172456,87783,84673,171988,87592,84396,170505,86878,83627
.14,169821,86730,83091,170115,86803,83312,170908,86998,83910
.15,169751,87114,82637,169678,86970,82708,169097,86272,82825
.16,172735,88383,84352,171995,88081,83914,168929,86615,82314
.17,170415,87157,83258,170734,87324,83410,171289,87815,83474
.18,166153,85580,80573,164692,84895,79797,164721,85054,79667
.19,165817,84537,81280,164992,84151,80841,161348,82497,78851
.20,165425,83961,81464,166336,84410,81926,165679,84220,81459
.21,163396,83002,80394,162828,82689,80139,164684,83595,81089
.22,163057,82538,80519,163032,82536,80496,161749,81878,79871
.23,164547,83090,81457,163820,82737,81083,160824,81734,79090
.24,167014,84220,82794,165533,83438,82095,162173,81835,80338
.25,170450,85940,84510,169344,85406,83938,163664,82637,81027
.26,173862,87736,86126,173073,87363,85710,167832,84498,83334
.27,176484,88846,87638,175226,88297,86929,170989,86346,84643
.28,178625,89422,89203,177955,89269,88686,173070,87213,85857
.29,179553,90472,89081,178829,89919,88910,175640,88125,87515
.30,177342,89643,87699,178250,89950,88300,176333,88649,87684
.31,173489,87782,85707,173426,87750,85676,175927,88795,87132
.32,172728,87192,85536,172028,86812,85216,171118,86455,84663
.33,172083,87034,85049,171508,86725,84783,169760,85559,84201
.34,174550,88576,85974,173401,87900,85501,169257,85522,83735
.35,174085,88141,85944,174558,88461,86097,170885,86496,84389
.36,172141,86971,85170,171123,86456,84667,172374,87209,85165
.37,174373,87832,86541,173604,87494,86110,169162,85443,83719
.38,173443,87578,85865,173951,87752,86199,171643,86413,85230
.39,173399,87540,85859,172358,87017,85341,172102,86716,85386
.40,171710,86433,85277,172769,87057,85712,170126,85800,84326
.41,164810,82817,81993,165726,83281,82445,170745,86087,84658
.42,163115,82270,80845,162369,81859,80510,164086,82381,81705
.43,158987,80046,78941,160521,80814,79707,160451,80750,79701
.44,155564,78401,77163,154805,78044,76761,158761,79827,78934
