table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Iowa: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,3190369,1598644,1591725,3188669,1597795,1590874,3193079,1601384,1591695
.0,37075,18994,18081,37106,18986,18120,35621,18204,17417
.1,37723,19321,18402,37476,19192,18284,37358,19188,18170
.2,38957,19856,19101,38695,19736,18959,37667,19259,18408
.3,39769,20231,19538,39434,20083,19351,38849,19791,19058
.4,40618,20724,19894,40536,20674,19862,39561,20117,19444
.5,40954,21090,19864,40888,21004,19884,40613,20752,19861
.6,40607,20696,19911,40781,20847,19934,40910,21001,19909
.7,40409,20573,19836,40427,20581,19846,40884,20920,19964
.8,40037,20519,19518,40019,20468,19551,40391,20589,19802
.9,40140,20649,19491,40079,20612,19467,39981,20470,19511
.10,42316,21740,20576,41765,21453,20312,40144,20641,19503
.11,43672,22498,21174,43185,22232,20953,41819,21458,20361
.12,44818,22942,21876,44738,22923,21815,43192,22220,20972
.13,44678,22929,21749,44662,22907,21755,44815,22977,21838
.14,43377,22228,21149,43680,22401,21279,44675,22954,21721
.15,42613,21902,20711,42840,21988,20852,43862,22492,21370
.16,42887,22047,20840,42894,22054,20840,43055,22085,20970
.17,42248,21661,20587,42435,21770,20665,42979,22134,20845
.18,42720,21884,20836,42468,21752,20716,43032,22042,20990
.19,48137,24716,23421,47987,24650,23337,47487,24449,23038
.20,47665,24272,23393,47859,24378,23481,47705,24333,23372
.21,47222,23860,23362,47058,23784,23274,47728,24186,23542
.22,46103,23695,22408,46024,23676,22348,46332,23809,22523
.23,42595,22135,20460,42634,22088,20546,42863,22173,20690
.24,40888,21354,19534,40766,21257,19509,41055,21330,19725
.25,40356,20924,19432,40208,20868,19340,40044,20832,19212
.26,40479,21070,19409,40359,20988,19371,39969,20739,19230
.27,40661,20990,19671,40408,20872,19536,40092,20714,19378
.28,41050,21009,20041,40937,21022,19915,40480,20933,19547
.29,40314,20613,19701,40457,20672,19785,41030,21108,19922
.30,39621,20180,19441,40010,20374,19636,40530,20701,19829
.31,38389,19561,18828,38571,19656,18915,40184,20482,19702
.32,37752,19282,18470,37845,19300,18545,38754,19807,18947
.33,38331,19523,18808,38153,19459,18694,38143,19509,18634
.34,40023,20465,19558,39600,20227,19373,38339,19592,18747
.35,40782,20917,19865,40821,20930,19891,39874,20393,19481
.36,40778,20987,19791,40486,20821,19665,40905,21021,19884
.37,41671,21471,20200,41508,21372,20136,40493,20802,19691
.38,41905,21535,20370,41997,21581,20416,41645,21472,20173
.39,41457,21215,20242,41453,21233,20220,41993,21620,20373
.40,41131,21099,20032,41435,21249,20186,41602,21352,20250
.41,39403,20296,19107,39735,20433,19302,41504,21342,20162
.42,38222,19611,18611,38318,19691,18627,39838,20514,19324
.43,36601,18817,17784,37223,19129,18094,38388,19738,18650
.44,35445,18175,17270,35381,18156,17225,37268,19142,18126
.45,35486,18194,17292,35639,18276,17363,35380,18185,17195
.46,33821,17270,16551,34077,17409,16668,35612,18239,17373
.47,34300,17525,16775,34038,17381,16657,33977,17375,16602
.48,36752,18744,18008,36092,18412,17680,34030,17362,16668
.49,39234,20029,19205,38766,19804,18962,36076,18433,17643
.50,37940,19496,18444,38274,19618,18656,38715,19782,18933
.51,37154,18988,18166,37209,19042,18167,38226,19627,18599
.52,36143,18412,17731,36210,18456,17754,37042,18909,18133
.53,37243,18893,18350,36947,18751,18196,36114,18425,17689
.54,37906,19209,18697,37571,19058,18513,36791,18644,18147
.55,39934,20087,19847,39359,19807,19552,37316,18880,18436
.56,41347,20785,20562,41033,20624,20409,39084,19642,19442
.57,42122,21058,21064,41878,20960,20918,40752,20499,20253
.58,43596,21626,21970,43081,21390,21691,41566,20780,20786
.59,43776,21867,21909,43872,21884,21988,42768,21187,21581
.60,43256,21704,21552,43149,21615,21534,43426,21643,21783
.61,42578,21225,21353,42532,21203,21329,42814,21373,21441
.62,42278,21104,21174,42165,21020,21145,42024,20890,21134
.63,40914,20401,20513,41466,20670,20796,41582,20696,20886
.64,39992,19890,20102,39837,19791,20046,40858,20292,20566
.65,39220,19547,19673,39198,19516,19682,39250,19437,19813
.66,37609,18624,18985,37902,18765,19137,38496,19054,19442
.67,36499,18044,18455,36505,18027,18478,37272,18377,18895
.68,35789,17622,18167,35553,17522,18031,35812,17619,18193
.69,32738,15923,16815,33569,16364,17205,34787,17066,17721
.70,31177,15218,15959,31288,15252,16036,32795,15884,16911
.71,29849,14367,15482,30099,14517,15582,30540,14773,15767
.72,29533,14080,15453,28942,13800,15142,29298,14040,15258
.73,29229,14063,15166,30646,14708,15938,28236,13397,14839
.74,20324,9563,10761,20912,9877,11035,29618,14123,15495
.75,20059,9361,10698,20039,9359,10680,20189,9486,10703
.76,20134,9313,10821,19778,9149,10629,19383,8975,10408
.77,19900,9099,10801,20255,9265,10990,18973,8698,10275
.78,17260,7804,9456,17359,7855,9504,19340,8763,10577
.79,15932,7125,8807,15967,7139,8828,16537,7437,9100
.80,14816,6480,8336,14894,6531,8363,15155,6689,8466
.81,14196,6100,8096,14070,6078,7992,13938,6060,7878
.82,13081,5550,7531,13140,5561,7579,13132,5610,7522
.83,11967,5024,6943,11930,5015,6915,12293,5136,7157
.84,11362,4688,6674,11258,4638,6620,10883,4476,6407
.85+,71324,24286,47038,70829,24157,46672,69346,24034,45312
,,,,,,,,,
.Median Age (years),38.4,37.5,39.3,38.4,37.6,39.4,38.6,37.7,39.5
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Iowa: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-19)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
