table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Maine: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,1362359,671870,690489,1362280,671729,690551,1372247,676493,695754
.0,12352,6390,5962,12287,6305,5982,11261,5721,5540
.1,12616,6494,6122,12515,6452,6063,12513,6423,6090
.2,12558,6318,6240,12592,6378,6214,12706,6529,6177
.3,13008,6691,6317,12859,6580,6279,12791,6494,6297
.4,13369,6876,6493,13335,6860,6475,13069,6695,6374
.5,13485,6952,6533,13477,6938,6539,13496,6932,6564
.6,13552,6972,6580,13571,6989,6582,13617,7018,6599
.7,13595,6967,6628,13583,6963,6620,13690,7060,6630
.8,13595,6938,6657,13576,6932,6644,13680,7019,6661
.9,13760,7030,6730,13726,7015,6711,13669,6984,6685
.10,14534,7538,6996,14342,7409,6933,13810,7069,6741
.11,14891,7640,7251,14767,7600,7167,14455,7469,6986
.12,15439,7909,7530,15370,7875,7495,14850,7646,7204
.13,15510,7924,7586,15485,7914,7571,15440,7909,7531
.14,15408,7945,7463,15440,7946,7494,15557,7965,7592
.15,15444,7961,7483,15460,7969,7491,15491,7962,7529
.16,15854,8255,7599,15848,8252,7596,15761,8169,7592
.17,15794,8155,7639,15859,8205,7654,16053,8360,7693
.18,16127,8307,7820,16019,8249,7770,16161,8321,7840
.19,16189,8406,7783,16107,8366,7741,15821,8225,7596
.20,15443,7990,7453,15512,8026,7486,15461,8030,7431
.21,14943,7686,7257,14877,7651,7226,15056,7756,7300
.22,14739,7542,7197,14686,7501,7185,14857,7555,7302
.23,14510,7344,7166,14513,7345,7168,14784,7522,7262
.24,14813,7484,7329,14773,7475,7298,14976,7605,7371
.25,15149,7636,7513,15153,7646,7507,15221,7693,7528
.26,15701,7983,7718,15661,7950,7711,15622,7866,7756
.27,16084,8134,7950,16026,8110,7916,16243,8188,8055
.28,16354,8264,8090,16360,8277,8083,16511,8314,8197
.29,16681,8434,8247,16647,8405,8242,16880,8530,8350
.30,16693,8286,8407,16826,8374,8452,17101,8619,8482
.31,16813,8379,8434,16805,8365,8440,17365,8594,8771
.32,16697,8371,8326,16720,8357,8363,17384,8671,8713
.33,16598,8298,8300,16664,8350,8314,17291,8662,8629
.34,16878,8410,8468,16841,8395,8446,16994,8500,8494
.35,16448,8234,8214,16702,8348,8354,17272,8600,8672
.36,16228,8177,8051,16220,8157,8063,17144,8597,8547
.37,16443,8113,8330,16441,8145,8296,16550,8321,8229
.38,16385,8116,8269,16492,8156,8336,16798,8337,8461
.39,16390,8196,8194,16390,8176,8214,16774,8306,8468
.40,16228,8075,8153,16370,8151,8219,16636,8272,8364
.41,15794,7805,7989,15902,7865,8037,16604,8301,8303
.42,15669,7783,7886,15638,7755,7883,16156,7988,8168
.43,15099,7544,7555,15363,7668,7695,15841,7878,7963
.44,14913,7373,7540,14818,7347,7471,15512,7760,7752
.45,15309,7572,7737,15285,7554,7731,14945,7380,7565
.46,15363,7642,7721,15285,7592,7693,15373,7600,7773
.47,16072,7922,8150,15848,7826,8022,15443,7686,7757
.48,17521,8668,8853,17158,8477,8681,15939,7848,8091
.49,18767,9428,9339,18564,9308,9256,17228,8552,8676
.50,18176,9054,9122,18366,9165,9201,18705,9377,9328
.51,18031,8959,9072,18017,8946,9071,18405,9150,9255
.52,18072,8895,9177,17995,8877,9118,18065,8987,9078
.53,18820,9242,9578,18652,9156,9496,18051,8883,9168
.54,19162,9410,9752,19001,9327,9674,18678,9134,9544
.55,20129,9832,10297,19894,9715,10179,19086,9349,9737
.56,21118,10467,10651,20953,10345,10608,19936,9740,10196
.57,21566,10590,10976,21495,10568,10927,21068,10329,10739
.58,22193,10967,11226,22024,10857,11167,21570,10569,11001
.59,22011,10737,11274,22185,10860,11325,22033,10843,11190
.60,21615,10494,11121,21600,10492,11108,22245,10824,11421
.61,21945,10636,11309,21809,10569,11240,21685,10509,11176
.62,22147,10733,11414,22075,10686,11389,21830,10555,11275
.63,21436,10495,10941,21787,10634,11153,22092,10657,11435
.64,20829,10059,10770,20815,10083,10732,21781,10584,11197
.65,20381,9954,10427,20440,9944,10496,20759,10027,10732
.66,20188,9783,10405,20239,9819,10420,20322,9840,10482
.67,19579,9484,10095,19632,9502,10130,20036,9671,10365
.68,18960,9099,9861,18928,9097,9831,19443,9390,10053
.69,17445,8337,9108,17887,8568,9319,18698,8952,9746
.70,17002,8167,8835,17005,8147,8858,17682,8418,9264
.71,16792,8102,8690,16791,8081,8710,16690,7959,8731
.72,16923,8232,8691,16511,8012,8499,16479,7909,8570
.73,16522,8099,8423,17381,8485,8896,16129,7793,8336
.74,11192,5390,5802,11607,5612,5995,16901,8195,8706
.75,11133,5326,5807,11118,5317,5801,11266,5416,5850
.76,11272,5274,5998,11050,5184,5866,10762,5105,5657
.77,10877,5093,5784,11106,5189,5917,10649,4996,5653
.78,9141,4252,4889,9310,4331,4979,10645,4926,5719
.79,8016,3649,4367,8166,3732,4434,8907,4098,4809
.80,7198,3219,3979,7273,3266,4007,7635,3492,4143
.81,6875,3006,3869,6822,2996,3826,6853,3042,3811
.82,6277,2667,3610,6347,2714,3633,6424,2800,3624
.83,5592,2379,3213,5598,2354,3244,5836,2425,3411
.84,5207,2219,2988,5158,2189,2969,5080,2127,2953
.85+,30732,11012,19720,30485,10961,19524,29969,10921,19048
,,,,,,,,,
.Median Age (years),44.8,43.5,46,44.8,43.5,46,44.7,43.4,46
