table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Maryland: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,6177224,3010289,3166935,6172679,3008037,3164642,6165129,3002424,3162705
.0,70621,36013,34608,69876,35792,34084,66594,33956,32638
.1,71678,36552,35126,71379,36383,34996,70222,35922,34300
.2,73232,37432,35800,72951,37249,35702,71425,36425,35000
.3,74134,37793,36341,73683,37587,36096,72798,37149,35649
.4,75454,38298,37156,75178,38181,36997,73549,37535,36014
.5,75699,38634,37065,75733,38629,37104,75170,38186,36984
.6,74775,38362,36413,75095,38494,36601,75557,38554,37003
.7,75064,38277,36787,74942,38271,36671,74960,38360,36600
.8,76090,38907,37183,75629,38650,36979,74867,38228,36639
.9,76971,39546,37425,76682,39374,37308,75362,38592,36770
.10,78291,40142,38149,77894,39961,37933,76445,39261,37184
.11,79595,40640,38955,78944,40346,38598,77714,39828,37886
.12,82206,42165,40041,81932,41972,39960,78765,40196,38569
.13,81303,41874,39429,81412,41906,39506,81793,41879,39914
.14,79205,40348,38857,79611,40653,38958,81195,41782,39413
.15,78482,39760,38722,78648,39890,38758,79373,40464,38909
.16,79043,40206,38837,79012,40168,38844,78594,39901,38693
.17,78095,39733,38362,78209,39793,38416,78921,40125,38796
.18,80222,40699,39523,79728,40422,39306,80094,40542,39552
.19,77594,39632,37962,77179,39413,37766,75833,38698,37135
.20,76098,38930,37168,76514,39134,37380,76273,38916,37357
.21,74532,37867,36665,74231,37701,36530,75683,38380,37303
.22,72859,36806,36053,72881,36811,36070,72896,36870,36026
.23,73426,36523,36903,73337,36545,36792,73475,36841,36634
.24,74864,37552,37312,74334,37206,37128,73980,36880,37100
.25,77171,38778,38393,76703,38513,38190,74986,37513,37473
.26,79348,39669,39679,78990,39559,39431,77133,38665,38468
.27,81392,40810,40582,80805,40492,40313,79231,39686,39545
.28,82020,40831,41189,81875,40802,41073,80674,40209,40465
.29,84523,42075,42448,83919,41769,42150,82192,40813,41379
.30,85904,43045,42859,86015,42988,43027,84265,41817,42448
.31,84990,42064,42926,85008,42186,42822,86429,43130,43299
.32,85562,42046,43516,85201,41912,43289,85478,42334,43144
.33,85714,42161,43553,85505,42040,43465,85711,41967,43744
.34,85959,42459,43500,85826,42341,43485,85694,42215,43479
.35,85175,41947,43228,85782,42273,43509,85801,42286,43515
