table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Massachusetts: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,7029917,3434716,3595201,7022220,3431096,3591124,6984723,3412092,3572631
.0,69686,35716,33970,69291,35447,33844,66368,33872,32496
.1,70150,35916,34234,69800,35735,34065,68677,35112,33565
.2,71790,36787,35003,71333,36548,34785,69187,35410,33777
.3,72862,37267,35595,72310,37014,35296,70884,36258,34626
.4,73640,37706,35934,73522,37626,35896,71806,36722,35084
.5,74353,37976,36377,74134,37875,36259,73039,37358,35681
.6,74208,37749,36459,74310,37860,36450,73819,37714,36105
.7,74932,38190,36742,74636,38016,36620,74048,37788,36260
.8,75606,38650,36956,75156,38378,36778,74319,37847,36472
.9,76522,39240,37282,76171,39051,37120,74898,38271,36627
.10,77648,39974,37674,77307,39753,37554,75788,38837,36951
.11,79605,41028,38577,78785,40588,38197,77131,39680,37451
.12,82226,42264,39962,81902,42118,39784,78664,40509,38155
.13,82391,42100,40291,82205,42099,40106,81722,42051,39671
.14,81799,41675,40124,81865,41732,40133,82162,42104,40058
.15,82718,42339,40379,82581,42229,40352,81987,41833,40154
.16,85359,43777,41582,84812,43484,41328,82546,42184,40362
.17,85784,43709,42075,85766,43742,42024,85088,43497,41591
.18,100599,49369,51230,99754,49011,50743,99503,49065,50438
.19,110384,53755,56629,109891,53476,56415,107764,52402,55362
.20,104225,51473,52752,104560,51632,52928,103804,51164,52640
.21,99499,48501,50998,99139,48361,50778,99149,48421,50728
.22,94725,46669,48056,94734,46696,48038,93703,46329,47374
.23,91896,45843,46053,91333,45508,45825,89959,44666,45293
.24,95232,47599,47633,94332,47104,47228,92142,45891,46251
.25,97730,49019,48711,97185,48733,48452,94477,47206,47271
.26,99874,50217,49657,99486,50045,49441,96501,48585,47916
.27,100911,50913,49998,100389,50668,49721,98265,49660,48605
.28,100358,50622,49736,100394,50701,49693,99001,49894,49107
.29,100636,50886,49750,100346,50672,49674,98542,49731,48811
.30,101944,51470,50474,101955,51448,50507,98970,49870,49100
.31,101429,50693,50736,101037,50661,50376,100534,50675,49859
.32,100981,50307,50674,100634,50125,50509,99549,49697,49852
.33,99959,49867,50092,99848,49791,50057,99403,49460,49943
.34,98794,49241,49553,98905,49302,49603,98851,49255,49596
.35,96001,47757,48244,96992,48277,48715,97662,48690,48972
.36,93364,46496,46868,93264,46415,46849,96006,47768,48238
.37,93255,46727,46528,93259,46638,46621,92142,45829,46313
.38,91220,45477,45743,91945,45857,46088,92321,46077,46244
.39,89566,44627,44939,89583,44641,44942,91204,45436,45768
.40,87722,43390,44332,88570,43891,44679,88953,44326,44627
.41,85676,42373,43303,85909,42454,43455,87944,43575,44369
.42,84203,41631,42572,84059,41587,42472,85393,42174,43219
.43,81649,40303,41346,82690,40794,41896,83578,41233,42345
.44,80925,39922,41003,80309,39637,40672,82069,40449,41620
.45,81696,40263,41433,81873,40379,41494,80021,39593,40428
.46,81210,39944,41266,81002,39863,41139,81355,40069,41286
.47,83678,41048,42630,82738,40570,42168,80340,39490,40850
.48,88948,43493,45455,87524,42810,44714,82045,40129,41916
.49,95580,46849,48731,94233,46209,48024,86951,42569,44382
.50,93765,45989,47776,94247,46203,48044,93357,45723,47634
.51,93080,45656,47424,92765,45492,47273,93556,45867,47689
.52,92917,45584,47333,92678,45466,47212,92106,45121,46985
.53,95340,46581,48759,94491,46170,48321,91747,44979,46768
.54,97332,47839,49493,96406,47326,49080,93618,45720,47898
.55,100798,49421,51377,99737,48917,50820,95406,46768,48638
.56,101677,49843,51834,101493,49759,51734,98582,48297,50285
.57,100701,49407,51294,100825,49451,51374,100203,49047,51156
.58,101012,49562,51450,100600,49355,51245,99531,48714,50817
.59,99730,48857,50873,100100,49023,51077,99208,48635,50573
.60,97507,47701,49806,97618,47740,49878,98553,48204,50349
.61,96239,46967,49272,95949,46805,49144,95987,46797,49190
.62,95180,46242,48938,94984,46176,48808,94146,45795,48351
.63,90821,43813,47008,92280,44560,47720,93336,45205,48131
.64,87663,41904,45759,87584,41914,45670,90460,43520,46940
.65,84979,40574,44405,85138,40625,44513,85939,41020,44919
.66,80916,38539,42377,81656,38884,42772,83386,39646,43740
.67,77984,36846,41138,78125,36946,41179,79905,37838,42067
.68,74819,35303,39516,74692,35246,39446,76295,35922,40373
