table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Minnesota: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,5706494,2860031,2846463,5707165,2860559,2846606,5707390,2860413,2846977
.0,66563,34020,32543,66536,34056,32480,62897,32055,30842
.1,67588,34523,33065,67229,34354,32875,66722,34060,32662
.2,69395,35597,33798,69087,35408,33679,67458,34435,33023
.3,71828,36727,35101,71059,36356,34703,69239,35445,33794
.4,73146,37321,35825,73031,37272,35759,71188,36435,34753
.5,73704,37512,36192,73626,37501,36125,73141,37356,35785
.6,73466,37569,35897,73679,37640,36039,73687,37580,36107
.7,73158,37411,35747,73190,37435,35755,73728,37670,36058
.8,72982,37576,35406,72823,37429,35394,73126,37377,35749
.9,73186,37613,35573,73072,37595,35477,72870,37449,35421
.10,75600,38861,36739,75003,38530,36473,73031,37552,35479
.11,77250,39615,37635,76548,39282,37266,74961,38546,36415
.12,79288,40455,38833,79142,40421,38721,76591,39357,37234
.13,78766,40146,38620,78807,40196,38611,79096,40395,38701
.14,76963,39282,37681,77386,39479,37907,78784,40185,38599
.15,76445,38868,37577,76617,38973,37644,77329,39404,37925
.16,77240,39447,37793,77179,39376,37803,76530,38950,37580
.17,74953,38513,36440,75562,38776,36786,77189,39405,37784
.18,71483,36601,34882,71200,36466,34734,72774,37312,35462
.19,72144,36523,35621,71946,36427,35519,71064,35990,35074
.20,71154,35912,35242,71681,36180,35501,72038,36368,35670
.21,70624,35555,35069,70498,35549,34949,71821,36316,35505
.22,70523,35351,35172,70652,35418,35234,70836,35567,35269
.23,69882,35098,34784,69681,34967,34714,69221,34795,34426
.24,70800,35941,34859,70440,35771,34669,69775,35411,34364
.25,72253,36685,35568,72003,36540,35463,70515,35714,34801
.26,74094,37916,36178,73885,37779,36106,72213,36866,35347
.27,75268,38375,36893,74847,38185,36662,73757,37632,36125
.28,75732,38624,37108,75812,38714,37098,74780,38197,36583
.29,75054,38566,36488,75331,38622,36709,75964,38721,37243
.30,75516,38837,36679,75871,38997,36874,75398,38645,36753
.31,75861,38802,37059,75654,38752,36902,76088,39057,37031
.32,76618,39245,37373,76315,39048,37267,75851,38837,37014
.33,77870,39797,38073,77492,39636,37856,76228,38961,37267
.34,79476,40431,39045,79088,40284,38804,77523,39609,37914
.35,79805,40597,39208,80176,40788,39388,79039,40317,38722
.36,79284,40388,38896,78878,40152,38726,80063,40716,39347
.37,80450,41143,39307,80326,41034,39292,78810,40134,38676
.38,80199,40951,39248,80516,41123,39393,80069,40897,39172
.39,79398,40597,38801,79366,40575,38791,80299,41029,39270
.40,76696,39419,37277,77784,39927,37857,79203,40491,38712
.41,73180,37679,35501,73878,37988,35890,77543,39804,37739
.42,70483,36072,34411,70700,36246,34454,73562,37865,35697
.43,67068,34366,32702,68302,34992,33310,70532,36139,34393
.44,65091,33354,31737,64948,33305,31643,68038,34891,33147
