table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Missouri: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,6154913,3037967,3116946,6154481,3037833,3116648,6168187,3044665,3123522
.0,71337,36459,34878,71136,36517,34619,68379,35027,33352
.1,72301,36999,35302,71927,36796,35131,71474,36684,34790
.2,73340,37646,35694,73218,37545,35673,72279,36976,35303
.3,74463,38313,36150,73979,38050,35929,73625,37769,35856
.4,75522,38689,36833,75493,38695,36798,74288,38181,36107
.5,76041,38930,37111,75970,38901,37069,75745,38835,36910
.6,75703,38764,36939,75951,38901,37050,76268,39042,37226
.7,75341,38513,36828,75421,38562,36859,76339,39127,37212
.8,75826,38904,36922,75578,38727,36851,75645,38678,36967
.9,76529,39425,37104,76293,39293,37000,75724,38841,36883
.10,78326,40326,38000,77820,40060,37760,76589,39506,37083
.11,80745,41430,39315,79872,41038,38834,78154,40242,37912
.12,83219,42609,40610,82969,42501,40468,80170,41190,38980
.13,82707,42311,40396,82774,42380,40394,83278,42623,40655
.14,81236,41644,39592,81594,41799,39795,83168,42658,40510
.15,80003,40913,39090,80384,41136,39248,81861,41938,39923
.16,80737,41358,39379,80740,41358,39382,80785,41395,39390
.17,79295,40714,38581,79671,40888,38783,80786,41390,39396
.18,76531,39601,36930,76077,39383,36694,76912,39866,37046
.19,80340,41108,39232,80047,40988,39059,78824,40433,38391
.20,80588,41003,39585,81014,41208,39806,81114,41247,39867
.21,80585,41039,39546,80398,40966,39432,81582,41598,39984
.22,80097,40577,39520,80201,40611,39590,80581,40661,39920
.23,79292,40254,39038,79297,40272,39025,79805,40518,39287
.24,79050,39978,39072,78731,39808,38923,78944,39949,38995
.25,79183,40052,39131,79087,40010,39077,78574,39733,38841
.26,80476,40749,39727,80176,40602,39574,78916,39973,38943
.27,82296,41530,40766,81677,41247,40430,80389,40758,39631
.28,84723,42240,42483,84181,42127,42054,81852,41291,40561
.29,84744,42305,42439,84751,42265,42486,84172,42017,42155
