table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Montana: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,1084225,549049,535176,1086193,550016,536177,1104271,559270,545001
.0,11331,5809,5522,11351,5763,5588,10555,5386,5169
.1,11463,5874,5589,11433,5857,5576,11472,5810,5662
.2,11970,6133,5837,11878,6085,5793,11668,5984,5684
.3,12538,6398,6140,12398,6335,6063,12027,6164,5863
.4,12940,6660,6280,12914,6634,6280,12529,6394,6135
.5,13131,6760,6371,13117,6748,6369,13196,6747,6449
.6,12973,6660,6313,13068,6717,6351,13297,6863,6434
.7,12943,6726,6217,12972,6720,6252,13293,6875,6418
.8,12979,6714,6265,12976,6718,6258,13203,6844,6359
.9,12995,6671,6324,12997,6679,6318,13215,6821,6394
.10,13333,6786,6547,13272,6765,6507,13159,6774,6385
.11,13794,7154,6640,13673,7064,6609,13485,6906,6579
.12,14215,7346,6869,14197,7351,6846,13909,7174,6735
.13,14076,7317,6759,14104,7319,6785,14434,7481,6953
.14,13546,6963,6583,13684,7061,6623,14290,7408,6882
.15,13264,6789,6475,13378,6848,6530,13957,7181,6776
.16,13523,6936,6587,13540,6957,6583,13660,7067,6593
.17,13104,6731,6373,13224,6792,6432,13721,7055,6666
.18,12687,6533,6154,12635,6523,6112,12960,6726,6234
.19,13576,7276,6300,13577,7260,6317,13521,7183,6338
.20,13866,7353,6513,13956,7391,6565,14211,7469,6742
.21,14409,7650,6759,14335,7610,6725,14627,7762,6865
.22,14625,7636,6989,14672,7693,6979,15031,7981,7050
.23,14615,7699,6916,14623,7691,6932,15069,7970,7099
.24,14210,7496,6714,14143,7439,6704,14438,7561,6877
.25,13853,7164,6689,13882,7195,6687,14174,7429,6745
.26,13994,7280,6714,13913,7224,6689,14008,7231,6777
.27,14253,7390,6863,14162,7346,6816,14164,7343,6821
.28,14488,7499,6989,14458,7487,6971,14549,7519,7030
.29,14145,7226,6919,14293,7319,6974,14874,7673,7201
.30,14054,7146,6908,14213,7235,6978,14823,7621,7202
.31,13711,7005,6706,13824,7064,6760,14579,7394,7185
.32,13573,6960,6613,13635,6984,6651,14305,7301,7004
.33,13394,6835,6559,13456,6882,6574,13973,7169,6804
.34,13677,6976,6701,13659,6968,6691,13906,7110,6796
.35,13935,7092,6843,14006,7138,6868,14154,7265,6889
.36,14065,7243,6822,13988,7173,6815,14372,7296,7076
.37,14408,7467,6941,14384,7444,6940,14291,7358,6933
.38,14177,7301,6876,14317,7385,6932,14668,7584,7084
.39,14012,7255,6757,14054,7261,6793,14671,7545,7126
.40,13736,7091,6645,13913,7181,6732,14324,7389,6935
.41,13281,6883,6398,13399,6936,6463,14231,7316,6915
.42,13049,6751,6298,13062,6758,6304,13602,7024,6578
.43,12544,6399,6145,12790,6542,6248,13308,6882,6426
.44,11934,6096,5838,11986,6128,5858,12937,6609,6328
.45,11585,5881,5704,11754,5983,5771,12133,6215,5918
.46,11368,5896,5472,11401,5883,5518,11981,6096,5885
.47,11428,5917,5511,11390,5896,5494,11521,5915,5606
.48,11928,6124,5804,11801,6071,5730,11581,5989,5592
.49,12888,6605,6283,12741,6548,6193,12007,6185,5822
.50,12279,6288,5991,12450,6375,6075,12906,6642,6264
.51,11943,6069,5874,12009,6114,5895,12579,6425,6154
.52,11708,5953,5755,11745,5975,5770,12256,6247,6009
.53,11859,6001,5858,11827,5982,5845,11808,6014,5794
.54,12301,6161,6140,12186,6120,6066,11967,6048,5919
.55,13410,6660,6750,13154,6533,6621,12334,6176,6158
.56,14116,7007,7109,14004,6963,7041,13300,6579,6721
.57,14562,7257,7305,14487,7213,7274,14159,7047,7112
.58,15262,7641,7621,15087,7536,7551,14563,7232,7331
.59,15450,7593,7857,15485,7646,7839,15237,7611,7626
.60,15431,7577,7854,15389,7563,7826,15570,7679,7891
.61,15648,7746,7902,15558,7677,7881,15575,7631,7944
.62,15893,7840,8053,15831,7814,8017,15677,7719,7958
.63,15678,7664,8014,15879,7793,8086,15940,7862,8078
.64,15451,7561,7890,15419,7535,7884,15914,7803,8111
.65,15154,7372,7782,15200,7404,7796,15400,7504,7896
.66,15006,7402,7604,15047,7388,7659,15194,7372,7822
.67,14710,7354,7356,14710,7332,7378,15011,7340,7671
.68,14299,7192,7107,14261,7163,7098,14644,7274,7370
.69,13092,6522,6570,13454,6714,6740,14168,7096,7072
.70,12593,6282,6311,12634,6288,6346,13218,6562,6656
.71,12051,6040,6011,12179,6084,6095,12455,6188,6267
.72,11864,6031,5833,11680,5908,5772,11969,5972,5997
.73,11647,5941,5706,12243,6244,5999,11412,5763,5649
.74,8144,4079,4065,8394,4222,4172,11968,6113,5855
.75,7993,3991,4002,7993,3986,4007,8082,4058,4024
.76,7836,3873,3963,7742,3826,3916,7751,3834,3917
.77,7645,3789,3856,7801,3851,3950,7460,3664,3796
.78,6511,3185,3326,6580,3226,3354,7483,3680,3803
.79,5962,2881,3081,5992,2899,3093,6297,3056,3241
.80,5272,2536,2736,5365,2582,2783,5648,2710,2938
.81,4926,2310,2616,4916,2322,2594,5081,2420,2661
.82,4412,2076,2336,4477,2104,2373,4587,2142,2445
.83,3967,1809,2158,3972,1827,2145,4142,1928,2214
.84,3611,1637,1974,3613,1634,1979,3666,1675,1991
.85+,20953,8177,12776,20832,8122,12710,20787,8160,12627
,,,,,,,,,
.Median Age (years),40,39.3,40.9,40.1,39.3,40.9,40.1,39.4,40.9
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Montana: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-30)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
