table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Nebraska: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,1961504,985379,976125,1961455,985240,976215,1963692,986792,976900
.0,25128,12876,12252,24978,12736,12242,23444,12016,11428
.1,25363,13033,12330,25255,12962,12293,24856,12717,12139
.2,25968,13303,12665,25842,13242,12600,25242,12950,12292
.3,26735,13592,13143,26450,13469,12981,25813,13237,12576
.4,27094,13871,13223,27068,13832,13236,26435,13490,12945
.5,27454,14248,13206,27371,14146,13225,27070,13827,13243
.6,27070,13864,13206,27217,13997,13220,27355,14094,13261
.7,26749,13770,12979,26797,13778,13019,27154,13947,13207
.8,26585,13591,12994,26549,13602,12947,26710,13756,12954
.9,26705,13754,12951,26649,13708,12941,26511,13604,12907
.10,27616,14273,13343,27375,14132,13243,26610,13686,12924
.11,28375,14596,13779,28072,14457,13615,27383,14136,13247
.12,28714,14826,13888,28748,14826,13922,28072,14473,13599
.13,28299,14583,13716,28369,14623,13746,28716,14799,13917
.14,27800,14168,13632,27920,14266,13654,28365,14598,13767
.15,27570,14155,13415,27654,14169,13485,27824,14248,13576
.16,27610,14262,13348,27662,14275,13387,27703,14184,13519
.17,27084,13843,13241,27219,13947,13272,27621,14254,13367
.18,26384,13324,13060,26339,13307,13032,26906,13650,13256
.19,28469,14536,13933,28499,14550,13949,28443,14555,13888
.20,28524,14480,14044,28699,14558,14141,28898,14626,14272
.21,27815,14339,13476,27796,14313,13483,28426,14599,13827
.22,26646,13377,13269,26722,13432,13290,26997,13653,13344
.23,26381,13543,12838,26332,13507,12825,26371,13516,12855
.24,25910,13337,12573,25782,13251,12531,25675,13125,12550
.25,25723,13217,12506,25644,13192,12452,25251,13046,12205
.26,25754,13120,12634,25707,13123,12584,25308,13029,12279
.27,25931,13299,12632,25788,13207,12581,25499,13013,12486
.28,26036,13294,12742,26012,13288,12724,25694,13115,12579
.29,25048,12805,12243,25289,12903,12386,25922,13233,12689
.30,24831,12793,12038,25027,12853,12174,25339,12925,12414
.31,24592,12711,11881,24555,12693,11862,24949,12839,12110
.32,25086,12913,12173,24917,12819,12098,24506,12629,11877
.33,25568,13076,12492,25417,13036,12381,24984,12875,12109
.34,26026,13338,12688,25900,13268,12632,25427,13060,12367
.35,26422,13652,12770,26466,13648,12818,25921,13268,12653
.36,26378,13497,12881,26205,13432,12773,26468,13669,12799
.37,27042,13886,13156,26923,13813,13110,26160,13396,12764
.38,26775,13775,13000,26911,13830,13081,26864,13767,13097
.39,26567,13698,12869,26525,13663,12862,26871,13787,13084
.40,25647,13139,12508,26004,13347,12657,26417,13603,12814
.41,24204,12399,11805,24502,12540,11962,25955,13313,12642
.42,23640,12114,11526,23644,12121,11523,24435,12518,11917
.43,22697,11644,11053,23068,11840,11228,23636,12114,11522
.44,22023,11297,10726,21959,11268,10691,22972,11807,11165
.45,22213,11360,10853,22251,11383,10868,21959,11283,10676
.46,21174,10832,10342,21325,10897,10428,22098,11318,10780
.47,21247,10859,10388,21156,10803,10353,21154,10777,10377
.48,22625,11563,11062,22263,11381,10882,21158,10808,10350
.49,23388,12123,11265,23268,12029,11239,22140,11322,10818
.50,22444,11530,10914,22671,11669,11002,23088,11951,11137
.51,21729,11113,10616,21796,11158,10638,22532,11578,10954
.52,21018,10770,10248,21098,10806,10292,21764,11149,10615
.53,21408,10883,10525,21262,10820,10442,20898,10649,10249
.54,22081,11253,10828,21814,11116,10698,21172,10788,10384
.55,23514,11917,11597,23125,11723,11402,21581,10978,10603
.56,24469,12348,12121,24261,12258,12003,22924,11604,11320
.57,24908,12535,12373,24765,12456,12309,24015,12097,11918
.58,25658,12808,12850,25382,12685,12697,24620,12400,12220
.59,25502,12722,12780,25585,12759,12826,25118,12551,12567
.60,25185,12637,12548,25120,12589,12531,25314,12620,12694
.61,24838,12469,12369,24774,12426,12348,24856,12428,12428
.62,24498,12204,12294,24466,12213,12253,24438,12207,12231
.63,23752,11857,11895,24067,12002,12065,24122,12008,12114
.64,23267,11569,11698,23152,11512,11640,23673,11750,11923
.65,22491,11048,11443,22571,11105,11466,22770,11325,11445
.66,21651,10575,11076,21787,10636,11151,22208,10887,11321
.67,20887,10214,10673,20932,10217,10715,21435,10395,11040
.68,20507,9959,10548,20382,9899,10483,20642,10015,10627
.69,18840,9039,9801,19285,9272,10013,19994,9666,10328
.70,18060,8667,9393,18087,8667,9420,18874,9048,9826
.71,17398,8351,9047,17512,8393,9119,17794,8480,9314
.72,16869,8070,8799,16673,7979,8694,17114,8170,8944
.73,16574,7935,8639,17373,8306,9067,16313,7747,8566
.74,11548,5461,6087,11890,5630,6260,16833,8022,8811
.75,11619,5417,6202,11556,5394,6162,11501,5408,6093
.76,11640,5437,6203,11451,5338,6113,11202,5216,5986
.77,11112,5119,5993,11395,5256,6139,11017,5069,5948
.78,9586,4340,5246,9671,4390,5281,10874,4988,5886
.79,8652,3829,4823,8696,3859,4837,9253,4166,5087
.80,8063,3542,4521,8092,3555,4537,8214,3598,4616
.81,7838,3400,4438,7767,3378,4389,7679,3331,4348
.82,7256,3071,4185,7302,3081,4221,7246,3087,4159
.83,6674,2830,3844,6661,2806,3855,6794,2826,3968
.84,6222,2560,3662,6207,2572,3635,6102,2520,3582
.85+,39061,13952,25109,38737,13853,24884,38031,13816,24215
,,,,,,,,,
.Median Age (years),36.8,36.1,37.6,36.9,36.1,37.6,37.1,36.3,37.9
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Nebraska: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-31)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
