table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Nevada: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,3104614,1564605,1540009,3114071,1569412,1544659,3143991,1584097,1559894
.0,35099,17939,17160,34620,17787,16833,33591,17216,16375
.1,35471,18126,17345,35495,18145,17350,34885,17875,17010
.2,36129,18542,17587,36090,18507,17583,35907,18377,17530
.3,37477,19168,18309,37165,19018,18147,36339,18683,17656
.4,38393,19542,18851,38348,19547,18801,37355,19026,18329
.5,38696,19819,18877,38715,19812,18903,38634,19708,18926
.6,38116,19523,18593,38385,19667,18718,38884,19814,19070
.7,38502,19668,18834,38422,19648,18774,38642,19858,18784
.8,38413,19960,18453,38384,19844,18540,38628,19788,18840
.9,39493,20181,19312,39268,20164,19104,38575,19909,18666
.10,40115,20555,19560,40010,20482,19528,39513,20275,19238
.11,41198,21006,20192,40785,20812,19973,40097,20505,19592
.12,42841,21973,20868,42694,21855,20839,40978,20893,20085
.13,42215,21518,20697,42362,21617,20745,42838,21950,20888
.14,40762,20803,19959,41162,20997,20165,42529,21678,20851
.15,39894,20305,19589,40173,20475,19698,41255,21124,20131
.16,39639,20286,19353,39762,20337,19425,40285,20540,19745
.17,38996,19982,19014,39134,20042,19092,39813,20305,19508
.18,35407,18393,17014,35355,18383,16972,35834,18666,17168
.19,32642,17081,15561,32619,17057,15562,32130,16742,15388
.20,33226,17239,15987,33659,17484,16175,33992,17636,16356
.21,34414,17695,16719,34458,17738,16720,35337,18250,17087
.22,35827,18190,17637,36061,18319,17742,36334,18529,17805
.23,37846,19113,18733,37979,19197,18782,38316,19417,18899
.24,39955,20314,19641,39802,20213,19589,39549,20086,19463
.25,41435,20934,20501,41469,20992,20477,41089,20886,20203
.26,42868,21766,21102,42984,21843,21141,42841,21778,21063
.27,44322,22630,21692,44174,22541,21633,43947,22448,21499
.28,46315,23421,22894,46123,23394,22729,45079,22963,22116
.29,47779,24160,23619,47599,24082,23517,47061,23874,23187
.30,47553,24215,23338,47986,24405,23581,48200,24539,23661
.31,45925,23377,22548,46288,23561,22727,48475,24682,23793
.32,45282,23251,22031,45526,23330,22196,46698,23732,22966
.33,44619,22969,21650,44854,23065,21789,45924,23565,22359
.34,44691,22945,21746,44744,22992,21752,45364,23304,22060
.35,44338,22751,21587,44784,23011,21773,45023,23185,21838
.36,43883,22476,21407,43895,22489,21406,45185,23296,21889
.37,44397,22568,21829,44451,22646,21805,44100,22533,21567
.38,43847,22356,21491,44281,22568,21713,44717,22873,21844
.39,43407,22205,21202,43426,22204,21222,44498,22721,21777
.40,42505,21893,20612,43132,22192,20940,43722,22420,21302
.41,40444,20685,19759,40874,20913,19961,43125,22142,20983
.42,39982,20368,19614,39981,20399,19582,41041,21041,20000
.43,38968,19641,19327,39465,19924,19541,40092,20433,19659
.44,38410,19376,19034,38341,19340,19001,39564,19930,19634
.45,38658,19681,18977,38824,19712,19112,38388,19370,19018
.46,37985,19197,18788,38049,19258,18791,38689,19510,19179
.47,38973,19761,19212,38760,19638,19122,38182,19341,18841
.48,40776,20559,20217,40435,20408,20027,38655,19553,19102
.49,43141,22165,20976,42775,21877,20898,40419,20373,20046
.50,41781,21616,20165,42262,21830,20432,42906,21959,20947
.51,39944,20488,19456,40259,20666,19593,42135,21649,20486
.52,38617,19701,18916,39024,19937,19087,40352,20748,19604
.53,38517,19766,18751,38538,19740,18798,39109,19977,19132
.54,38812,20018,18794,38718,19937,18781,38626,19728,18898
.55,40281,20555,19726,39999,20476,19523,38750,19917,18833
.56,40076,20267,19809,40290,20410,19880,40116,20509,19607
.57,39903,20140,19763,40053,20212,19841,40383,20398,19985
