table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for New Jersey: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,9288994,4571271,4717723,9279743,4567380,4712363,9267130,4561942,4705188
.0,103344,52888,50456,101958,52421,49537,95197,48780,46417
.1,105241,53984,51257,104730,53689,51041,102667,52815,49852
.2,107445,55069,52376,107001,54848,52153,105331,54028,51303
.3,108947,55836,53111,108351,55531,52820,107438,55127,52311
.4,110308,56350,53958,110139,56280,53859,108562,55721,52841
.5,110317,56311,54006,110407,56362,54045,110107,56304,53803
.6,109785,56139,53646,110095,56280,53815,110455,56353,54102
.7,110717,56472,54245,110393,56334,54059,110285,56444,53841
.8,112022,57380,54642,111307,56934,54373,110523,56435,54088
.9,113718,58259,55459,113212,58010,55202,111375,56959,54416
.10,115619,59176,56443,115123,58934,56189,113346,58095,55251
.11,118191,60451,57740,117079,59882,57197,115329,59000,56329
.12,122025,62294,59731,121610,62098,59512,117059,59885,57174
.13,121921,62145,59776,121747,62117,59630,121531,62040,59491
.14,120222,61447,58775,120522,61548,58974,121748,62081,59667
.15,120191,61448,58743,120253,61455,58798,120333,61421,58912
.16,122283,62369,59914,121888,62216,59672,120030,61366,58664
.17,120959,62103,58856,121244,62165,59079,121812,62225,59587
.18,114690,59293,55397,113963,58965,54998,114914,59497,55417
.19,107393,55353,52040,106911,55101,51810,104882,53961,50921
.20,109025,55672,53353,109559,55949,53610,109134,55647,53487
.21,111059,56216,54843,110440,55984,54456,111783,56848,54935
.22,111195,56218,54977,110736,56009,54727,110658,56038,54620
.23,111079,56175,54904,110874,56109,54765,110326,55967,54359
.24,112592,57276,55316,111929,56880,55049,111545,56588,54957
.25,114246,57968,56278,113779,57758,56021,112525,57151,55374
.26,116001,58489,57512,115609,58345,57264,114269,57716,56553
.27,118596,60127,58469,117845,59713,58132,116936,58981,57955
.28,118621,60104,58517,118763,60186,58577,118688,60002,58686
.29,119885,60785,59100,119682,60640,59042,119777,60662,59115
.30,120602,60999,59603,121242,61327,59915,121092,61269,59823
.31,119891,61117,58774,119792,60941,58851,122792,61991,60801
.32,119488,60613,58875,119439,60608,58831,120848,61332,59516
.33,120499,61014,59485,120170,60896,59274,120676,61155,59521
.34,122492,62008,60484,122026,61778,60248,121194,61259,59935
.35,121828,61490,60338,122647,61969,60678,122875,62224,60651
.36,121393,61223,60170,120786,60913,59873,123266,62168,61098
.37,123336,62108,61228,122993,61923,61070,121387,61190,60197
