table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for New Mexico: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,2117522,1053838,1063684,2117566,1053829,1063737,2115877,1052697,1063180
.0,22601,11508,11093,22541,11474,11067,21836,11179,10657
.1,23076,11649,11427,23053,11660,11393,22377,11423,10954
.2,23811,12149,11662,23670,12048,11622,22996,11648,11348
.3,24505,12547,11958,24283,12421,11862,23604,12049,11555
.4,25470,12855,12615,25296,12811,12485,24195,12401,11794
.5,25946,13156,12790,25817,13090,12727,25188,12779,12409
.6,26189,13419,12770,26132,13375,12757,25709,13059,12650
.7,26412,13572,12840,26288,13489,12799,25966,13262,12704
.8,26749,13653,13096,26559,13562,12997,26244,13438,12806
.9,27339,13898,13441,27152,13826,13326,26470,13523,12947
.10,28248,14466,13782,28010,14301,13709,27069,13806,13263
.11,29098,14764,14334,28739,14609,14130,27867,14172,13695
.12,29847,15295,14552,29794,15241,14553,28583,14556,14027
.13,29664,15189,14475,29642,15175,14467,29603,15074,14529
.14,28824,14565,14259,28988,14697,14291,29458,15086,14372
.15,28583,14499,14084,28653,14521,14132,28784,14590,14194
.16,28621,14607,14014,28663,14611,14052,28630,14517,14113
.17,28652,14650,14002,28609,14629,13980,28642,14608,14034
.18,28181,14579,13602,28107,14517,13590,28276,14530,13746
.19,28554,14792,13762,28507,14790,13717,28099,14616,13483
.20,28624,14866,13758,28833,14992,13841,28819,14992,13827
.21,28599,14785,13814,28514,14743,13771,28852,14919,13933
.22,27623,14241,13382,27798,14305,13493,28097,14395,13702
.23,27599,14269,13330,27654,14292,13362,27865,14394,13471
.24,27368,14299,13069,27181,14190,12991,26945,14073,12872
.25,27658,14422,13236,27540,14338,13202,27001,14033,12968
.26,27905,14514,13391,27808,14476,13332,27256,14212,13044
.27,28582,14798,13784,28335,14690,13645,27660,14316,13344
.28,29299,15152,14147,29204,15103,14101,28393,14715,13678
.29,28970,14783,14187,29016,14831,14185,29212,15068,14144
.30,28528,14609,13919,28811,14732,14079,28991,14819,14172
.31,27868,14387,13481,27916,14383,13533,28882,14743,14139
.32,27810,14424,13386,27813,14410,13403,27832,14275,13557
.33,28019,14461,13558,27949,14447,13502,27873,14457,13416
.34,28237,14544,13693,28177,14518,13659,27886,14363,13523
.35,28170,14382,13788,28307,14473,13834,28258,14636,13622
.36,28045,14338,13707,27957,14289,13668,28356,14527,13829
.37,28261,14538,13723,28161,14453,13708,27772,14109,13663
.38,27580,14114,13466,27884,14304,13580,28067,14390,13677
.39,27220,13881,13339,27146,13834,13312,27729,14221,13508
.40,26480,13548,12932,26867,13750,13117,27045,13813,13232
.41,25199,12725,12474,25417,12864,12553,26842,13741,13101
.42,24801,12528,12273,24811,12547,12264,25377,12894,12483
.43,23955,12153,11802,24275,12285,11990,24682,12402,12280
.44,23546,11923,11623,23514,11924,11590,24226,12292,11934
.45,23325,11638,11687,23415,11704,11711,23365,11767,11598
.46,22658,11279,11379,22757,11320,11437,23304,11623,11681
.47,23240,11575,11665,23065,11467,11598,22707,11275,11432
.48,24087,12009,12078,23880,11901,11979,22928,11377,11551
.49,25040,12521,12519,24861,12420,12441,23702,11804,11898
.50,24327,12048,12279,24474,12141,12333,24708,12302,12406
.51,23757,11805,11952,23799,11815,11984,24433,12083,12350
.52,23186,11544,11642,23331,11610,11721,23610,11692,11918
.53,23800,11792,12008,23603,11705,11898,23278,11558,11720
.54,24107,11826,12281,23971,11784,12187,23388,11568,11820
.55,25825,12583,13242,25466,12423,13043,23914,11756,12158
.56,26723,13020,13703,26549,12929,13620,25280,12290,12990
.57,27552,13449,14103,27310,13322,13988,26440,12830,13610
.58,28653,14113,14540,28356,13920,14436,27079,13142,13937
.59,28467,13838,14629,28467,13873,14594,28169,13774,14395
.60,28095,13584,14511,28263,13689,14574,28262,13791,14471
.61,27359,13209,14150,27469,13250,14219,28098,13545,14553
.62,27750,13356,14394,27490,13212,14278,27165,13053,14112
.63,27370,13062,14308,27592,13189,14403,27258,13068,14190
.64,26790,12594,14196,26713,12584,14129,27329,13022,14307
.65,26257,12466,13791,26360,12496,13864,26473,12465,14008
.66,25719,12177,13542,25829,12216,13613,26098,12337,13761
.67,25303,11782,13521,25298,11838,13460,25590,12068,13522
.68,24781,11628,13153,24647,11522,13125,25019,11678,13341
.69,23269,10999,12270,23648,11151,12497,24305,11291,13014
.70,23052,11069,11983,22991,10976,12015,23285,10945,12340
.71,22346,10666,11680,22415,10707,11708,22585,10733,11852
.72,22115,10527,11588,21864,10426,11438,21961,10451,11510
.73,21540,10297,11243,22394,10695,11699,21362,10150,11212
.74,15745,7386,8359,16235,7619,8616,21842,10380,11462
.75,15464,7276,8188,15479,7282,8197,15748,7343,8405
.76,14846,6913,7933,14774,6882,7892,14998,7006,7992
.77,14295,6647,7648,14540,6762,7778,14248,6597,7651
.78,12272,5646,6626,12441,5735,6706,13936,6452,7484
.79,11063,5114,5949,11166,5143,6023,11812,5420,6392
.80,10007,4531,5476,10180,4629,5551,10612,4864,5748
.81,9473,4238,5235,9432,4232,5200,9600,4340,5260
.82,8614,3851,4763,8704,3882,4822,8856,3965,4891
.83,7668,3472,4196,7707,3469,4238,8071,3536,4535
.84,7041,3082,3959,7023,3093,3930,7076,3153,3923
.85+,38225,14730,23495,38217,14796,23421,38469,15088,23381
,,,,,,,,,
.Median Age (years),38.4,37.3,39.6,38.5,37.3,39.7,38.8,37.6,40
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for New Mexico: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-35)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
