table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for North Carolina: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,10439388,5105928,5333460,10457177,5114352,5342825,10551162,5156255,5394907
.0,115863,59104,56759,115149,58829,56320,113170,57710,55460
.1,116852,59369,57483,116679,59323,57356,116258,59339,56919
.2,119187,61059,58128,118978,60788,58190,117921,60100,57821
.3,121043,62009,59034,120438,61725,58713,120273,61374,58899
.4,123426,63136,60290,123237,63033,60204,121841,62452,59389
.5,124095,63299,60796,124306,63447,60859,124482,63543,60939
.6,123812,63131,60681,124325,63417,60908,125727,64200,61527
.7,123871,63008,60863,123977,63089,60888,125202,63817,61385
.8,125100,63621,61479,124715,63406,61309,125006,63584,61422
.9,126428,64650,61778,126237,64493,61744,125807,63999,61808
.10,131648,67468,64180,130490,66826,63664,127276,65000,62276
.11,136112,69527,66585,134714,68847,65867,131463,67273,64190
.12,140290,71835,68455,140088,71661,68427,135695,69311,66384
.13,139754,71669,68085,139893,71736,68157,141022,72137,68885
.14,136395,69730,66665,137280,70224,67056,140653,72068,68585
.15,134611,68577,66034,135275,68955,66320,138009,70546,67463
.16,135393,69023,66370,135504,69072,66432,135685,69058,66627
.17,133838,68147,65691,134302,68368,65934,136013,69187,66826
.18,141292,71548,69744,140706,71294,69412,141548,71774,69774
.19,148564,76271,72293,148260,76094,72166,146521,75134,71387
.20,144345,74780,69565,145583,75421,70162,147079,76281,70798
.21,139867,73062,66805,139864,73054,66810,143714,74953,68761
.22,136313,70584,65729,136886,70820,66066,139356,71881,67475
.23,133237,68011,65226,133763,68259,65504,136677,69507,67170
.24,133548,67999,65549,132978,67614,65364,134526,68178,66348
.25,135806,68504,67302,135533,68394,67139,134474,67818,66656
.26,139121,69919,69202,138760,69755,69005,136943,68813,68130
.27,141259,71106,70153,140907,70911,69996,141092,70633,70459
.28,143650,71820,71830,143476,71856,71620,142909,71610,71299
.29,145753,72625,73128,145620,72562,73058,145378,72573,72805
.30,143794,70865,72929,145323,71721,73602,147211,73018,74193
.31,140296,68606,71690,141061,69103,71958,146929,72418,74511
.32,136356,66806,69550,137289,67173,70116,142801,70000,72801
.33,134052,65777,68275,134758,66127,68631,139017,67913,71104
.34,133778,66071,67707,134069,66103,67966,136335,66824,69511
.35,132151,65161,66990,133573,65899,67674,135453,66719,68734
.36,130832,64366,66466,130594,64258,66336,134773,66351,68422
.37,134343,66067,68276,133957,65883,68074,131634,64750,66884
.38,133191,65381,67810,134276,65882,68394,135002,66230,68772
.39,133446,65442,68004,133027,65223,67804,134855,66148,68707
.40,132927,65251,67676,134193,65861,68332,133834,65646,68188
.41,130183,63578,66605,130836,63934,66902,135233,66179,69054
.42,130437,63743,66694,129778,63437,66341,131211,63994,67217
.43,127587,62364,65223,129318,63169,66149,130345,63532,66813
.44,125669,61342,64327,125200,61172,64028,129870,63331,66539
.45,127799,62451,65348,128028,62523,65505,125587,61288,64299
.46,127338,62581,64757,127089,62357,64732,128501,62687,65814
.47,132339,65276,67063,130936,64472,66464,127577,62508,65069
.48,140512,69421,71091,138698,68472,70226,131242,64583,66659
.49,148602,73015,75587,147356,72491,74865,138613,68242,70371
.50,141332,69453,71879,143397,70421,72976,147679,72534,75145
.51,136331,67478,68853,136974,67647,69327,143757,70582,73175
.52,132606,65583,67023,133352,65913,67439,137201,67642,69559
.53,133593,65728,67865,133360,65675,67685,133740,65943,67797
.54,134594,66214,68380,134115,66003,68112,133657,65749,67908
.55,139768,68179,71589,138651,67728,70923,134289,65919,68370
.56,142170,69402,72768,142040,69314,72726,138723,67634,71089
.57,140852,68289,72563,141401,68632,72769,142144,69062,73082
.58,140969,68277,72692,140825,68155,72670,141110,68262,72848
.59,139262,67215,72047,140194,67693,72501,141002,68074,72928
.60,136407,65522,70885,136898,65815,71083,139987,67297,72690
.61,134746,64340,70406,134808,64390,70418,136758,65633,71125
.62,134124,64051,70073,133938,63917,70021,134534,64081,70453
.63,129984,61914,68070,131993,62827,69166,133919,63630,70289
.64,126900,59849,67051,126835,59888,66947,131605,62339,69266
.65,123565,57878,65687,124171,58212,65959,126076,59192,66884
.66,120056,55836,64220,121038,56345,64693,123353,57599,65754
.67,116036,53770,62266,116422,53934,62488,119860,55567,64293
.68,113051,52234,60817,112761,52128,60633,115185,53123,62062
.69,105256,48436,56820,107534,49433,58101,111378,51229,60149
.70,102561,47295,55266,102738,47311,55427,106048,48517,57531
.71,100828,46428,54400,100892,46415,54477,100820,46304,54516
.72,101600,46815,54785,99551,45814,53737,98506,45032,53474
.73,101299,47079,54220,105568,48964,56604,97195,44456,52739
.74,71652,32571,39081,73827,33670,40157,102726,47243,55483
.75,70400,31943,38457,70518,31976,38542,71684,32438,39246
.76,68531,30912,37619,67849,30593,37256,68118,30645,37473
.77,66672,29955,36717,67925,30485,37440,65263,29190,36073
.78,56240,24839,31401,57048,25244,31804,64876,28923,35953
.79,49964,21909,28055,50626,22131,28495,54287,23747,30540
.80,44947,19381,25566,45673,19736,25937,47800,20682,27118
.81,41719,17712,24007,41589,17731,23858,42970,18337,24633
.82,38184,15758,22426,38552,15912,22640,38912,16280,22632
.83,33633,13712,19921,33930,13851,20079,35604,14547,21057
.84,31436,12600,18836,31263,12559,18704,31014,12467,18547
.85+,172015,59216,112799,171639,59357,112282,171639,60142,111497
,,,,,,,,,
