table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for North Dakota: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,779094,401059,378035,778962,400989,377973,774948,398409,376539
.0,10561,5428,5133,10538,5416,5122,9740,5011,4729
.1,10506,5438,5068,10464,5404,5060,10233,5238,4995
.2,10732,5596,5136,10650,5544,5106,10247,5332,4915
.3,11110,5751,5359,10961,5678,5283,10410,5406,5004
.4,11161,5717,5444,11154,5723,5431,10760,5563,5197
.5,11050,5580,5470,11061,5604,5457,10965,5602,5363
.6,10750,5451,5299,10829,5486,5343,10933,5522,5411
.7,10516,5375,5141,10560,5388,5172,10658,5413,5245
.8,10351,5309,5042,10359,5301,5058,10461,5323,5138
.9,10111,5179,4932,10158,5206,4952,10282,5279,5003
.10,10402,5309,5093,10321,5260,5061,10111,5176,4935
.11,10549,5347,5202,10469,5314,5155,10240,5224,5016
.12,10573,5402,5171,10608,5416,5192,10330,5275,5055
.13,10422,5377,5045,10445,5372,5073,10545,5368,5177
.14,10053,5150,4903,10133,5204,4929,10324,5309,5015
.15,9701,5010,4691,9798,5052,4746,10094,5169,4925
.16,9519,4817,4702,9583,4876,4707,9793,5025,4768
.17,9138,4642,4496,9247,4699,4548,9575,4882,4693
.18,9586,4939,4647,9599,4946,4653,9741,5018,4723
.19,11912,6469,5443,11956,6485,5471,11836,6391,5445
.20,12204,6355,5849,12230,6372,5858,12202,6320,5882
.21,12521,6578,5943,12436,6522,5914,12350,6467,5883
.22,13202,7077,6125,13226,7110,6116,13017,7023,5994
.23,12891,6850,6041,12817,6832,5985,12629,6758,5871
.24,11995,6349,5646,11900,6295,5605,11668,6190,5478
.25,11690,6235,5455,11627,6202,5425,11159,5920,5239
.26,11503,6140,5363,11429,6095,5334,10885,5735,5150
.27,11644,6221,5423,11523,6152,5371,10983,5873,5110
.28,11799,6322,5477,11720,6278,5442,11215,5917,5298
.29,11934,6413,5521,11847,6359,5488,11444,6135,5309
.30,11690,6283,5407,11741,6290,5451,11524,6154,5370
.31,11158,5974,5184,11224,6012,5212,11513,6125,5388
.32,10839,5882,4957,10875,5886,4989,10957,5796,5161
.33,10828,5870,4958,10803,5857,4946,10685,5772,4913
.34,11111,6028,5083,11010,5971,5039,10607,5738,4869
