table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Ohio: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,11799448,5821230,5978218,11790587,5816834,5973753,11780017,5812198,5967819
.0,132662,67807,64855,132026,67453,64573,127649,65199,62450
.1,134801,68707,66094,134070,68358,65712,132941,67813,65128
.2,138277,70428,67849,137713,70128,67585,134865,68827,66038
.3,140103,71763,68340,139325,71284,68041,138349,70455,67894
.4,143000,73216,69784,142722,73043,69679,139903,71623,68280
.5,143839,73417,70422,143790,73444,70346,143065,73248,69817
.6,143589,73334,70255,143967,73538,70429,144280,73704,70576
.7,143517,73319,70198,143460,73270,70190,144229,73691,70538
.8,142711,73630,69081,142564,73361,69203,143776,73452,70324
.9,142975,73639,69336,142771,73600,69171,142968,73621,69347
.10,147441,75519,71922,146244,74988,71256,143072,73745,69327
.11,151865,77450,74415,150198,76680,73518,146357,75035,71322
.12,155666,79711,75955,155462,79498,75964,150576,76909,73667
.13,156158,80062,76096,155935,79967,75968,155570,79581,75989
.14,153641,78557,75084,154200,78902,75298,156106,80096,76010
.15,152286,77874,74412,152755,78104,74651,154218,78899,75319
.16,155083,79258,75825,154606,79046,75560,152779,78140,74639
.17,153446,78462,74984,153926,78714,75212,154926,79294,75632
.18,151938,77907,74031,150461,77128,73333,150423,77101,73322
.19,157090,80583,76507,156201,80056,76145,152639,78066,74573
.20,151615,77476,74139,152542,77943,74599,152195,77701,74494
.21,148750,75521,73229,148347,75394,72953,150661,76787,73874
.22,148419,74741,73678,148317,74735,73582,149080,75208,73872
.23,147441,74538,72903,147489,74460,73029,148357,74832,73525
.24,149428,75935,73493,148549,75448,73101,148171,75069,73102
.25,151062,76502,74560,150745,76428,74317,149071,75672,73399
.26,153582,77829,75753,153271,77738,75533,151279,76958,74321
.27,157154,79358,77796,156009,78845,77164,153425,77685,75740
.28,160063,80326,79737,159526,80283,79243,156003,78846,77157
.29,161438,80997,80441,161123,80799,80324,159759,80297,79462
.30,160398,80279,80119,161422,80747,80675,161276,80667,80609
.31,157124,78979,78145,157508,79141,78367,161834,80982,80852
.32,152143,76726,75417,152947,76977,75970,157576,79141,78435
.33,149803,75499,74304,150189,75709,74480,152921,76809,76112
.34,150223,75558,74665,150040,75466,74574,150374,75835,74539
.35,148368,74352,74016,149690,75109,74581,150230,75531,74699
.36,145826,72995,72831,145457,72775,72682,149582,75110,74472
.37,148418,74143,74275,148047,73995,74052,145451,72768,72683
.38,148765,74566,74199,149216,74678,74538,147964,73902,74062
.39,149186,74843,74343,148518,74503,74015,148981,74588,74393
.40,146789,73586,73203,148154,74268,73886,148160,74176,73984
.41,142191,71249,70942,143017,71605,71412,147992,74161,73831
.42,139280,69752,69528,139144,69692,69452,142801,71445,71356
.43,135048,67492,67556,136901,68439,68462,138829,69510,69319
.44,132643,66087,66556,131910,65776,66134,136538,68209,68329
.45,134444,67116,67328,134602,67162,67440,131405,65493,65912
.46,132751,66441,66310,132565,66307,66258,134297,66998,67299
.47,137510,68782,68728,135795,67898,67897,132047,66052,65995
.48,148618,74399,74219,145703,72933,72770,135321,67707,67614
.49,159045,79771,79274,157060,78785,78275,144942,72492,72450
.50,151989,76119,75870,153780,77013,76767,156248,78272,77976
.51,147833,74003,73830,148031,74080,73951,153026,76586,76440
.52,144537,72575,71962,144739,72602,72137,146993,73447,73546
.53,148141,74058,74083,147071,73561,73510,143818,72062,71756
.54,150776,74992,75784,149480,74470,75010,146041,73049,72992
.55,158097,78239,79858,155919,77194,78725,147955,73625,74330
.56,161248,79806,81442,160490,79375,81115,154175,76133,78042
.57,161535,79412,82123,161262,79362,81900,158788,78388,80400
.58,165775,81649,84126,164144,80755,83389,159422,78364,81058
.59,165919,81558,84361,166066,81617,84449,162118,79586,82532
.60,164130,80606,83524,163678,80395,83283,164202,80633,83569
.61,165214,80650,84564,163902,80022,83880,161015,78706,82309
.62,165775,80704,85071,164763,80222,84541,161230,78482,82748
.63,159739,77646,82093,161901,78674,83227,161885,78476,83409
.64,153407,74421,78986,153366,74313,79053,158889,76950,81939
.65,149225,72019,77206,149378,72086,77292,150164,72450,77714
.66,142256,68333,73923,143564,68952,74612,146522,70381,76141
.67,137097,65727,71370,137228,65719,71509,140427,67044,73383
.68,133510,63763,69747,132803,63481,69322,134353,64114,70239
.69,123019,58179,64840,125689,59466,66223,129788,61794,67994
.70,119044,55984,63060,118968,55994,62974,122496,57615,64881
.71,116083,54053,62030,116251,54162,62089,115840,54259,61581
.72,115974,53720,62254,113495,52601,60894,113030,52376,60654
.73,114874,53925,60949,119830,56006,63824,109911,50742,59169
.74,77294,35336,41958,80602,37019,43583,115761,53617,62144
.75,75358,34258,41100,75488,34314,41174,77644,35446,42198
.76,75358,33748,41610,73893,33110,40783,72179,32479,39700
.77,76536,33926,42610,77185,34228,42957,70625,31400,39225
.78,66445,29028,37417,66827,29235,37592,73372,32116,41256
.79,59009,25384,33625,59693,25731,33962,63261,27457,35804
.80,53622,22663,30959,54119,22901,31218,56198,23983,32215
.81,51214,21546,29668,50688,21293,29395,50661,21103,29558
.82,47576,19715,27861,47658,19717,27941,47079,19519,27560
.83,42369,17132,25237,42557,17230,25327,44084,17845,26239
.84,39024,15604,23420,38894,15591,23303,38729,15478,23251
.85+,232833,80268,152565,230986,79743,151243,226875,79091,147784
,,,,,,,,,
.Median Age (years),39.5,38.3,40.6,39.5,38.3,40.6,39.6,38.4,40.7
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Ohio: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-39)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
