table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Rhode Island: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,1097379,537743,559636,1096229,537204,559025,1095610,536961,558649
.0,10712,5461,5251,10526,5333,5193,9673,4953,4720
.1,10825,5481,5344,10795,5476,5319,10591,5361,5230
.2,11272,5750,5522,11168,5685,5483,10841,5488,5353
.3,11276,5802,5474,11231,5762,5469,11161,5689,5472
.4,11651,5971,5680,11558,5933,5625,11284,5804,5480
.5,11522,5923,5599,11550,5936,5614,11574,5952,5622
.6,11331,5839,5492,11395,5865,5530,11493,5886,5607
.7,11310,5731,5579,11314,5758,5556,11401,5860,5541
.8,11518,5918,5600,11423,5846,5577,11283,5732,5551
.9,11458,5962,5496,11458,5939,5519,11345,5772,5573
.10,11779,6024,5755,11685,5999,5686,11407,5924,5483
.11,12014,6174,5840,11895,6110,5785,11650,5968,5682
.12,12538,6390,6148,12464,6372,6092,11842,6069,5773
.13,12632,6462,6170,12591,6440,6151,12456,6381,6075
.14,12689,6530,6159,12660,6505,6155,12555,6403,6152
.15,12697,6560,6137,12688,6550,6138,12616,6481,6135
.16,12972,6631,6341,12916,6620,6296,12699,6541,6158
.17,13039,6632,6407,13033,6632,6401,12956,6642,6314
.18,16678,8114,8564,16583,8047,8536,16599,8015,8584
.19,18605,9021,9584,18531,8985,9546,18274,8848,9426
.20,17293,8460,8833,17363,8504,8859,17222,8467,8755
.21,16362,8228,8134,16254,8184,8070,16226,8185,8041
.22,14654,7450,7204,14605,7410,7195,14574,7339,7235
.23,13855,7117,6738,13832,7083,6749,13799,6978,6821
.24,14070,7108,6962,13954,7075,6879,13860,7106,6754
.25,14261,7208,7053,14207,7186,7021,13920,7134,6786
.26,14884,7560,7324,14758,7498,7260,14476,7316,7160
