table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for South Carolina: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,5118425,2491425,2627000,5130729,2496973,2633756,5190705,2523715,2666990
.0,55055,28147,26908,54801,28053,26748,54309,27652,26657
.1,55732,28526,27206,55665,28461,27204,55770,28487,27283
.2,56957,29182,27775,56898,29129,27769,56449,28803,27646
.3,58111,29689,28422,57782,29558,28224,57849,29650,28199
.4,59687,30425,29262,59560,30370,29190,58587,30043,28544
.5,60600,30948,29652,60563,30914,29649,60459,30774,29685
.6,59952,30739,29213,60356,30927,29429,61166,31222,29944
.7,60244,30567,29677,60283,30664,29619,61210,31363,29847
.8,60963,31064,29899,60782,30929,29853,60844,30974,29870
.9,61631,31432,30199,61556,31394,30162,61510,31309,30201
.10,64402,32664,31738,63838,32416,31422,62130,31753,30377
.11,67029,34019,33010,66298,33652,32646,64568,32815,31753
.12,68648,34892,33756,68716,34907,33809,66902,33888,33014
.13,68375,34902,33473,68534,34957,33577,69319,35232,34087
.14,65650,33401,32249,66377,33788,32589,69093,35212,33881
.15,64106,32689,31417,64629,32939,31690,66972,34101,32871
.16,64139,32605,31534,64286,32701,31585,64984,33094,31890
.17,62939,31828,31111,63333,32050,31283,64971,32990,31981
.18,65611,33647,31964,65402,33533,31869,65973,33811,32162
.19,69424,35989,33435,69195,35871,33324,68372,35539,32833
.20,67420,34978,32442,67895,35176,32719,68276,35323,32953
.21,65654,33970,31684,65839,34061,31778,67660,34821,32839
.22,64252,33015,31237,64522,33132,31390,65737,33551,32186
.23,63309,32198,31111,63527,32328,31199,64933,33127,31806
.24,62833,31865,30968,62675,31723,30952,63597,32055,31542
.25,63866,32059,31807,63701,31997,31704,63315,31779,31536
.26,65253,32524,32729,65067,32462,32605,63891,31928,31963
.27,66828,32984,33844,66496,32879,33617,65564,32624,32940
.28,68659,33629,35030,68397,33565,34832,66906,33066,33840
.29,70880,34615,36265,70425,34360,36065,69078,33725,35353
.30,70416,34198,36218,71069,34529,36540,71362,34822,36540
.31,68329,33186,35143,68779,33395,35384,71643,34717,36926
.32,65503,31814,33689,66119,32085,34034,69367,33606,35761
.33,64014,31399,32615,64452,31539,32913,66913,32426,34487
.34,64097,31453,32644,64163,31450,32713,65147,31771,33376
.35,63510,31249,32261,64159,31528,32631,65108,31924,33184
.36,63426,31009,32417,63131,30861,32270,64834,31711,33123
.37,64763,31552,33211,64669,31530,33139,64030,31267,32763
.38,64630,31619,33011,65056,31753,33303,65385,31805,33580
.39,64735,31694,33041,64575,31594,32981,65756,32036,33720
.40,63422,30978,32444,64313,31422,32891,65125,31750,33375
.41,61963,30378,31585,62345,30501,31844,64769,31623,33146
.42,61117,29779,31338,61084,29820,31264,62831,30707,32124
.43,59441,28957,30484,60399,29392,31007,61606,30032,31574
.44,57953,28221,29732,57838,28154,29684,60897,29496,31401
.45,59412,29012,30400,59477,28993,30484,58302,28328,29974
.46,59468,29001,30467,59327,28924,30403,59862,29133,30729
.47,61456,29966,31490,60917,29664,31253,59595,28913,30682
.48,64570,31548,33022,63981,31243,32738,61401,29890,31511
.49,68370,33538,34832,67883,33268,34615,64289,31310,32979
.50,65686,32295,33391,66614,32720,33894,68579,33525,35054
.51,64009,31280,32729,64212,31412,32800,67250,32945,34305
.52,62686,30595,32091,63057,30752,32305,64612,31520,33092
.53,63814,30854,32960,63647,30808,32839,63541,30901,32640
.54,65715,31705,34010,65283,31519,33764,64250,31001,33249
.55,68731,33028,35703,68171,32757,35414,65874,31770,34104
.56,70557,33876,36681,70488,33827,36661,69002,33006,35996
.57,69726,33468,36258,70186,33667,36519,71212,34125,37087
.58,70428,33654,36774,70407,33642,36765,70873,33916,36957
.59,70078,33434,36644,70541,33651,36890,71098,33804,37294
.60,69128,33025,36103,69421,33122,36299,71271,33869,37402
.61,68168,32376,35792,68401,32519,35882,70053,33307,36746
.62,68723,32408,36315,68609,32398,36211,69125,32763,36362
.63,67819,31839,35980,68706,32260,36446,69380,32679,36701
.64,66540,31012,35528,66613,31088,35525,69570,32601,36969
.65,65706,30551,35155,65935,30651,35284,67086,31193,35893
.66,64020,29493,34527,64694,29837,34857,66107,30686,35421
.67,62325,28666,33659,62586,28772,33814,64664,29729,34935
.68,61262,28329,32933,61051,28160,32891,62133,28435,33698
.69,57636,26371,31265,58872,26973,31899,60475,27796,32679
.70,56549,26034,30515,56631,26022,30609,58423,26669,31754
