table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for South Dakota: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,886667,450180,436487,887099,450388,436711,895376,454842,440534
.0,11650,5926,5724,11654,5909,5745,10917,5564,5353
.1,11761,5960,5801,11692,5925,5767,11626,5899,5727
.2,12120,6120,6000,12007,6069,5938,11774,6000,5774
.3,12208,6234,5974,12149,6187,5962,12115,6158,5957
.4,12287,6366,5921,12305,6349,5956,12236,6239,5997
.5,12377,6360,6017,12341,6363,5978,12368,6383,5985
.6,12278,6290,5988,12322,6318,6004,12337,6342,5995
.7,12176,6235,5941,12194,6249,5945,12384,6337,6047
.8,12105,6204,5901,12083,6185,5898,12263,6283,5980
.9,12097,6227,5870,12090,6222,5868,12167,6245,5922
.10,12445,6465,5980,12361,6401,5960,12147,6256,5891
.11,12700,6529,6171,12590,6490,6100,12436,6426,6010
.12,13017,6710,6307,13011,6704,6307,12732,6546,6186
.13,12812,6564,6248,12840,6590,6250,13000,6700,6300
.14,12327,6287,6040,12443,6361,6082,12913,6643,6270
.15,12145,6286,5859,12213,6300,5913,12532,6429,6103
.16,12119,6286,5833,12149,6302,5847,12296,6367,5929
.17,11511,5923,5588,11650,6002,5648,12186,6278,5908
.18,11155,5700,5455,11116,5686,5430,11419,5877,5542
.19,12579,6554,6025,12561,6531,6030,12499,6476,6023
.20,12185,6268,5917,12240,6299,5941,12300,6308,5992
.21,11970,6167,5803,11935,6154,5781,12240,6315,5925
.22,11645,5975,5670,11659,5992,5667,11912,6177,5735
.23,11488,6003,5485,11449,5988,5461,11600,6064,5536
.24,11186,5854,5332,11128,5807,5321,11252,5883,5369
.25,11038,5750,5288,11004,5739,5265,11061,5767,5294
.26,11184,5815,5369,11120,5791,5329,11050,5774,5276
.27,11423,5987,5436,11313,5916,5397,11228,5843,5385
.28,11473,6045,5428,11440,6023,5417,11354,5956,5398
.29,11173,5835,5338,11259,5882,5377,11556,6047,5509
.30,11142,5794,5348,11183,5806,5377,11322,5874,5448
.31,11288,5866,5422,11210,5829,5381,11343,5913,5430
.32,11304,5723,5581,11254,5731,5523,11318,5857,5461
.33,11405,5919,5486,11389,5881,5508,11390,5846,5544
.34,11657,6161,5496,11591,6102,5489,11549,5982,5567
.35,11453,6051,5402,11553,6102,5451,11601,6048,5553
.36,11510,6008,5502,11430,5988,5442,11706,6197,5509
.37,11432,5944,5488,11453,5960,5493,11497,6000,5497
.38,11568,6122,5446,11590,6116,5474,11609,6039,5570
.39,11473,6090,5383,11455,6074,5381,11544,6105,5439
.40,11194,5792,5402,11335,5904,5431,11529,6091,5438
.41,10409,5361,5048,10565,5442,5123,11358,5925,5433
.42,10084,5150,4934,10113,5176,4937,10638,5493,5145
.43,9811,5096,4715,9948,5148,4800,10147,5191,4956
.44,9457,4978,4479,9451,4960,4491,10018,5166,4852
.45,9191,4778,4413,9281,4837,4444,9423,4937,4486
.46,8918,4603,4315,8951,4633,4318,9352,4880,4472
.47,9025,4684,4341,8978,4650,4328,9071,4741,4330
.48,9448,4874,4574,9324,4810,4514,9010,4669,4341
.49,9981,5126,4855,9882,5076,4806,9357,4809,4548
.50,9616,4980,4636,9725,5024,4701,9943,5139,4804
.51,9443,4901,4542,9454,4906,4548,9847,5070,4777
.52,9300,4811,4489,9298,4807,4491,9469,4870,4599
.53,9615,4922,4693,9563,4910,4653,9415,4876,4539
.54,9988,5108,4880,9854,5043,4811,9605,4908,4697
.55,10644,5397,5247,10472,5309,5163,9947,5081,4866
.56,11353,5745,5608,11238,5681,5557,10553,5344,5209
.57,11732,5910,5822,11654,5878,5776,11288,5705,5583
.58,12023,6067,5956,11938,6015,5923,11718,5874,5844
.59,12161,6064,6097,12211,6109,6102,12018,6070,5948
.60,12093,6049,6044,12082,6034,6048,12241,6102,6139
.61,11927,5978,5949,11970,5995,5975,12148,6093,6055
.62,12074,6112,5962,12064,6093,5971,11988,5990,5998
.63,11820,5950,5870,12004,6053,5951,12134,6133,6001
.64,11630,5846,5784,11625,5835,5790,11962,6012,5950
.65,11487,5802,5685,11519,5804,5715,11613,5796,5817
.66,11207,5622,5585,11292,5672,5620,11462,5735,5727
.67,10737,5463,5274,10796,5473,5323,11219,5648,5571
.68,10378,5224,5154,10366,5236,5130,10672,5436,5236
.69,9525,4813,4712,9775,4931,4844,10212,5134,5078
.70,9015,4515,4500,9071,4552,4519,9545,4795,4750
.71,8424,4260,4164,8536,4301,4235,8856,4433,4423
.72,8079,4121,3958,7975,4055,3920,8359,4199,4160
.73,7725,3943,3782,8155,4156,3999,7820,3959,3861
.74,5415,2692,2723,5534,2771,2763,7931,4035,3896
.75,5315,2568,2747,5308,2584,2724,5317,2658,2659
.76,5300,2508,2792,5197,2462,2735,5113,2476,2637
.77,5136,2426,2710,5237,2474,2763,4963,2327,2636
.78,4362,2059,2303,4423,2084,2339,4990,2318,2672
.79,3852,1795,2057,3898,1816,2082,4157,1931,2226
.80,3680,1657,2023,3668,1664,2004,3708,1719,1989
.81,3506,1576,1930,3474,1559,1915,3444,1556,1888
.82,3145,1335,1810,3180,1355,1825,3248,1415,1833
.83,2944,1243,1701,2893,1206,1687,2951,1246,1705
.84,2888,1223,1665,2817,1174,1643,2672,1089,1583
.85+,18744,6450,12294,18579,6408,12171,18166,6325,11841
,,,,,,,,,
.Median Age (years),37.4,36.8,38.1,37.5,36.8,38.2,37.7,37,38.3
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for South Dakota: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-46)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
