table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Tennessee: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,6910840,3390535,3520305,6920119,3394400,3525719,6975218,3420001,3555217
.0,79717,40708,39009,79020,40249,38771,76671,39222,37449
.1,80364,40965,39399,80166,40872,39294,79825,40619,39206
.2,81802,41890,39912,81673,41769,39904,80775,41208,39567
.3,82151,42125,40026,81919,42003,39916,82524,42155,40369
.4,83909,42834,41075,83790,42820,40970,82555,42351,40204
.5,84093,42936,41157,84215,43012,41203,84687,43226,41461
.6,83101,42565,40536,83617,42800,40817,84906,43394,41512
.7,83355,42532,40823,83335,42547,40788,84349,43185,41164
.8,83634,42932,40702,83472,42789,40683,84078,42925,41153
.9,83489,42748,40741,83565,42823,40742,84324,43269,41055
.10,86408,44232,42176,85770,43894,41876,84243,43195,41048
.11,89761,45762,43999,88739,45299,43440,86404,44312,42092
.12,93023,47623,45400,92758,47430,45328,89343,45622,43721
.13,91993,47085,44908,92278,47251,45027,93366,47761,45605
.14,89713,45911,43802,90332,46228,44104,92804,47511,45293
.15,88344,45071,43273,88845,45358,43487,90868,46443,44425
.16,89182,45420,43762,89192,45448,43744,89298,45514,43784
.17,87840,44582,43258,88231,44809,43422,89654,45722,43932
.18,84524,43341,41183,84078,43061,41017,84916,43399,41517
.19,83948,42948,41000,83712,42800,40912,82719,42184,40535
.20,86187,43773,42414,86759,44046,42713,86913,44059,42854
.21,87113,43941,43172,87128,43980,43148,89180,45156,44024
.22,87726,44009,43717,88372,44308,44064,89654,44888,44766
.23,90102,45201,44901,90289,45274,45015,91633,45979,45654
.24,91996,46131,45865,91589,45898,45691,92067,45918,46149
.25,93417,46585,46832,93300,46575,46725,92780,46315,46465
.26,95440,47576,47864,95398,47590,47808,94880,47350,47530
.27,96763,48196,48567,96396,48033,48363,96032,47894,48138
.28,99733,49593,50140,99335,49498,49837,97630,48764,48866
.29,101013,50365,50648,100781,50156,50625,99745,49652,50093
.30,98328,48947,49381,99583,49506,50077,101377,50361,51016
.31,94780,46851,47929,95523,47306,48217,100330,49823,50507
.32,91517,45088,46429,92156,45395,46761,96061,47419,48642
.33,89536,44205,45331,90073,44493,45580,92988,45882,47106
.34,90024,44915,45109,90109,44856,45253,91244,45250,45994
.35,88137,43863,44274,89087,44336,44751,89999,44604,45395
.36,87558,43369,44189,87229,43215,44014,89685,44593,45092
.37,89374,44498,44876,89152,44324,44828,87700,43430,44270
.38,89031,44195,44836,89558,44460,45098,89577,44585,44992
.39,88878,44073,44805,88730,43992,44738,90273,44679,45594
.40,88546,43981,44565,89276,44321,44955,89153,44210,44943
.41,86133,42669,43464,86602,42878,43724,89669,44390,45279
.42,85052,41990,43062,84874,41920,42954,86914,42938,43976
.43,83344,41272,42072,84473,41803,42670,85475,42240,43235
.44,81170,40218,40952,80971,40096,40875,84701,41893,42808
.45,83323,41381,41942,83293,41332,41961,81335,40403,40932
.46,82703,41014,41689,82617,40935,41682,83622,41376,42246
.47,85804,42505,43299,84818,42006,42812,82826,40982,41844
.48,90645,44919,45726,89425,44288,45137,84789,41924,42865
.49,96003,47650,48353,95219,47232,47987,89600,44274,45326
.50,91699,45602,46097,92995,46206,46789,95625,47476,48149
.51,88129,43879,44250,88654,44079,44575,93091,46102,46989
.52,85321,42386,42935,85891,42670,43221,88839,44126,44713
.53,86789,42796,43993,86452,42688,43764,85986,42630,43356
.54,89028,43815,45213,88309,43476,44833,86380,42538,43842
.55,93455,45679,47776,92373,45178,47195,88364,43334,45030
.56,94872,46421,48451,94812,46366,48446,92349,45106,47243
.57,93731,45538,48193,94116,45767,48349,94776,46204,48572
.58,93727,45510,48217,93606,45416,48190,94005,45516,48489
.59,92315,44633,47682,93005,44977,48028,93398,45191,48207
.60,91350,44144,47206,91330,44115,47215,92785,44729,48056
.61,89925,43265,46660,90023,43324,46699,91166,43926,47240
.62,89930,43240,46690,89673,43095,46578,89666,43075,46591
.63,87529,41751,45778,88717,42365,46352,89227,42759,46468
.64,85195,40412,44783,85043,40322,44721,88148,41923,46225
.65,82873,39335,43538,83198,39465,43733,84192,39772,44420
.66,80248,37974,42274,80912,38261,42651,82391,38905,43486
.67,76797,35919,40878,77178,36154,41024,80119,37745,42374
.68,74223,34660,39563,74066,34570,39496,76092,35442,40650
.69,69536,32438,37098,70850,33010,37840,72820,33751,39069
.70,67634,31517,36117,67561,31456,36105,69422,32168,37254
.71,67065,31215,35850,66903,31073,35830,66148,30636,35512
.72,67611,31591,36020,66119,30820,35299,65236,30100,35136
.73,67013,31601,35412,69872,32863,37009,64141,29687,34454
.74,46715,21450,25265,48181,22226,25955,67707,31600,36107
.75,46498,21350,25148,46367,21260,25107,46555,21375,25180
.76,45723,20862,24861,45116,20563,24553,44604,20265,24339
.77,44433,20188,24245,45233,20524,24709,43118,19521,23597
.78,38048,17044,21004,38416,17214,21202,43156,19321,23835
.79,33853,14890,18963,34207,15055,19152,36443,16146,20297
.80,30688,13242,17446,30986,13395,17591,32241,14022,18219
.81,28540,12266,16274,28395,12190,16205,29003,12373,16630
.82,25556,10706,14850,25913,10863,15050,26292,11107,15185
.83,22158,9133,13025,22363,9214,13149,23758,9801,13957
.84,20780,8374,12406,20599,8333,12266,20385,8267,12118
.85+,112126,38526,73600,111863,38533,73330,111449,38914,72535
,,,,,,,,,
.Median Age (years),39,37.9,40.1,39,37.9,40.1,39.1,38,40.2
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Tennessee: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-47)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
