table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Utah: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,3271616,1655908,1615708,3281684,1661152,1620532,3337975,1690069,1647906
.0,47417,24283,23134,47209,24170,23039,44946,22931,22015
.1,47217,24197,23020,47127,24138,22989,47259,24161,23098
.2,47737,24379,23358,47623,24344,23279,47463,24300,23163
.3,49875,25570,24305,49175,25192,23983,47947,24514,23433
.4,51273,26260,25013,51109,26167,24942,49619,25398,24221
.5,51804,26543,25261,51705,26485,25220,51575,26397,25178
.6,51916,26796,25120,52005,26806,25199,52250,26795,25455
.7,52253,26729,25524,52132,26724,25408,52418,26969,25449
.8,51644,26532,25112,51691,26523,25168,52575,27030,25545
.9,53046,27361,25685,52708,27177,25531,52067,26646,25421
.10,55088,28350,26738,54637,28121,26516,53216,27465,25751
.11,56432,29007,27425,55940,28764,27176,55091,28400,26691
.12,57741,29863,27878,57699,29802,27897,56356,28998,27358
.13,57347,29836,27511,57437,29851,27586,58222,30071,28151
.14,55781,28768,27013,56226,29071,27155,57979,30131,27848
.15,54947,28146,26801,55280,28355,26925,56717,29316,27401
.16,55198,28237,26961,55308,28311,26997,55826,28576,27250
.17,53835,27687,26148,54344,27893,26451,55717,28519,27198
.18,50948,26222,24726,51119,26307,24812,52760,27154,25606
.19,48730,23874,24856,48764,23940,24824,49331,24299,25032
.20,48883,22788,26095,49403,23039,26364,50373,23476,26897
.21,51652,25667,25985,51869,25822,26047,54175,27013,27162
.22,54727,28892,25835,55126,29116,26010,57049,30111,26938
.23,57273,30521,26752,57309,30519,26790,58773,31228,27545
.24,54693,29004,25689,54712,29018,25694,56701,30013,26688
.25,51818,27056,24762,52068,27184,24884,53317,27901,25416
.26,49769,25657,24112,50035,25815,24220,51232,26437,24795
.27,48957,25031,23926,49000,25071,23929,50101,25718,24383
.28,49815,25262,24553,49707,25279,24428,49265,25201,24064
.29,49391,24946,24445,49549,25044,24505,50272,25668,24604
.30,47098,23933,23165,47951,24315,23636,49938,25284,24654
.31,45943,23643,22300,46128,23678,22450,48594,24581,24013
.32,44261,22500,21761,44663,22770,21893,46750,24070,22680
.33,43252,21708,21544,43505,21922,21583,45233,23043,22190
.34,44291,22228,22063,44079,22131,21948,43986,22161,21825
.35,45060,22995,22065,45184,22964,22220,44603,22399,22204
.36,45992,23514,22478,45518,23254,22264,45538,23152,22386
.37,47616,24375,23241,47352,24235,23117,46027,23584,22443
.38,47716,24401,23315,47923,24509,23414,47801,24419,23382
.39,47828,24530,23298,47685,24425,23260,48198,24630,23568
.40,47435,24308,23127,47898,24565,23333,48001,24626,23375
.41,46330,23776,22554,46567,23870,22697,48255,24832,23423
.42,45761,23389,22372,45738,23412,22326,46872,24030,22842
.43,43433,22379,21054,44316,22785,21531,45958,23532,22426
.44,40663,20846,19817,41013,21048,19965,44455,22837,21618
.45,38623,19842,18781,39327,20188,19139,41197,21148,20049
.46,36659,18879,17780,37051,19054,17997,39541,20301,19240
.47,35648,18313,17335,35834,18408,17426,37154,19087,18067
.48,35988,18538,17450,35904,18476,17428,35991,18454,17537
.49,36763,18913,17850,36772,18943,17829,36180,18567,17613
.50,34167,17519,16648,34877,17875,17002,36883,18959,17924
.51,32566,16567,15999,32901,16775,16126,35086,18036,17050
.52,30824,15808,15016,31198,15959,15239,32968,16756,16212
.53,30503,15663,14840,30596,15696,14900,31246,15975,15271
