table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Virginia: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,8631393,4272806,4358587,8632044,4272978,4359066,8642274,4277201,4365073
.0,97639,49915,47724,96567,49365,47202,92468,47277,45191
.1,98918,50580,48338,98441,50303,48138,96647,49287,47360
.2,101202,51740,49462,100803,51528,49275,98881,50463,48418
.3,102282,52258,50024,101760,52020,49740,100954,51625,49329
.4,104602,53457,51145,104251,53256,50995,101858,52072,49786
.5,104323,53245,51078,104494,53350,51144,104424,53328,51096
.6,103196,52936,50260,103647,53110,50537,104589,53443,51146
.7,103512,53203,50309,103412,53113,50299,103792,53257,50535
.8,104451,53622,50829,103934,53375,50559,103371,53077,50294
.9,104843,53920,50923,104672,53819,50853,104085,53476,50609
.10,106682,54670,52012,106203,54448,51755,104766,53892,50874
.11,109072,55840,53232,108102,55337,52765,106243,54454,51789
.12,113021,57819,55202,112608,57606,55002,108253,55509,52744
.13,112299,57754,54545,112377,57738,54639,112743,57653,55090
.14,109878,56510,53368,110404,56778,53626,112495,57821,54674
.15,108693,55761,52932,109028,55963,53065,110350,56697,53653
.16,109785,55892,53893,109680,55943,53737,109269,56016,53253
.17,108026,54823,53203,108473,55074,53399,109638,55861,53777
.18,112990,57154,55836,112246,56731,55515,112681,56871,55810
.19,116902,59302,57600,116620,59192,57428,114729,58167,56562
.20,115885,59767,56118,116673,60107,56566,117146,60279,56867
.21,115727,60246,55481,115595,60228,55367,117641,61211,56430
.22,113154,59145,54009,113587,59363,54224,113812,59423,54389
.23,112015,57927,54088,111829,57910,53919,111804,58264,53540
.24,113259,58414,54845,112522,57984,54538,112026,57551,54475
.25,115271,59123,56148,114828,58947,55881,112999,58151,54848
.26,117239,59737,57502,116861,59605,57256,114832,58593,56239
.27,118437,60285,58152,117916,60034,57882,117003,59649,57354
.28,118719,60119,58600,118736,60208,58528,117828,59941,57887
.29,120515,60956,59559,120142,60732,59410,118868,60211,58657
.30,119874,60307,59567,120697,60743,59954,120344,60649,59695
.31,118728,59598,59130,118685,59602,59083,120829,60748,60081
.32,118419,59473,58946,118229,59324,58905,119160,59804,59356
.33,118277,59521,58756,118166,59403,58763,118554,59340,59214
.34,119967,60467,59500,119504,60188,59316,118628,59509,59119
.35,118564,59598,58966,119565,60126,59439,119667,60188,59479
.36,118038,59407,58631,117469,59077,58392,119626,60064,59562
.37,120415,60767,59648,120000,60512,59488,117652,59215,58437
.38,118788,59919,58869,119557,60232,59325,119755,60389,59366
.39,118243,59548,58695,117844,59344,58500,119180,60009,59171
.40,115941,58059,57882,117182,58749,58433,117546,59078,58468
.41,111766,55907,55859,112571,56268,56303,116832,58427,58405
.42,110001,54853,55148,109790,54822,54968,112380,56163,56217
.43,106694,52960,53734,108070,53674,54396,109576,54785,54791
.44,104412,52014,52398,103989,51774,52215,107546,53391,54155
.45,105104,52638,52466,105312,52628,52684,103406,51396,52010
.46,104067,52378,51689,103935,52247,51688,104995,52492,52503
.47,106749,53200,53549,105681,52733,52948,103012,51583,51429
.48,113026,56346,56680,111432,55545,55887,105026,52343,52683
.49,118797,59288,59509,117727,58784,58943,110800,55215,55585
.50,114296,56982,57314,115455,57562,57893,116851,58266,58585
.51,111098,55078,56020,111202,55188,56014,114567,57078,57489
.52,109190,53951,55239,109374,54078,55296,110233,54566,55667
.53,110762,54659,56103,110046,54283,55763,108369,53593,54776
.54,112953,55779,57174,111991,55325,56666,109053,53748,55305
.55,118039,57846,60193,116522,57168,59354,110659,54507,56152
.56,119942,59023,60919,119542,58759,60783,115162,56416,58746
.57,118954,58535,60419,119085,58575,60510,118015,57920,60095
.58,118391,58401,59990,118133,58187,59946,117514,57624,59890
.59,116386,57217,59169,116767,57435,59332,116463,57284,59179
