table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Wisconsin: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,5893718,2952254,2941464,5892323,2951871,2940452,5895908,2953874,2942034
.0,63043,32233,30810,63089,32308,30781,59985,30612,29373
.1,64226,32828,31398,63852,32626,31226,63663,32694,30969
.2,65440,33481,31959,65250,33380,31870,64144,32792,31352
.3,67600,34488,33112,66910,34166,32744,65422,33411,32011
.4,68825,35205,33620,68735,35129,33606,67031,34181,32850
.5,69348,35523,33825,69292,35476,33816,68929,35299,33630
.6,68985,35421,33564,69218,35528,33690,69380,35530,33850
.7,69510,35372,34138,69335,35366,33969,69371,35575,33796
.8,69990,35943,34047,69659,35694,33965,69358,35340,34018
.9,70925,36485,34440,70640,36350,34290,69786,35769,34017
.10,74540,38273,36267,73613,37817,35796,70726,36379,34347
.11,76162,39093,37069,75472,38755,36717,73605,37869,35736
.12,78425,40294,38131,78194,40160,38034,75442,38726,36716
.13,78456,40189,38267,78362,40188,38174,78277,40203,38074
.14,76987,39538,37449,77328,39695,37633,78501,40273,38228
.15,76354,39136,37218,76562,39251,37311,77358,39741,37617
.16,77455,39695,37760,77288,39620,37668,76543,39245,37298
.17,76177,39097,37080,76511,39245,37266,77235,39554,37681
.18,76511,38999,37512,75943,38749,37194,76460,39105,37355
.19,81213,41075,40138,80968,40920,40048,79786,40323,39463
.20,80537,40404,40133,81070,40684,40386,81250,40795,40455
.21,79522,39754,39768,79425,39725,39700,80845,40493,40352
.22,78810,39844,38966,78940,39946,38994,79632,40280,39352
.23,76871,39383,37488,76764,39299,37465,77268,39714,37554
.24,74423,38570,35853,74188,38378,35810,74496,38384,36112
.25,73904,38147,35757,73738,38121,35617,73157,37858,35299
.26,75587,38757,36830,75153,38610,36543,73358,37927,35431
.27,76130,38975,37155,75730,38795,36935,74600,38310,36290
.28,75518,38564,36954,75773,38757,37016,75819,38774,37045
.29,73604,37583,36021,74146,37820,36326,76015,38848,37167
.30,72588,37243,35345,73265,37509,35756,74365,37880,36485
.31,71497,36795,34702,71624,36850,34774,73531,37666,35865
.32,71636,36700,34936,71534,36672,34862,72106,37101,35005
.33,72925,37281,35644,72569,37117,35452,71710,36699,35011
.34,75381,38395,36986,74774,38120,36654,72896,37233,35663
.35,76184,38742,37442,76382,38864,37518,74959,38235,36724
.36,75371,38119,37252,75074,37984,37090,76400,38733,37667
.37,76905,39140,37765,76660,38962,37698,75164,38076,37088
.38,76641,39124,37517,76982,39266,37716,76680,39013,37667
.39,76808,39305,37503,76547,39150,37397,76961,39247,37714
.40,75393,38465,36928,76139,38873,37266,76440,39137,37303
.41,72629,37152,35477,73191,37414,35777,76170,38908,37262
.42,70891,36157,34734,70932,36206,34726,73081,37290,35791
.43,68508,34856,33652,69544,35397,34147,70752,36119,34633
.44,66513,33953,32560,66376,33864,32512,69275,35283,33992
.45,66745,34173,32572,67006,34282,32724,66307,33864,32443
.46,64671,32845,31826,64886,33006,31880,66824,34172,32652
.47,65863,33465,32398,65351,33189,32162,64633,32837,31796
.48,70510,35937,34573,69254,35253,34001,64989,32961,32028
.49,76319,38962,37357,75231,38414,36817,69069,35147,33922
.50,74021,37765,36256,74619,38054,36565,74902,38203,36699
.51,73119,37258,35861,73019,37210,35809,74483,37952,36531
.52,72899,37066,35833,72645,36943,35702,72748,36979,35769
.53,75961,38327,37634,75145,37973,37172,72375,36789,35586
.54,78062,39239,38823,77262,38881,38381,74832,37767,37065
.55,82092,41164,40928,80989,40606,40383,76898,38673,38225
.56,84190,42251,41939,83810,42043,41767,80542,40262,40280
.57,85072,42497,42575,84865,42433,42432,83412,41762,41650
.58,87412,43711,43701,86600,43257,43343,84376,42199,42177
.59,87300,43553,43747,87578,43722,43856,86007,42885,43122
.60,85293,42642,42651,85371,42657,42714,86899,43299,43600
.61,84566,42346,42220,84344,42205,42139,84679,42259,42420
.62,83549,41704,41845,83523,41700,41823,83418,41632,41786
.63,80265,40047,40218,81579,40692,40887,82584,41119,41465
.64,77506,38671,38835,77513,38632,38881,80756,40185,40571
.65,75871,37712,38159,75979,37763,38216,76563,38060,38503
.66,72982,36079,36903,73559,36378,37181,74891,37078,37813
.67,70207,34659,35548,70434,34757,35677,72407,35679,36728
.68,68668,34007,34661,68351,33812,34539,69426,34104,35322
.69,62616,30718,31898,64273,31547,32726,67080,33074,34006
.70,59949,29191,30758,60157,29308,30849,63051,30821,32230
.71,57454,27927,29527,57904,28106,29798,58921,28594,30327
.72,56439,27390,29049,55492,26935,28557,56534,27276,29258
.73,55214,26971,28243,57949,28237,29712,54007,26104,27903
.74,38702,18441,20261,39794,19039,20755,56265,27199,29066
.75,38347,18176,20171,38279,18146,20133,38453,18324,20129
.76,38165,17879,20286,37585,17643,19942,37035,17451,19584
.77,37667,17349,20318,38310,17723,20587,36024,16780,19244
.78,32342,14741,17601,32713,14914,17799,36743,16814,19929
.79,28608,12910,15698,28987,13079,15908,31180,14092,17088
.80,25782,11476,14306,26092,11605,14487,27354,12215,15139
.81,25113,11056,14057,24776,10902,13874,24633,10789,13844
.82,23283,10118,13165,23459,10170,13289,23142,10057,13085
.83,20883,8952,11931,20948,8962,11986,21822,9315,12507
.84,19338,8184,11154,19242,8165,11077,19203,8068,11135
.85+,115725,40919,74806,114709,40722,73987,112509,40410,72099
,,,,,,,,,
.Median Age (years),39.8,39.1,40.6,39.9,39.1,40.7,40.1,39.3,40.9
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Wisconsin: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-55)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
