table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Wyoming: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,576851,295691,281160,577267,295948,281319,578803,296214,282589
.0,6228,3196,3032,6323,3274,3049,6156,3154,3002
.1,6344,3262,3082,6304,3236,3068,6330,3252,3078
.2,6704,3407,3297,6626,3379,3247,6329,3242,3087
.3,6953,3577,3376,6882,3530,3352,6556,3332,3224
.4,7332,3814,3518,7273,3774,3499,6920,3559,3361
.5,7291,3796,3495,7307,3799,3508,7239,3737,3502
.6,7276,3713,3563,7297,3749,3548,7292,3808,3484
.7,7316,3802,3514,7306,3779,3527,7276,3750,3526
.8,7360,3867,3493,7333,3844,3489,7330,3774,3556
.9,7489,3850,3639,7468,3859,3609,7317,3841,3476
.10,7934,4006,3928,7825,3964,3861,7474,3844,3630
.11,8131,4192,3939,8059,4138,3921,7823,3973,3850
.12,8330,4287,4043,8331,4289,4042,8087,4132,3955
.13,8308,4314,3994,8310,4301,4009,8307,4263,4044
.14,7993,4119,3874,8069,4163,3906,8293,4265,4028
.15,7803,3970,3833,7859,4009,3850,8113,4184,3929
.16,7610,3949,3661,7669,3964,3705,7896,4005,3891
.17,7446,3875,3571,7498,3904,3594,7686,3981,3705
.18,7023,3659,3364,7030,3665,3365,7213,3775,3438
.19,7351,3894,3457,7357,3898,3459,7323,3891,3432
.20,7501,3985,3516,7536,4000,3536,7538,3986,3552
.21,7636,4131,3505,7622,4116,3506,7699,4107,3592
.22,7690,4095,3595,7721,4130,3591,7749,4190,3559
.23,7394,3883,3511,7393,3884,3509,7423,3906,3517
.24,7167,3752,3415,7147,3731,3416,7236,3746,3490
.25,6890,3599,3291,6929,3629,3300,6949,3667,3282
.26,7092,3711,3381,7059,3688,3371,6935,3606,3329
.27,7224,3674,3550,7178,3663,3515,7007,3630,3377
.28,7579,3862,3717,7502,3831,3671,7101,3616,3485
.29,7679,3998,3681,7666,3971,3695,7469,3839,3630
