1,AL,151824,323982,164506,162658,475329,656115,507993
2,AK,25707,52886,23982,28813,89564,98506,64976
4,AZ,209628,472623,243640,247453,743661,896802,757775
5,AR,94661,204969,102586,100011,292263,387029,305079
6,CA,1187569,2615082,1317409,1325655,4520167,5308417,3497349
8,CO,164501,368365,191683,194934,698892,778204,527835
9,CT,92791,213998,124012,122279,341459,498298,377489
10,DE,27840,59888,31243,28858,94729,125512,113254
11,DC,22059,34504,16926,21828,105263,81123,46935
12,FL,574561,1239341,626231,629977,2087249,2869148,2564904
13,GA,329696,736429,379977,362858,1085539,1430421,908941
15,HI,44933,90298,41195,49174,156389,189007,162020
16,ID,58942,135945,66646,62134,184361,232392,186782
17,IL,378026,828386,432771,416811,1320705,1730234,1228008
18,IN,213537,462089,239240,239231,665313,892996,654584
19,IA,99126,215864,112210,115316,309742,411885,334494
20,KS,94673,207832,106345,109442,294346,369808,289456
21,KY,139034,295646,150212,152700,439510,604912,451017
22,LA,151088,316485,152662,152026,478823,589275,443886
23,ME,32769,73815,41084,38046,123031,188459,174664
24,MD,186088,398895,200030,187678,622912,837935,576746
25,MA,183392,398846,232949,240085,734319,945656,699465
26,MI,288599,630428,335371,341961,974765,1343898,1078591
27,MN,178188,386040,189952,177857,590954,762825,574209
28,MS,91861,203583,103875,100017,281982,376634,284581
29,MO,188106,402856,203694,202851,609348,799817,631292
30,MT,30874,69097,34265,37834,107839,137850,131282
31,NE,66675,141673,70120,69076,199074,247846,190908
32,NV,93317,205006,96047,92551,342024,425893,309766
33,NH,32374,75462,43416,44458,132977,196821,161459
34,NJ,274127,590074,300566,281557,911540,1309108,904290
35,NM,60708,141977,73127,72460,217347,261501,226714
36,NY,591303,1204644,628389,641026,2132421,2685577,1989265
37,NC,304677,667938,353566,354436,1018516,1390362,1016432
38,ND,27930,53479,25877,33209,89842,94598,76116
39,OH,351921,758638,394084,378211,1152952,1557692,1227731
40,OK,129134,280446,138427,140774,406883,498898,377155
41,OR,113417,257463,128410,132329,458506,563661,459048
42,PA,358370,783423,420567,402961,1286129,1734661,1430149
44,RI,28465,60953,36958,38363,112908,145656,114434
45,SC,145969,324628,166758,166026,484984,658592,544459
46,SD,30606,63871,30749,30267,89110,110396,95173
47,TN,208522,444326,221362,223055,692319,918002,682945
48,TX,996247,2176223,1071282,1017822,3212239,3790605,2286343
49,UT,124689,279785,134166,136872,361779,384191,234422
50,VT,14854,35078,22207,23315,58302,86635,79424
51,VA,257950,549519,282932,295499,898825,1170274,817799
53,WA,230910,493924,234024,250136,901760,1024557,745116
54,WV,47034,106735,55999,56426,163077,246280,218873
55,WI,168235,376131,198002,197955,572870,801438,637621
56,WY,17256,39946,19347,19846,59451,74981,64860
