1,AL,57105,58230,59860,60473,61493,61522,60680,60205,61254,61780,63538,65968,67932,67048,65220,64551,65080,64450,63942,65924,65744,65700,65563,64770,63833,63887,65065,66045,67781,69758,68632,65634,63188,62379,62321,62224,61875,62737,62988,63500,62739,60864,60796,59484,58079,59147,59324,61622,65213,68805,64910,62681,61484,62529,64350,67952,68999,68928,70039,69190,68443,67219,67252,65763,63925,61853,59790,57434,55745,51863,51055,50048,50144,49586,35097,34892,34423,33724,28577,25425,23512,22184,20172,17449,16161,15824,14208,12592,10976,9360,7744,6128,4512,2896,1280,5
2,AK,9657,9631,9904,10207,10494,10352,10319,10308,10396,10388,10292,10406,10408,10157,9729,9773,9609,9537,8589,8266,9424,9873,10095,10314,10465,10905,11121,11524,12001,12085,11911,11528,11425,11262,11458,11265,11019,11110,10490,10206,9728,9147,8920,8587,8310,8248,7956,8151,8520,9101,8914,8514,8284,8474,8698,9181,9440,9607,9729,9691,9597,9199,9142,8823,8534,8473,7941,7474,7026,6378,6138,5626,5382,5117,3699,3614,3395,3137,2672,2383,1985,1735,1594,1399,1228,1211,1088,965,842,720,597,474,352,229,106,5
4,AZ,78100,79410,81423,84527,86831,88767,88472,88301,88476,89188,91892,95678,99470,98954,96059,94768,94507,92018,96022,98341,95544,95631,95483,96972,96840,97161,98633,99715,101623,102748,101106,96614,94555,92963,93890,92321,91301,93109,92682,92517,90863,86177,85420,83795,82819,83913,82000,81940,85713,90507,87085,83755,81293,81190,82069,85842,87560,88145,89286,88886,87645,86782,87417,85329,83647,82704,81433,79485,78182,74441,74132,73577,75179,76252,54458,54306,53897,52712,45030,40323,36532,33808,30577,26783,24211,24072,21651,19230,16809,14388,11967,9546,7125,4704,2283,5
5,AR,35611,36058,37065,37596,38592,38630,38044,38005,38647,38747,39906,41101,42597,42562,41137,40638,40738,40220,38921,39417,40197,39836,39859,38904,38540,38243,38595,39233,40212,41362,40687,39023,38159,37651,37809,37796,38200,38718,38716,39023,38407,36824,36530,35430,34631,35216,34755,35402,37156,38890,37139,35609,34829,35546,36322,38836,39882,39804,40073,39555,39003,38466,38228,37280,36395,35577,34674,33462,32416,30380,29696,29274,29416,29518,21058,21185,20864,20189,17520,15913,14529,13384,12105,10635,9810,9868,8887,7906,6925,5944,4963,3982,3001,2020,1039,179
6,CA,445470,448027,461505,479513,486785,495278,490958,494655,496041,503104,506920,519686,539024,535111,522001,517256,518398,512805,519733,511969,504713,502310,508783,525839,543625,559068,576022,590575,611767,631749,626804,608448,595343,582614,580364,573716,566063,570411,561237,551983,539810,514851,507492,498980,493358,495301,484202,488546,504233,530873,524337,504218,489369,485419,489624,505786,508096,504383,500680,497129,488858,471884,466154,447619,433975,422354,400256,383549,364809,344543,336221,321409,316900,312965,235045,230122,218776,210472,182413,165991,153975,143530,132311,119094,110002,115950,104949,93949,82949,71949,60949,49949,38949,27949,18138,16949
8,CO,62235,62397,64059,66244,67766,68376,67991,67893,69049,70541,72845,74414,76259,76288,74775,74363,75007,73438,73738,75273,72387,72140,73446,76074,79294,83361,86916,90545,93302,94136,93406,91208,90205,90622,90712,89022,87382,87441,85699,84960,81990,78275,76652,73944,71984,72190,70088,70525,73629,77543,74483,71097,67243,66131,66601,70242,71835,72347,73920,73699,72618,71534,71031,68730,66987,64896,62677,60846,58546,53775,51752,49570,49189,48561,33585,32660,31468,29991,25514,22460,20417,19102,17197,15259,13961,14341,12945,11549,10153,8757,7361,5965,4569,3173,1777,1162
9,CT,34477,35349,36502,37238,38018,38627,38558,39009,39718,40679,41957,43671,45389,45884,45903,46315,47167,47148,50923,51991,52290,50846,47179,44459,44110,44439,45260,45338,44212,43898,44025,44214,45178,45469,46243,45567,45243,45564,45306,45061,44588,43491,43035,42153,41476,41692,41378,43076,46611,50608,50199,49609,49245,50925,52731,54505,54971,54227,54511,54244,53144,52031,51336,48853,46865,44983,42557,40635,38594,35369,34441,33553,34267,34761,25141,24689,24783,24771,20612,18003,16433,15632,14547,13051,12227,13431,12208,10985,9763,8540,7318,6095,4872,3673,3650,2427
10,DE,10482,10644,10913,11191,11374,11272,11257,11260,11622,11689,11840,12125,12398,12295,12105,12036,12143,12063,12954,12839,12085,11287,11224,11155,11361,11870,12273,12525,12977,13596,13757,13584,13003,12591,12523,12400,12283,12367,12088,12057,11860,11655,11314,10744,10486,10614,10483,10961,11668,12709,12491,12083,12163,12774,13208,13764,14084,14243,14326,14317,14061,14158,14517,14064,13888,13583,13269,12955,12521,11627,11370,11215,11432,11410,7951,7842,7726,7597,6376,5536,4933,4588,4259,3655,3334,3355,3021,2688,2355,2021,1688,1355,1021,688,355,69
11,DC,8886,8598,8542,8475,8408,8157,7617,7677,7462,7014,6578,6321,6186,5909,5438,5157,5100,5119,8672,11852,10162,8524,7792,10120,12384,13990,15077,15463,16284,16819,16906,16657,16312,15438,14850,14145,13472,12832,12122,11335,10736,10009,9145,8405,7786,7640,7288,7433,7579,7852,7428,7103,6877,6742,6888,7289,7230,7257,7107,7103,6877,6608,6537,6314,6182,6012,5887,5520,5288,5068,4909,4714,4545,4347,3284,3270,3143,3011,2704,2357,2246,2048,1916,1721,1549,1718,1563,1408,1253,1098,944,789,634,519,479,324
12,FL,216820,219879,224949,229162,234195,233966,233369,232150,234793,236192,240682,247672,257039,256840,251515,247694,247229,242444,243380,241102,243807,245427,246765,250678,253979,258216,264748,270675,279379,289318,290804,283848,278434,274600,275079,273032,270839,274706,271732,270993,267112,259332,259857,255825,252554,254279,253288,262479,276554,290167,279550,270622,268864,275825,282943,297810,303235,302279,303796,300725,294229,290219,290227,283582,278055,274173,268534,262921,259330,247282,244268,243309,250315,256041,188020,185902,186284,185354,158904,142876,130742,123158,112953,100910,92357,94276,85040,75804,66569,57333,48098,38862,29626,20391,11155,5854
