1,AL,297161,635147,323947,325610,968014,1345578,1128818
2,AK,49893,102755,45774,50171,169310,186797,128683
4,AZ,410291,925257,475656,480470,1440938,1795903,1622977
5,AR,184922,399376,199934,197336,583427,779839,666688
6,CA,2321300,5102778,2580161,2585270,8786164,10555545,7606998
8,CO,322701,718431,371819,373341,1338917,1527036,1121460
9,CT,181584,419395,243544,238884,675017,1016419,831096
10,DE,54604,117863,62035,57112,189894,260008,248422
11,DC,42909,68359,35900,48982,221702,161774,109909
12,FL,1125005,2424218,1221849,1240656,4126403,5811325,5588724
13,GA,646376,1444675,747496,715598,2203513,2933589,2020653
15,HI,87011,175383,79321,89477,301734,374600,347735
16,ID,114892,265321,130589,119007,362203,458789,388301
17,IL,739830,1620301,844871,823439,2616607,3464658,2702794
18,IN,416290,901989,465672,469143,1320888,1783363,1428179
19,IA,194142,421008,218605,224473,603569,810812,717752
20,KS,184458,406044,205311,210474,574588,733772,623228
21,KY,271123,575367,292687,296497,868738,1215141,986281
22,LA,296402,620200,298620,300210,963173,1201076,978074
23,ME,63903,143769,79408,74448,245542,381628,373658
24,MD,365119,779199,393436,371779,1257250,1722241,1288198
25,MA,358128,779290,464844,485577,1466022,1925146,1550906
26,MI,564074,1228595,655819,672697,1923087,2699413,2333640
27,MN,348520,754363,372265,352983,1156878,1500687,1220791
28,MS,180753,399118,202894,197657,572068,776053,632732
29,MO,366963,785673,396906,399612,1216062,1608928,1380762
30,MT,60242,133985,66154,71725,209739,272062,270315
31,NE,130288,275367,137117,135276,387779,486774,408895
32,NV,182569,400351,186578,181268,670661,836707,646476
33,NH,63520,146889,85692,86974,258563,394297,341586
34,NJ,535285,1154537,585516,554950,1803013,2645177,2010508
35,NM,119463,278316,142591,139813,422152,526823,488354
36,NY,1156054,2350733,1233611,1287332,4269812,5465517,4438182
37,NC,596371,1307505,693698,687310,2057828,2841277,2255389
38,ND,54070,104777,49856,62813,167354,180987,159229
39,OH,688843,1481402,769843,745653,2293553,3128299,2691848
40,OK,251897,548029,268927,271588,802437,995506,820966
41,OR,221383,501695,250267,260472,902787,1117689,982961
42,PA,699727,1528228,825254,794947,2533473,3481214,3139851
44,RI,55736,118791,73991,76234,221984,296877,253756
45,SC,285542,637494,326219,323468,988909,1357730,1199056
46,SD,60026,124334,59509,58474,170523,215486,198314
47,TN,407943,868570,433838,443124,1393529,1863139,1500696
48,TX,1952947,4258937,2094712,1986682,6322557,7571142,4958520
49,UT,243519,543052,263658,267228,708807,753863,491479
50,VT,29134,67573,43068,45591,115210,174497,168001
51,VA,504643,1071277,556396,570040,1779494,2359821,1789718
53,WA,450649,963089,458275,479170,1742408,2021076,1590608
54,WV,91651,207650,107877,109934,318262,490104,468230
55,WI,329134,733328,387710,390163,1120679,1583463,1349234
56,WY,33561,77428,37233,37388,114347,145132,131757
