table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Alabama: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,5024279,2442412,2581867,5024803,2442214,2582589,5039877,2448099,2591778
.0,57105,29173,27932,56379,28814,27565,55812,28650,27162
.1,58230,29825,28405,57976,29654,28322,56859,29089,27770
.2,59860,30623,29237,59657,30510,29147,58390,29842,28548
.3,60473,30890,29583,60206,30790,29416,60065,30723,29342
.4,61493,31313,30180,61400,31273,30127,60676,31057,29619
.5,61522,31226,30296,61641,31310,30331,61748,31463,30285
.6,60680,30884,29796,61042,31051,29991,62040,31499,30541
.7,60205,30561,29644,60374,30667,29707,61565,31295,30270
.8,61254,31269,29985,60917,31060,29857,60851,30906,29945
.9,61780,31867,29913,61632,31721,29911,61261,31253,30008
.10,63538,32471,31067,63136,32315,30821,61943,31854,30089
.11,65968,33621,32347,65206,33244,31962,63495,32474,31021
.12,67932,34567,33365,67803,34501,33302,65545,33464,32081
.13,67048,34212,32836,67250,34310,32940,68104,34685,33419
.14,65220,33304,31916,65673,33532,32141,67676,34535,33141
.15,64551,33027,31524,64794,33128,31666,65994,33647,32347
.16,65080,33233,31847,65090,33246,31844,64994,33144,31850
.17,64450,32721,31729,64574,32818,31756,65234,33285,31949
.18,63942,32355,31587,63416,32077,31339,63577,32188,31389
.19,65924,33170,32754,65441,32894,32547,63785,32007,31778
.20,65744,32616,33128,66196,32880,33316,65915,32828,33087
.21,65700,32595,33105,65621,32570,33051,66949,33199,33750
.22,65563,32767,32796,65665,32822,32843,66213,33044,33169
.23,64770,32534,32236,64881,32566,32315,65959,33037,32922
.24,63833,32146,31687,63591,31975,31616,64095,32083,32012
.25,63887,31887,32000,63712,31826,31886,62908,31434,31474
.26,65065,32575,32490,64829,32437,32392,63505,31691,31814
.27,66045,32948,33097,65690,32767,32923,64741,32259,32482
.28,67781,33398,34383,67401,33328,34073,65750,32807,32943
.29,69758,34145,35613,69289,33934,35355,67595,33334,34261
.30,68632,33600,35032,69277,33883,35394,69368,33949,35419
.31,65634,32240,33394,66237,32521,33716,69540,34012,35528
.32,63188,30927,32261,63695,31161,32534,66371,32468,33903
.33,62379,30558,31821,62582,30639,31943,63970,31231,32739
.34,62321,30332,31989,62342,30372,31970,62675,30713,31962
.35,62224,30228,31996,62600,30412,32188,62493,30344,32149
.36,61875,30032,31843,61550,29851,31699,62759,30377,32382
.37,62737,30587,32150,62573,30466,32107,61397,29738,31659
.38,62988,30800,32188,63206,30847,32359,62771,30520,32251
.39,63500,31072,32428,63072,30847,32225,63085,30728,32357
.40,62739,30589,32150,63367,30899,32468,63181,30830,32351
.41,60864,29521,31343,61294,29740,31554,63590,31050,32540
.42,60796,29423,31373,60418,29239,31179,61185,29598,31587
.43,59484,28834,30650,60280,29209,31071,60538,29303,31235
.44,58079,28231,29848,57856,28114,29742,60326,29215,31111
.45,59147,28799,30348,59206,28781,30425,57824,28046,29778
.46,59324,28904,30420,59044,28750,30294,59223,28711,30512
.47,61622,30023,31599,60943,29656,31287,59181,28717,30464
.48,65213,31929,33284,64327,31447,32880,60879,29559,31320
.49,68805,33879,34926,68247,33572,34675,64288,31405,32883
.50,64910,31888,33022,65885,32382,33503,68169,33548,34621
.51,62681,30855,31826,62901,30941,31960,66018,32477,33541
.52,61484,30277,31207,61671,30349,31322,63035,30893,32142
.53,62529,30708,31821,62148,30506,31642,61430,30119,31311
.54,64350,31417,32933,63714,31163,32551,62147,30473,31674
.55,67952,33110,34842,67055,32680,34375,63525,30968,32557
.56,68999,33692,35307,68863,33588,35275,66971,32528,34443
.57,68928,33555,35373,68926,33573,35353,68429,33272,35157
.58,70039,33958,36081,69639,33768,35871,68515,33321,35194
.59,69190,33479,35711,69561,33648,35913,69314,33518,35796
.60,68443,33044,35399,68389,33004,35385,69094,33376,35718
.61,67219,32204,35015,67271,32251,35020,67855,32619,35236
.62,67252,32125,35127,66945,31992,34953,66740,31918,34822
.63,65763,31450,34313,66501,31752,34749,66200,31446,34754
.64,63925,30334,33591,63830,30312,33518,65730,31265,34465
.65,61853,29094,32759,62092,29242,32850,62997,29751,33246
.66,59790,28024,31766,60268,28240,32028,61222,28661,32561
.67,57434,26830,30604,57650,26923,30727,59272,27655,31617
.68,55745,25977,29768,55473,25813,29660,56492,26227,30265
.69,51863,24096,27767,52928,24554,28374,54394,25165,29229
.70,51055,23489,27566,50866,23429,27437,51720,23840,27880
.71,50048,23029,27019,50029,22968,27061,49538,22639,26899
.72,50144,23113,27031,49124,22597,26527,48684,22200,26484
.73,49586,23046,26540,51703,23994,27709,47590,21734,25856
.74,35097,15770,19327,36081,16309,19772,50035,23060,26975
.75,34892,15650,19242,34744,15540,19204,34689,15539,19150
.76,34423,15331,19092,33919,15084,18835,33425,14838,18587
.77,33724,14839,18885,34281,15097,19184,32396,14279,18117
.78,28577,12504,16073,28971,12664,16307,32618,14188,18430
.79,25425,11029,14396,25654,11125,14529,27233,11811,15422
.80,23512,9904,13608,23646,9990,13656,24142,10315,13827
.81,22184,9236,12948,22026,9209,12817,22157,9282,12875
.82,20172,8313,11859,20330,8362,11968,20367,8413,11954
.83,17449,7063,10386,17602,7139,10463,18612,7548,11064
.84,16161,6395,9766,16131,6404,9727,16032,6372,9660
.85+,85529,29153,56376,85388,29196,56192,85202,29551,55651
,,,,,,,,,
.Median Age (years),39.4,38.2,40.6,39.4,38.2,40.6,39.6,38.3,40.8
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Alabama: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-01)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
