table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Arizona: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,7151502,3571586,3579916,7177986,3584651,3593335,7276316,3633714,3642602
.0,78100,39928,38172,76973,39396,37577,76130,38841,37289
.1,79410,40611,38799,79415,40605,38810,78207,39966,38241
.2,81423,41519,39904,81211,41433,39778,80582,41166,39416
.3,84527,43022,41505,83787,42679,41108,82193,41933,40260
.4,86831,44548,42283,86701,44385,42316,84744,43134,41610
.5,88767,45246,43521,88577,45215,43362,87691,44957,42734
.6,88472,45313,43159,88889,45487,43402,89610,45790,43820
.7,88301,44865,43436,88443,45021,43422,89732,45881,43851
.8,88476,45325,43151,88339,45140,43199,89430,45525,43905
.9,89188,45503,43685,89166,45580,43586,89025,45500,43525
.10,91892,47050,44842,91463,46772,44691,90132,46018,44114
.11,95678,48897,46781,94542,48338,46204,92137,47095,45042
.12,99470,50784,48686,99198,50683,48515,95276,48658,46618
.13,98954,50593,48361,99117,50654,48463,100003,51156,48847
.14,96059,49047,47012,96904,49514,47390,99585,50914,48671
.15,94768,48453,46315,95315,48706,46609,97615,49892,47723
.16,94507,48316,46191,94845,48490,46355,96036,49115,46921
.17,92018,47059,44959,92808,47454,45354,95860,49100,46760
.18,96022,48958,47064,95565,48744,46821,96232,49113,47119
.19,98341,50854,47487,98188,50724,47464,97309,50330,46979
.20,95544,49095,46449,96498,49588,46910,97368,50119,47249
.21,95631,49309,46322,95795,49372,46423,98614,50809,47805
.22,95483,49377,46106,96064,49648,46416,97801,50337,47464
.23,96972,49830,47142,97373,50033,47340,99540,50994,48546
.24,96840,49842,46998,96823,49808,47015,98568,50758,47810
.25,97161,50088,47073,97548,50295,47253,98472,50665,47807
.26,98633,51209,47424,98828,51279,47549,99156,51325,47831
.27,99715,51661,48054,99659,51698,47961,100405,52102,48303
.28,101623,52287,49336,101685,52455,49230,101157,52469,48688
.29,102748,53056,49692,102848,53039,49809,103480,53394,50086
.30,101106,52279,48827,102389,52903,49486,104456,53984,50472
.31,96614,49902,46712,97606,50403,47203,103542,53465,50077
.32,94555,48851,45704,95397,49278,46119,99180,51211,47969
.33,92963,48119,44844,93493,48355,45138,96438,49785,46653
.34,93890,48662,45228,93980,48721,45259,94806,49183,45623
.35,92321,47713,44608,93429,48302,45127,95089,49222,45867
.36,91301,47180,44121,91280,47148,44132,94566,48870,45696
.37,93109,47969,45140,92966,47905,45061,92107,47578,44529
.38,92682,47428,45254,93474,47910,45564,93985,48385,45600
.39,92517,47257,45260,92413,47194,45219,94144,48108,46036
.40,90863,46494,44369,92186,47152,45034,93394,47649,45745
.41,86177,43864,42313,87219,44434,42785,92628,47388,45240
.42,85420,43226,42194,85504,43350,42154,88046,44691,43355
.43,83795,42339,41456,84798,42833,41965,85769,43493,42276
.44,82819,41734,41085,82751,41728,41023,85464,43083,42381
.45,83913,42195,41718,84156,42296,41860,83063,41780,41283
.46,82000,41236,40764,82450,41432,41018,84663,42470,42193
.47,81940,41284,40656,81971,41264,40707,82768,41588,41180
.48,85713,43015,42698,85053,42704,42349,82359,41333,41026
.49,90507,45503,45004,89975,45217,44758,85667,42817,42850
.50,87085,43840,43245,88250,44379,43871,90658,45504,45154
.51,83755,42083,41672,84517,42430,42087,89014,44484,44530
.52,81293,40694,40599,82048,41129,40919,85134,42643,42491
.53,81190,40399,40791,81352,40494,40858,82506,41290,41216
.54,82069,40671,41398,81922,40640,41282,81849,40653,41196
.55,85842,42338,43504,85305,42077,43228,82542,40851,41691
.56,87560,43041,44519,87701,43144,44557,86166,42355,43811
.57,88145,43207,44938,88323,43274,45049,88363,43245,45118
.58,89286,43794,45492,89302,43746,45556,89004,43454,45550
.59,88886,43290,45596,89433,43576,45857,90067,43957,46110
.60,87645,42555,45090,88270,42877,45393,90316,43895,46421
.61,86782,41671,45111,87128,41947,45181,89305,43347,45958
.62,87417,41778,45639,87382,41794,45588,88063,42312,45751
.63,85329,40571,44758,86869,41352,45517,88304,42114,46190
.64,83647,39653,43994,83879,39739,44140,87755,41708,46047
.65,82704,39105,43599,83306,39382,43924,84818,40006,44812
.66,81433,38155,43278,82112,38518,43594,84001,39647,44354
.67,79485,37120,42365,80027,37397,42630,82412,38650,43762
.68,78182,36557,41625,78188,36521,41667,80041,37374,42667
.69,74441,34742,39699,75932,35417,40515,78036,36398,41638
.70,74132,34766,39366,74233,34759,39474,75860,35332,40528
.71,73577,34658,38919,73849,34714,39135,73725,34502,39223
.72,75179,35574,39605,73809,34871,38938,73097,34244,38853
.73,76252,36514,39738,79451,37990,41461,72910,34380,38530
.74,54458,25543,28915,56255,26463,29792,78100,37280,40820
.75,54306,25486,28820,54387,25490,28897,55214,25891,29323
.76,53897,25462,28435,53334,25115,28219,53027,24804,28223
.77,52712,24835,27877,53923,25426,28497,51825,24363,27462
.78,45030,21005,24025,45805,21415,24390,52170,24534,27636
.79,40323,18859,21464,40915,19076,21839,44015,20472,23543
.80,36532,16951,19581,37140,17214,19926,39203,18210,20993
.81,33808,15854,17954,33922,15861,18061,35137,16199,18938
.82,30577,14365,16212,31091,14540,16551,31946,14809,17137
.83,26783,12485,14298,27056,12597,14459,28839,13383,15456
.84,24211,11126,13085,24372,11237,13135,24979,11509,13470
.85+,131790,54944,76846,132141,55286,76855,133691,56776,76915
,,,,,,,,,
.Median Age (years),38.3,37.2,39.4,38.4,37.3,39.5,38.6,37.5,39.7
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Arizona: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-04)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
