table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Colorado: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,5773714,2924416,2849298,5784308,2929987,2854321,5812069,2944650,2867419
.0,62235,31778,30457,61998,31608,30390,60341,30934,29407
.1,62397,31780,30617,62318,31749,30569,61611,31520,30091
.2,64059,32472,31587,63733,32353,31380,62056,31645,30411
.3,66244,33889,32355,65562,33479,32083,63635,32333,31302
.4,67766,34582,33184,67593,34518,33075,65517,33395,32122
.5,68376,34811,33565,68285,34778,33507,67490,34452,33038
.6,67991,34625,33366,68191,34735,33456,68188,34750,33438
.7,67893,34559,33334,67885,34558,33327,68104,34726,33378
.8,69049,35559,33490,68578,35208,33370,67791,34532,33259
.9,70541,36327,34214,70129,36141,33988,68292,35075,33217
.10,72845,37451,35394,72289,37169,35120,69913,36065,33848
.11,74414,38332,36082,73715,37954,35761,72012,37019,34993
.12,76259,39233,37026,76113,39174,36939,73168,37654,35514
.13,76288,39148,37140,76162,39121,37041,75777,38982,36795
.14,74775,38320,36455,75097,38501,36596,75752,38898,36854
.15,74363,37989,36374,74515,38101,36414,74809,38325,36484
.16,75007,38373,36634,74934,38309,36625,74271,38013,36258
.17,73438,37696,35742,73868,37892,35976,74729,38277,36452
.18,73738,38271,35467,73714,38249,35465,74833,38824,36009
.19,75273,39354,35919,75235,39356,35879,74830,39248,35582
.20,72387,38140,34247,73093,38488,34605,73674,38644,35030
.21,72140,37920,34220,72246,37985,34261,73940,38915,35025
.22,73446,38336,35110,74070,38661,35409,74732,39033,35699
.23,76074,39424,36650,76318,39525,36793,76636,39623,37013
.24,79294,41114,38180,79117,40982,38135,79391,40929,38462
.25,83361,43508,39853,83247,43447,39800,82449,42819,39630
.26,86916,45240,41676,86853,45237,41616,85846,44757,41089
.27,90545,47026,43519,90070,46847,43223,89024,46338,42686
.28,93302,48762,44540,93295,48762,44533,92095,48150,43945
.29,94136,49191,44945,94268,49240,45028,94635,49453,45182
.30,93406,48539,44867,94430,49122,45308,95436,49882,45554
.31,91208,47476,43732,91642,47704,43938,95406,49615,45791
.32,90205,46996,43209,90529,47145,43384,92066,47940,44126
.33,90622,47706,42916,90572,47574,42998,91216,47667,43549
.34,90712,47703,43009,90815,47739,43076,90551,47592,42959
.35,89022,46628,42394,90094,47251,42843,91252,48053,43199
.36,87382,45654,41728,87310,45610,41700,89862,47146,42716
.37,87441,45657,41784,87633,45758,41875,87468,45674,41794
.38,85699,44658,41041,86509,45091,41418,87624,45725,41899
.39,84960,44148,40812,84942,44192,40750,86380,45056,41324
.40,81990,42384,39606,83243,43092,40151,84395,43825,40570
