table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Hawaii: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,1455271,733024,722247,1451911,731305,720606,1441553,725333,716220
.0,16714,8562,8152,16523,8515,8008,15810,8136,7674
.1,16966,8660,8306,16828,8592,8236,16204,8352,7852
.2,17416,8996,8420,17245,8883,8362,16495,8410,8085
.3,17781,9300,8481,17609,9188,8421,16909,8691,8218
.4,18134,9415,8719,17966,9345,8621,17367,9109,8258
.5,18062,9339,8723,18006,9339,8667,17636,9179,8457
.6,18181,9474,8707,18108,9417,8691,17712,9183,8529
.7,18493,9559,8934,18335,9502,8833,17881,9314,8567
.8,18095,9243,8852,18031,9228,8803,17966,9304,8662
.9,17870,9248,8622,17846,9200,8646,17740,9096,8644
.10,17097,8757,8340,17230,8839,8391,17578,9076,8502
.11,17107,8704,8403,16936,8624,8312,16972,8706,8266
.12,17422,8986,8436,17339,8919,8420,16664,8471,8193
.13,16782,8686,8096,16828,8695,8133,16994,8700,8294
.14,16274,8302,7972,16304,8366,7938,16537,8532,8005
.15,16251,8305,7946,16182,8260,7922,16032,8209,7823
.16,16357,8446,7911,16268,8381,7887,15890,8137,7753
.17,15891,8301,7590,15969,8305,7664,16012,8230,7782
.18,15180,7810,7370,15184,7870,7314,15449,8106,7343
.19,15642,8333,7309,15592,8320,7272,15065,8093,6972
.20,16854,9355,7499,16899,9359,7540,16796,9279,7517
.21,17858,9978,7880,17652,9888,7764,17496,9813,7683
.22,17981,9991,7990,17946,9955,7991,17715,9846,7869
.23,18146,9811,8335,18083,9786,8297,17719,9596,8123
.24,18638,10039,8599,18466,9939,8527,18026,9653,8373
.25,19210,10265,8945,18991,10142,8849,18114,9667,8447
.26,19784,10554,9230,19574,10427,9147,18532,9800,8732
.27,19959,10472,9487,19795,10414,9381,18888,9922,8966
.28,20437,10661,9776,20196,10555,9641,19169,10091,9078
.29,20900,10952,9948,20712,10828,9884,19732,10309,9423
.30,20716,10711,10005,20798,10776,10022,20571,10762,9809
.31,20182,10356,9826,20104,10318,9786,20289,10416,9873
.32,20019,10274,9745,19916,10213,9703,19781,10116,9665
.33,20210,10421,9789,20077,10343,9734,19678,10040,9638
.34,20062,10348,9714,20012,10330,9682,19700,10039,9661
.35,19972,10296,9676,20004,10301,9703,19860,10241,9619
.36,20102,10339,9763,19866,10218,9648,19745,10152,9593
.37,20319,10342,9977,20231,10322,9909,19693,10072,9621
.38,20033,10257,9776,20088,10260,9828,19925,10167,9758
.39,19829,10141,9688,19711,10096,9615,19936,10188,9748
.40,19550,10032,9518,19678,10092,9586,19385,9863,9522
.41,18468,9477,8991,18584,9514,9070,19259,9813,9446
.42,17845,9133,8712,17849,9141,8708,18294,9354,8940
.43,17292,8788,8504,17414,8843,8571,17565,8955,8610
.44,16870,8485,8385,16828,8499,8329,17254,8753,8501
.45,16753,8486,8267,16813,8505,8308,16676,8437,8239
.46,16604,8310,8294,16570,8305,8265,16695,8405,8290
.47,16724,8543,8181,16620,8449,8171,16384,8220,8164
.48,17343,8832,8511,17134,8723,8411,16400,8330,8070
.49,18404,9389,9015,18110,9240,8870,17004,8646,8358
.50,18320,9308,9012,18347,9326,9021,17868,9097,8771
.51,17435,8737,8698,17550,8831,8719,18151,9224,8927
.52,16945,8409,8536,17032,8461,8571,17292,8679,8613
.53,17038,8570,8468,16874,8450,8424,16873,8358,8515
.54,17436,8726,8710,17270,8662,8608,16716,8360,8356
.55,18186,9073,9113,17979,8976,9003,17132,8578,8554
.56,18392,9120,9272,18312,9088,9224,17751,8850,8901
.57,18691,9353,9338,18605,9282,9323,18066,8962,9104
.58,18608,9391,9217,18591,9364,9227,18392,9149,9243
.59,18764,9372,9392,18552,9290,9262,18332,9206,9126
.60,18932,9473,9459,19001,9481,9520,18329,9168,9161
.61,18552,9225,9327,18438,9172,9266,18687,9300,9387
.62,18518,9124,9394,18509,9143,9366,18201,9029,9172
.63,18317,9013,9304,18340,9021,9319,18173,8949,9224
.64,18169,8830,9339,18096,8807,9289,18092,8901,9191
.65,17969,8813,9156,17940,8762,9178,17745,8580,9165
.66,17563,8577,8986,17614,8605,9009,17672,8605,9067
.67,17625,8582,9043,17419,8485,8934,17346,8452,8894
.68,16628,8105,8523,16825,8199,8626,17188,8325,8863
.69,15949,7696,8253,15986,7717,8269,16520,8012,8508
.70,16157,7841,8316,16140,7830,8310,15769,7555,8214
.71,15439,7490,7949,15490,7492,7998,15786,7618,8168
.72,15082,7331,7751,15007,7271,7736,15199,7315,7884
.73,14683,7165,7518,15038,7348,7690,14666,7063,7603
.74,11311,5384,5927,11631,5571,6060,14731,7161,7570
.75,11306,5333,5973,11242,5302,5940,11332,5398,5934
.76,10554,4983,5571,10675,5031,5644,10919,5114,5805
.77,9481,4471,5010,9687,4566,5121,10388,4859,5529
.78,8288,3859,4429,8474,3932,4542,9372,4388,4984
.79,7569,3471,4098,7640,3505,4135,8167,3760,4407
.80,6921,3087,3834,7026,3151,3875,7338,3324,4014
.81,6250,2764,3486,6303,2787,3516,6744,2989,3755
.82,5878,2528,3350,5876,2535,3341,5997,2612,3385
.83,5296,2240,3056,5352,2257,3095,5606,2388,3218
.84,4963,1991,2972,4966,2020,2946,5003,2092,2911
.85+,39277,14125,25152,39034,14016,25018,38816,13934,24882
,,,,,,,,,
.Median Age (years),39.7,38.5,41.1,39.8,38.6,41.2,40.2,39,41.6
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Hawaii: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-15)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
