table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Indiana: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,6785528,3366999,3418529,6785644,3367242,3418402,6805985,3377670,3428315
.0,80250,41064,39186,79614,40785,38829,77027,39393,37634
.1,81440,41627,39813,81123,41465,39658,80626,41283,39343
.2,83599,42867,40732,83268,42658,40610,81983,41882,40101
.3,84421,43464,40957,84041,43227,40814,84075,43016,41059
.4,86580,44515,42065,86359,44392,41967,84598,43530,41068
.5,87295,44778,42517,87248,44768,42480,86948,44680,42268
.6,86646,44605,42041,87080,44818,42262,87760,45060,42700
.7,87109,44585,42524,87040,44626,42414,87588,45138,42450
.8,87142,44757,42385,86988,44623,42365,87414,44796,42618
.9,87506,44750,42756,87401,44766,42635,87403,44800,42603
.10,90126,46211,43915,89519,45848,43671,87682,44947,42735
.11,92584,47298,45286,91721,46882,44839,89883,46048,43835
.12,95438,48707,46731,95195,48576,46619,92151,47129,45022
.13,95031,48542,46489,95084,48579,46505,95531,48867,46664
.14,93112,47856,45256,93548,47993,45555,95425,48841,46584
.15,92358,47485,44873,92662,47616,45046,93897,48143,45754
.16,93818,48111,45707,93625,48062,45563,93065,47866,45199
.17,92299,47343,44956,92747,47576,45171,93950,48257,45693
.18,88591,45768,42823,87825,45360,42465,88512,45749,42763
.19,98606,50533,48073,98017,50211,47806,95990,49181,46809
.20,99102,50674,48428,99769,51031,48738,99931,51179,48752
.21,97121,49072,48049,97024,49036,47988,99118,50091,49027
.22,94016,48142,45874,94092,48195,45897,95510,48941,46569
.23,90119,46056,44063,90209,46069,44140,91040,46473,44567
.24,88785,45287,43498,88475,45081,43394,88798,45132,43666
.25,88805,45141,43664,88692,45131,43561,88362,44984,43378
.26,89496,45643,43853,89422,45599,43823,88685,45326,43359
.27,91061,46169,44892,90434,45919,44515,89493,45579,43914
.28,92850,46720,46130,92488,46658,45830,90844,46053,44791
.29,92197,46085,46112,92410,46230,46180,93057,47029,46028
.30,89707,45040,44667,90828,45517,45311,92673,46438,46235
.31,87183,43908,43275,87572,44090,43482,91268,45689,45579
.32,85468,42997,42471,85810,43152,42658,88133,44394,43739
.33,84823,42511,42312,84938,42611,42327,86190,43316,42874
.34,86067,43174,42893,85823,43044,42779,85312,42844,42468
.35,85707,43067,42640,86322,43359,42963,86278,43234,43044
.36,85187,42904,42283,84820,42670,42150,86524,43392,43132
.37,87340,43869,43471,86986,43707,43279,85097,42760,42337
.38,87225,43988,43237,87579,44131,43448,87311,43912,43399
.39,87772,44097,43675,87432,43968,43464,87759,44166,43593
.40,87051,43676,43375,87710,44016,43694,87532,43994,43538
.41,84360,42424,41936,84914,42662,42252,87951,44075,43876
.42,83221,42034,41187,83101,41962,41139,84941,42694,42247
.43,80590,40532,40058,81725,41143,40582,83116,41869,41247
.44,78942,39505,39437,78604,39404,39200,81701,41127,40574
.45,79755,40076,39679,79937,40132,39805,78533,39416,39117
.46,78173,39263,38910,78218,39277,38941,79675,39933,39742
.47,80690,40568,40122,79826,40123,39703,78216,39218,38998
.48,85465,43238,42227,84189,42515,41674,79494,39879,39615
.49,90427,45844,44583,89551,45397,44154,83982,42397,41585
.50,85449,43208,42241,86723,43876,42847,89265,45195,44070
.51,82271,41649,40622,82659,41814,40845,86494,43734,42760
.52,80424,40442,39982,80528,40545,39983,82300,41630,40670
.53,82372,41132,41240,81772,40880,40892,80112,40285,39827
.54,83824,41810,42014,83117,41485,41632,81268,40581,40687
.55,88437,44048,44389,87204,43420,43784,82430,41114,41316
.56,90392,45111,45281,89991,44889,45102,86608,43038,43570
.57,89696,44318,45378,89783,44458,45325,89152,44376,44776
.58,91388,45075,46313,90633,44665,45968,88892,43890,45002
.59,91164,44922,46242,91427,45042,46385,89791,44146,45645
.60,89272,44121,45151,89284,44065,45219,90291,44367,45924
.61,88412,43373,45039,88136,43271,44865,88171,43423,44748
.62,88393,43414,44979,88013,43198,44815,86947,42561,44386
.63,85063,41707,43356,86258,42254,44004,86761,42323,44438
.64,82258,39950,42308,82156,39947,42209,84783,41372,43411
.65,79871,38805,41066,80014,38816,41198,80755,39099,41656
.66,76676,36973,39703,77283,37296,39987,78573,37987,40586
.67,73709,35302,38407,73841,35391,38450,75752,36340,39412
.68,71364,34098,37266,71126,33981,37145,72347,34483,37864
