table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Kansas: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,2937880,1471910,1465970,2935880,1470866,1465014,2934582,1470491,1464091
.0,35362,18102,17260,35024,17864,17160,33442,17101,16341
.1,35876,18328,17548,35678,18232,17446,35059,17815,17244
.2,36824,19029,17795,36611,18873,17738,35774,18239,17535
.3,37708,19456,18252,37352,19287,18065,36494,18812,17682
.4,38688,19758,18930,38552,19725,18827,37378,19291,18087
.5,38829,19713,19116,38796,19716,19080,38563,19737,18826
.6,39014,19943,19071,39000,19914,19086,38783,19705,19078
.7,39248,20044,19204,39117,19982,19135,38937,19880,19057
.8,39384,20229,19155,39203,20102,19101,39080,19957,19123
.9,39929,20425,19504,39746,20359,19387,39232,20122,19110
.10,41211,21131,20080,40851,20919,19932,39661,20359,19302
.11,41830,21465,20365,41483,21273,20210,40736,20840,19896
.12,42752,21914,20838,42697,21892,20805,41390,21216,20174
.13,42427,21740,20687,42446,21758,20688,42505,21776,20729
.14,41420,21228,20192,41618,21334,20284,42389,21704,20685
.15,40783,20967,19816,40950,21036,19914,41519,21360,20159
.16,41334,21332,20002,41245,21279,19966,40864,21026,19838
.17,40826,21083,19743,40969,21169,19800,41258,21355,19903
.18,39633,20560,19073,39506,20494,19012,40089,20783,19306
.19,42735,22403,20332,42567,22313,20254,41968,22020,19948
.20,44339,23142,21197,44539,23247,21292,44642,23331,21311
.21,43239,22405,20834,43148,22376,20772,43963,22876,21087
.22,42223,21858,20365,42319,21938,20381,42841,22242,20599
.23,41263,21548,19715,41302,21570,19732,41387,21740,19647
.24,39410,20489,18921,39229,20422,18807,38931,20299,18632
.25,39089,20251,18838,38950,20189,18761,38378,19921,18457
.26,38436,20099,18337,38471,20070,18401,38274,19778,18496
.27,38704,20209,18495,38445,20085,18360,37855,19691,18164
.28,38787,20034,18753,38741,20059,18682,38084,19807,18277
.29,37724,19238,18486,37950,19401,18549,38541,19846,18695
.30,37227,19124,18103,37487,19206,18281,37911,19366,18545
.31,37038,19102,17936,36947,19042,17905,37601,19272,18329
.32,36837,18795,18042,36822,18827,17995,36983,19024,17959
.33,37412,19041,18371,37223,18955,18268,37050,18926,18124
.34,38446,19484,18962,38139,19355,18784,37221,18920,18301
.35,38944,19771,19173,39003,19789,19214,38160,19357,18803
.36,38786,19584,19202,38539,19463,19076,38989,19715,19274
.37,39288,19807,19481,39196,19754,19442,38514,19488,19026
.38,39081,19914,19167,39222,19915,19307,39035,19675,19360
.39,38789,19893,18896,38697,19814,18883,39129,19925,19204
.40,37874,19446,18428,38275,19647,18628,38631,19849,18782
.41,36012,18411,17601,36346,18589,17757,38153,19558,18595
.42,35154,17933,17221,35130,17927,17203,36179,18501,17678
.43,34160,17319,16841,34582,17559,17023,35006,17847,17159
.44,33032,16850,16182,32999,16812,16187,34506,17533,16973
.45,32842,16717,16125,33016,16823,16193,32812,16728,16084
.46,31595,16056,15539,31763,16155,15608,32849,16743,16106
.47,31784,16102,15682,31605,16014,15591,31514,16008,15506
.48,33679,17149,16530,33177,16879,16298,31543,16040,15503
.49,35532,18035,17497,35162,17866,17296,32916,16705,16211
.50,34193,17291,16902,34489,17434,17055,34838,17664,17174
.51,33037,16676,16361,33148,16734,16414,34319,17343,16976
.52,31889,16189,15700,32023,16218,15805,33016,16653,16363
.53,32679,16505,16174,32427,16389,16038,31901,16168,15733
.54,33666,16929,16737,33258,16745,16513,32098,16205,15893
.55,35794,17898,17896,35200,17605,17595,32926,16536,16390
.56,37141,18579,18562,36831,18402,18429,34899,17379,17520
.57,37872,18684,19188,37658,18633,19025,36558,18213,18345
.58,38883,19238,19645,38493,19035,19458,37203,18431,18772
.59,38842,19088,19754,38913,19140,19773,38069,18758,19311
.60,38112,18713,19399,38102,18700,19402,38320,18850,19470
.61,37824,18601,19223,37689,18518,19171,37659,18454,19205
.62,37529,18429,19100,37422,18366,19056,37085,18140,18945
.63,36648,18010,18638,37042,18188,18854,36858,18061,18797
.64,35573,17538,18035,35481,17476,18005,36476,17873,18603
.65,34639,17133,17506,34705,17141,17564,34911,17128,17783
.66,33252,16142,17110,33491,16324,17167,34065,16747,17318
.67,31870,15494,16376,31982,15525,16457,32855,15916,16939
.68,30863,14915,15948,30738,14878,15860,31376,15160,16216
.69,28320,13721,14599,28996,14010,14986,30136,14513,15623
.70,27054,13115,13939,27124,13135,13989,28337,13625,14712
.71,25938,12464,13474,26097,12536,13561,26506,12761,13745
