table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Kentucky: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,4505836,2233040,2272796,4503958,2231966,2271992,4509394,2233889,2275505
.0,52581,26936,25645,51980,26625,25355,50391,25682,24709
.1,53404,27408,25996,53064,27208,25856,52199,26639,25560
.2,54433,28017,26416,54257,27881,26376,53196,27305,25891
.3,54863,28045,26818,54559,27938,26621,54404,27976,26428
.4,55842,28628,27214,55776,28562,27214,54931,28115,26816
.5,56067,28811,27256,56041,28772,27269,55781,28621,27160
.6,55921,28723,27198,56109,28848,27261,56200,28801,27399
.7,55994,28889,27105,55935,28827,27108,56249,28921,27328
.8,55568,28660,26908,55524,28640,26884,56042,28853,27189
.9,55585,28852,26733,55544,28802,26742,55692,28731,26961
.10,57014,29352,27662,56659,29218,27441,55788,28907,26881
.11,59079,30115,28964,58378,29832,28546,56845,29312,27533
.12,60590,30920,29670,60507,30864,29643,58582,29927,28655
.13,60590,31079,29511,60541,31022,29519,60809,30995,29814
.14,58959,30245,28714,59345,30443,28902,60738,31112,29626
.15,58635,29971,28664,58784,30058,28726,59511,30488,29023
.16,59089,30219,28870,59119,30239,28880,59014,30178,28836
.17,58324,29985,28339,58632,30119,28513,59540,30490,29050
.18,57523,29544,27979,57188,29363,27825,57735,29631,28104
.19,59116,30493,28623,58843,30341,28502,57827,29772,28055
.20,59660,30988,28672,59947,31130,28817,59924,31167,28757
.21,59501,30607,28894,59380,30571,28809,60433,31208,29225
.22,59349,30314,29035,59501,30427,29074,60131,30818,29313
.23,59248,30497,28751,59314,30448,28866,59974,30596,29378
.24,58739,30294,28445,58491,30175,28316,58630,30125,28505
.25,58952,30562,28390,58773,30452,28321,58152,29954,28198
.26,58775,30328,28447,58716,30305,28411,58130,29928,28202
.27,59623,30683,28940,59240,30521,28719,58656,30197,28459
.28,61317,31215,30102,60876,31093,29783,59289,30459,28830
.29,62474,31500,30974,62188,31422,30766,61003,31169,29834
.30,60990,30483,30507,61714,30884,30830,62285,31437,30848
.31,57996,29051,28945,58558,29332,29226,61685,30864,30821
.32,55760,28206,27554,56175,28305,27870,58412,29181,29231
.33,54909,27836,27073,55047,27907,27140,56272,28390,27882
.34,55044,27844,27200,55006,27819,27187,55293,27956,27337
.35,55144,27794,27350,55373,27917,27456,55038,27773,27265
.36,55456,27737,27719,55011,27560,27451,55764,28171,27593
.37,57117,28566,28551,56782,28399,28383,55149,27588,27561
.38,57056,28566,28490,57235,28630,28605,56795,28383,28412
.39,58125,29139,28986,57665,28888,28777,57237,28567,28670
.40,57676,28919,28757,58051,29085,28966,57542,28770,28772
.41,56317,28315,28002,56542,28389,28153,58192,29189,29003
.42,55995,28152,27843,55725,27998,27727,56515,28273,28242
.43,54581,27393,27188,55256,27738,27518,55596,27953,27643
.44,53327,26774,26553,53109,26679,26430,55321,27790,27531
.45,53697,26948,26749,53842,26997,26845,52972,26538,26434
.46,53110,26645,26465,52999,26584,26415,53817,27003,26814
.47,54729,27473,27256,54114,27151,26963,52824,26522,26302
.48,58549,29473,29076,57493,28902,28591,53861,26933,26928
.49,61298,30947,30351,60895,30749,30146,57448,28931,28517
.50,57840,28943,28897,58691,29403,29288,60593,30483,30110
.51,56594,28230,28364,56621,28250,28371,58474,29343,29131
.52,55654,27680,27974,55623,27666,27957,56260,27969,28291
.53,56787,28376,28411,56465,28158,28307,55319,27523,27796
.54,58015,28892,29123,57428,28633,28795,56066,27952,28114
.55,61483,30274,31209,60467,29806,30661,56856,28217,28639
.56,62504,30742,31762,62322,30661,31661,59856,29478,30378
.57,62003,30401,31602,62097,30464,31633,61804,30327,31477
.58,62607,30445,32162,62202,30290,31912,61492,30096,31396
.59,61614,30131,31483,62013,30264,31749,61487,29859,31628
.60,60761,29759,31002,60642,29670,30972,61267,29901,31366
.61,60400,29341,31059,60154,29258,30896,59818,29152,30666
.62,60152,29054,31098,59910,28942,30968,59189,28699,30490
.63,57997,28019,29978,58810,28379,30431,58932,28337,30595
.64,56317,27062,29255,56165,26990,29175,57907,27821,30086
.65,55152,26509,28643,55112,26453,28659,55120,26394,28726
.66,52972,25367,27605,53414,25561,27853,54098,25784,28314
.67,50845,24121,26724,50975,24215,26760,52372,24967,27405
.68,49802,23602,26200,49447,23418,26029,49900,23601,26299
.69,46006,21746,24260,47014,22216,24798,48273,22749,25524
.70,44718,21086,23632,44617,21036,23581,45815,21505,24310
.71,43857,20697,23160,43841,20650,23191,43415,20339,23076
.72,43455,20368,23087,42576,19980,22596,42487,19859,22628
.73,43175,20207,22968,45065,21067,23998,41264,19175,22089
.74,29780,13617,16163,30769,14126,16643,43396,20131,23265
.75,29440,13417,16023,29324,13345,15979,29495,13400,16095
.76,29118,13138,15980,28666,12923,15743,28060,12658,15402
.77,28234,12627,15607,28749,12865,15884,27204,12154,15050
.78,24223,10706,13517,24422,10809,13613,27262,12106,15156
.79,21923,9535,12388,21999,9562,12437,22937,10078,12859
.80,20020,8567,11453,20131,8617,11514,20654,8893,11761
.81,18850,7994,10856,18690,7909,10781,18650,7863,10787
.82,17022,7210,9812,17233,7265,9968,17257,7195,10062
.83,14475,5976,8499,14662,6067,8595,15777,6600,9177
.84,13425,5444,7981,13306,5415,7891,13211,5341,7870
.85+,74925,25616,49309,74533,25574,48959,73613,25651,47962
,,,,,,,,,
.Median Age (years),39.1,37.9,40.3,39.1,37.9,40.3,39.2,38,40.4
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Kentucky: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-21)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
