table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Louisiana: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,4657757,2284251,2373506,4651203,2280509,2370694,4624047,2265191,2358856
.0,56953,29052,27901,55989,28634,27355,55418,28289,27129
.1,57597,29361,28236,57261,29200,28061,55433,28358,27075
.2,59434,30372,29062,58959,30110,28849,56579,28843,27736
.3,60554,30894,29660,59974,30623,29351,58384,29837,28547
.4,61864,31409,30455,61516,31238,30278,59335,30250,29085
.5,61562,31181,30381,61606,31236,30370,61035,31014,30021
.6,61040,31208,29832,61149,31206,29943,61134,30977,30157
.7,59831,30571,29260,59981,30647,29334,60593,30916,29677
.8,59686,30517,29169,59464,30403,29061,59423,30383,29040
.9,60018,30760,29258,59765,30613,29152,59141,30290,28851
.10,61435,31229,30206,60936,31033,29903,59277,30296,28981
.11,63685,32595,31090,62798,32084,30714,60564,30809,29755
.12,65602,33414,32188,65331,33314,32017,62474,31895,30579
.13,64929,33162,31767,64952,33164,31788,64901,33113,31788
.14,62412,31848,30564,62898,32100,30798,64605,33003,31602
.15,61347,31342,30005,61549,31435,30114,62519,31873,30646
.16,61254,31332,29922,61326,31373,29953,61168,31264,29904
.17,60555,30968,29587,60617,30995,29622,60960,31138,29822
.18,58098,29826,28272,57651,29575,28076,57439,29448,27991
.19,57366,29194,28172,57052,29040,28012,55526,28261,27265
.20,59231,30077,29154,59529,30213,29316,59056,29907,29149
.21,60089,30557,29532,59970,30498,29472,61053,31016,30037
.22,60489,30429,30060,60604,30515,30089,60797,30700,30097
.23,60549,30632,29917,60576,30655,29921,60543,30721,29822
.24,59852,30331,29521,59468,30073,29395,59134,29853,29281
.25,60637,30673,29964,60158,30413,29745,58054,29393,28661
.26,62201,31320,30881,61726,31103,30623,58952,29760,29192
.27,63631,32007,31624,62982,31674,31308,60580,30429,30151
.28,65911,32853,33058,65251,32625,32626,62313,31326,30987
.29,68034,33585,34449,67257,33239,34018,64278,32038,32240
.30,66917,32823,34094,67332,33032,34300,66200,32619,33581
.31,65275,32232,33043,65301,32171,33130,66254,32469,33785
.32,63626,31709,31917,63742,31687,32055,64667,31885,32782
.33,63298,31509,31789,63081,31367,31714,62708,30990,31718
.34,64354,31984,32370,63914,31765,32149,62491,31048,31443
.35,64025,31617,32408,64241,31742,32499,62753,30929,31824
.36,63817,31681,32136,63357,31415,31942,63718,31578,32140
.37,64522,31935,32587,64280,31815,32465,62533,30846,31687
.38,63702,31532,32170,64007,31616,32391,63406,31242,32164
.39,63223,31363,31860,62890,31173,31717,63250,31149,32101
.40,61093,30329,30764,61898,30714,31184,62208,30807,31401
.41,58460,29144,29316,58889,29287,29602,61276,30349,30927
.42,56900,28154,28746,56824,28156,28668,58162,28826,29336
.43,55181,27252,27929,55918,27627,28291,56376,27975,28401
.44,52711,25978,26733,52706,25996,26710,55420,27394,28026
.45,51793,25705,26088,52168,25825,26343,52058,25608,26450
.46,51119,25438,25681,50994,25339,25655,51812,25599,26213
.47,52551,26096,26455,51994,25814,26180,50559,25074,25485
.48,55301,27398,27903,54564,27025,27539,51455,25525,25930
.49,57750,28273,29477,57299,28113,29186,53904,26621,27283
.50,55653,27274,28379,56115,27467,28648,56604,27701,28903
.51,55061,27146,27915,54787,26965,27822,55559,27158,28401
.52,54474,26742,27732,54439,26729,27710,54141,26561,27580
.53,55799,27245,28554,55326,27042,28284,53920,26490,27430
.54,57246,27885,29361,56673,27626,29047,54745,26664,28081
.55,60303,29299,31004,59389,28826,30563,55840,27118,28722
.56,61477,29991,31486,61231,29819,31412,58729,28450,30279
.57,61667,29902,31765,61551,29868,31683,60438,29338,31100
.58,62493,30154,32339,62090,29955,32135,60490,29217,31273
.59,62133,29962,32171,62165,29950,32215,61088,29357,31731
.60,61911,29908,32003,61722,29800,31922,61001,29263,31738
.61,61063,29606,31457,60965,29469,31496,60833,29232,31601
.62,60163,28905,31258,59997,28858,31139,59847,28817,31030
.63,58845,28186,30659,59437,28465,30972,58914,28213,30701
.64,57710,27638,30072,57444,27469,29975,58210,27753,30457
.65,56009,26671,29338,56140,26745,29395,56205,26751,29454
.66,53135,25209,27926,53722,25478,28244,54959,26047,28912
.67,50673,24034,26639,50871,24098,26773,52469,24723,27746
.68,48989,23061,25928,48782,23002,25780,49812,23527,26285
.69,45798,21267,24531,46588,21647,24941,47486,22247,25239
.70,43875,20272,23603,44018,20342,23676,45400,20982,24418
.71,42191,19631,22560,42341,19622,22719,42809,19666,23143
.72,41930,19496,22434,41152,19122,22030,41031,18908,22123
.73,41429,19261,22168,43053,20014,23039,39788,18374,21414
.74,29272,13228,16044,30140,13695,16445,41450,19175,22275
.75,29065,13041,16024,28971,13003,15968,28963,13009,15954
.76,28241,12582,15659,27904,12430,15474,27745,12364,15381
.77,27385,12139,15246,27811,12294,15517,26568,11717,14851
.78,23579,10258,13321,23760,10349,13411,26387,11600,14787
.79,21289,9114,12175,21467,9184,12283,22387,9613,12774
.80,19549,8336,11213,19738,8410,11328,20179,8552,11627
.81,18155,7573,10582,18061,7570,10491,18384,7724,10660
.82,16687,6906,9781,16775,6919,9856,16739,6942,9797
.83,14555,5963,8592,14708,6032,8676,15404,6277,9127
.84,13406,5339,8067,13330,5349,7981,13390,5406,7984
.85+,75083,26176,48907,74846,26186,48660,74255,26322,47933
,,,,,,,,,
.Median Age (years),37.6,36.6,38.7,37.7,36.6,38.8,38,36.9,39.1
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Louisiana: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-22)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
