table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Michigan: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,10077331,4993618,5083713,10067664,4988745,5078919,10050811,4980579,5070232
.0,108323,55392,52931,107959,55138,52821,102347,52212,50135
.1,109901,56181,53720,109356,55879,53477,108557,55462,53095
.2,112808,57592,55216,112305,57340,54965,109794,56099,53695
.3,115472,59119,56353,114528,58635,55893,112763,57620,55143
.4,117570,60315,57255,117330,60144,57186,114894,58811,56083
.5,118300,60556,57744,118212,60535,57677,117531,60197,57334
.6,117996,60599,57397,118303,60729,57574,118416,60630,57786
.7,117557,60135,57422,117590,60196,57394,118444,60876,57568
.8,118274,60852,57422,117806,60515,57291,117784,60251,57533
.9,119255,61502,57753,118927,61330,57597,117829,60552,57277
.10,122867,63008,59859,121902,62580,59322,119010,61310,57700
.11,125740,64403,61337,124584,63836,60748,122179,62679,59500
.12,129529,66495,63034,129171,66257,62914,124698,63858,60840
.13,130352,66937,63415,130012,66777,63235,129325,66342,62983
.14,128725,65941,62784,129020,66115,62905,130074,66801,63273
.15,129089,66272,62817,129089,66228,62861,129176,66268,62908
.16,131942,67400,64542,131418,67224,64194,129116,66194,62922
.17,130535,66823,63712,130875,66994,63881,131442,67365,64077
.18,133232,68045,65187,131866,67329,64537,131482,67124,64358
.19,131021,66831,64190,130162,66427,63735,126914,64875,62039
.20,133861,67778,66083,134560,68117,66443,133849,67813,66036
.21,136538,69145,67393,135788,68777,67011,137191,69433,67758
.22,135780,68963,66817,135527,68848,66679,135614,68871,66743
.23,134331,68271,66060,134197,68182,66015,134198,68397,65801
.24,132187,67804,64383,131297,67280,64017,130497,66638,63859
.25,132534,67990,64544,131751,67572,64179,128735,65860,62875
.26,133480,68408,65072,133025,68182,64843,130259,66768,63491
.27,134812,68942,65870,133958,68559,65399,132238,67796,64442
.28,137738,70026,67712,137068,69831,67237,133891,68418,65473
.29,140952,71451,69501,140105,70988,69117,136940,69627,67313
.30,136392,68975,67417,138128,69798,68330,140073,70827,69246
.31,127990,64808,63182,129693,65663,64030,138353,69854,68499
.32,123755,62580,61175,124461,62881,61580,129840,65608,64232
.33,120995,61246,59749,121505,61507,59998,124687,62931,61756
.34,122818,62139,60679,122311,61877,60434,121722,61671,60051
.35,121807,61520,60287,122710,62007,60703,122297,61842,60455
.36,120737,61030,59707,120234,60744,59490,123041,62188,60853
.37,122998,61898,61100,122573,61723,60850,120143,60578,59565
.38,122864,61878,60986,123304,62070,61234,122676,61748,60928
.39,123215,61874,61341,122664,61656,61008,123300,62085,61215
.40,121722,60911,60811,122766,61477,61289,122751,61625,61126
.41,119123,59386,59737,119525,59616,59909,122679,61383,61296
.42,117512,58728,58784,117203,58550,58653,119446,59553,59893
.43,113799,56865,56934,115376,57636,57740,116964,58358,58606
.44,112032,55753,56279,111332,55485,55847,115137,57462,57675
.45,113301,56250,57051,113429,56330,57099,111039,55279,55760
.46,113556,56402,57154,112965,56098,56867,113110,56233,56877
.47,117986,58666,59320,116444,57842,58602,112450,55833,56617
.48,127265,63604,63661,124862,62317,62545,115937,57522,58415
.49,136648,68406,68242,134830,67501,67329,124209,61969,62240
.50,131712,65937,65775,133008,66573,66435,134326,67255,67071
.51,128448,64403,64045,128521,64383,64138,132266,66161,66105
.52,127118,63605,63513,126966,63525,63441,127880,63991,63889
.53,130298,64886,65412,129278,64403,64875,126102,62965,63137
.54,132323,65958,66365,131252,65410,65842,128327,63946,64381
.55,138305,68587,69718,136568,67764,68804,130144,64783,65361
.56,142404,70889,71515,141520,70365,71155,135335,67079,68256
.57,143019,70969,72050,142796,70897,71899,140279,69625,70654
.58,145511,72189,73322,144441,71632,72809,141264,69965,71299
.59,144698,71231,73467,145133,71579,73554,142906,70774,72132
.60,142633,70273,72360,142422,70116,72306,143575,70667,72908
.61,143196,70554,72642,142247,69998,72249,140634,69050,71584
.62,144049,70570,73479,143065,70150,72915,140248,68824,71424
.63,139338,67923,71415,141118,68853,72265,140767,68895,71872
.64,134471,65290,69181,134318,65214,69104,138935,67518,71417
.65,130222,62958,67264,130580,63123,67457,132032,63879,68153
.66,125336,60460,64876,126297,60893,65404,128148,61704,66444
.67,120951,58170,62781,121141,58234,62907,123871,59509,64362
.68,117833,56632,61201,117207,56297,60910,118675,56803,61872
.69,108086,51358,56728,110652,52659,57993,114586,54789,59797
.70,103492,49097,54395,103792,49216,54576,108066,51203,56863
.71,100326,47332,52994,100565,47442,53123,101024,47702,53322
.72,99576,46853,52723,97655,45948,51707,97761,45915,51846
.73,98404,46537,51867,102710,48511,54199,94666,44268,50398
.74,68457,31761,36696,70690,32882,37808,99249,46646,52603
.75,67631,31308,36323,67521,31229,36292,68153,31464,36689
.76,67933,31169,36764,66573,30546,36027,64728,29779,34949
.77,67926,30955,36971,68728,31321,37407,63659,29000,34659
.78,57935,26120,31815,58634,26458,32176,65484,29552,35932
.79,50433,22469,27964,51289,22848,28441,55528,24871,30657
.80,45429,19996,25433,46012,20238,25774,48438,21333,27105
.81,42950,18739,24211,42639,18640,23999,43149,18801,24348
.82,39186,16682,22504,39582,16875,22707,39666,17158,22508
.83,34760,14467,20293,34947,14596,20351,36500,15332,21168
.84,32433,13336,19097,32143,13211,18932,31891,13081,18810
.85+,193293,67860,125433,191648,67394,124254,187508,66596,120912
,,,,,,,,,
.Median Age (years),40,38.8,41.1,40,38.8,41.2,40.1,39,41.3
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Michigan: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-26)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
