table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Mississippi: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,2961279,1442538,1518741,2956870,1440031,1516839,2949965,1435336,1514629
.0,35138,17923,17215,34606,17601,17005,34518,17650,16868
.1,35604,18156,17448,35419,18043,17376,34517,17604,16913
.2,36362,18485,17877,36184,18391,17793,35499,18080,17419
.3,36532,18519,18013,36322,18437,17885,36144,18314,17830
.4,37117,18778,18339,36957,18681,18276,36213,18419,17794
.5,37234,18758,18476,37205,18766,18439,36888,18642,18246
.6,37051,18903,18148,37126,18897,18229,37095,18797,18298
.7,37107,18825,18282,37043,18819,18224,37048,18830,18218
.8,37854,19182,18672,37557,19042,18515,36933,18784,18149
.9,38127,19496,18631,37973,19383,18590,37483,18997,18486
.10,39746,20434,19312,39270,20171,19099,37892,19318,18574
.11,42124,21494,20630,41353,21130,20223,39222,20146,19076
.12,43857,22448,21409,43613,22306,21307,41291,21066,20225
.13,44099,22670,21429,43969,22589,21380,43572,22248,21324
.14,41919,21373,20546,42356,21635,20721,44016,22618,21398
.15,40980,21037,19943,41210,21126,20084,42325,21676,20649
.16,41154,21130,20024,41140,21129,20011,41254,21141,20113
.17,40250,20573,19677,40366,20617,19749,40925,20881,20044
.18,39486,20183,19303,39250,20082,19168,39420,20217,19203
.19,41024,20952,20072,40701,20773,19928,39677,20271,19406
.20,40452,20591,19861,40644,20665,19979,40173,20410,19763
.21,39900,20074,19826,39909,20108,19801,40848,20658,20190
.22,39872,20175,19697,39904,20210,19694,40078,20298,19780
.23,39032,19808,19224,39041,19779,19262,39283,19831,19452
.24,38401,19369,19032,38072,19197,18875,37974,19185,18789
.25,38334,19115,19219,38061,19033,19028,36917,18549,18368
.26,38915,19566,19349,38727,19449,19278,37548,18721,18827
.27,39457,19703,19754,39079,19504,19575,38018,18938,19080
.28,40201,20051,20150,39938,19947,19991,38825,19381,19444
.29,40409,19987,20422,40237,19919,20318,39463,19622,19841
.30,39842,19584,20258,40104,19719,20385,40067,19820,20247
.31,38111,18649,19462,38348,18788,19560,39794,19478,20316
.32,36263,17796,18467,36520,17886,18634,38068,18641,19427
.33,35888,17567,18321,35869,17575,18294,36355,17784,18571
.34,36514,17875,18639,36223,17704,18519,35712,17402,18310
.35,36776,17896,18880,36891,17990,18901,36195,17688,18507
.36,36686,17862,18824,36392,17694,18698,36700,17843,18857
.37,37918,18594,19324,37599,18393,19206,36211,17569,18642
.38,38111,18724,19387,38122,18689,19433,37414,18277,19137
.39,38643,19013,19630,38271,18824,19447,37940,18586,19354
.40,37820,18523,19297,38221,18712,19509,37931,18518,19413
.41,36455,17660,18795,36734,17848,18886,38233,18725,19508
.42,36083,17470,18613,35879,17357,18522,36496,17647,18849
.43,35303,17164,18139,35725,17317,18408,35695,17224,18471
.44,34587,16742,17845,34392,16673,17719,35560,17240,18320
.45,34392,16676,17716,34572,16739,17833,34106,16478,17628
.46,34026,16490,17536,33904,16414,17490,34398,16641,17757
.47,35251,16978,18273,34826,16785,18041,33770,16322,17448
.48,37233,18152,19081,36729,17845,18884,34659,16663,17996
.49,39041,19139,19902,38759,18999,19760,36705,17857,18848
.50,37048,18075,18973,37488,18291,19197,38502,18775,19727
.51,35792,17441,18351,35836,17448,18388,37305,18123,19182
.52,35340,17251,18089,35405,17277,18128,35761,17412,18349
.53,35555,17329,18226,35395,17249,18146,35206,17157,18049
.54,36483,17772,18711,36130,17603,18527,35160,17069,18091
.55,38443,18638,19805,37897,18374,19523,35779,17385,18394
.56,39184,19026,20158,39060,18964,20096,37651,18211,19440
.57,39355,19172,20183,39257,19101,20156,38782,18824,19958
.58,39923,19273,20650,39674,19174,20500,38858,18808,20050
.59,39570,18976,20594,39668,19053,20615,39299,18960,20339
.60,39169,18687,20482,39120,18662,20458,39199,18770,20429
.61,38423,18321,20102,38388,18276,20112,38648,18371,20277
.62,38065,18343,19722,37927,18221,19706,37914,17971,19943
.63,37462,17895,19567,37731,18031,19700,37468,17912,19556
.64,36294,17212,19082,36221,17196,19025,37121,17690,19431
.65,35583,16823,18760,35591,16819,18772,35661,16826,18835
.66,33924,15837,18087,34280,16030,18250,34909,16401,18508
.67,32210,15028,17182,32345,15069,17276,33556,15588,17968
.68,31412,14579,16833,31193,14464,16729,31617,14620,16997
.69,29588,13665,15923,30060,13874,16186,30482,14049,16433
.70,28647,13346,15301,28656,13306,15350,29270,13455,15815
.71,27751,12896,14855,27804,12893,14911,27901,12888,15013
.72,27673,12860,14813,27150,12589,14561,26919,12410,14509
.73,27502,12910,14592,28547,13352,15195,26222,12096,14126
.74,19327,8756,10571,19911,9083,10828,27432,12712,14720
.75,19032,8492,10540,18975,8495,10480,19081,8625,10456
.76,18647,8329,10318,18405,8208,10197,18116,8032,10084
.77,18158,7988,10170,18412,8129,10283,17498,7701,9797
.78,15610,6812,8798,15706,6862,8844,17396,7584,9812
.79,14268,6048,8220,14313,6077,8236,14762,6395,8367
.80,13033,5372,7661,13101,5423,7678,13281,5537,7744
.81,12310,5103,7207,12196,5050,7146,12249,4997,7252
.82,11261,4616,6645,11292,4610,6682,11220,4595,6625
.83,9744,3922,5822,9852,3974,5878,10358,4136,6222
.84,8982,3553,5429,8899,3528,5371,8878,3521,5357
.85+,47830,15880,31950,47673,15896,31777,47436,16035,31401
,,,,,,,,,
.Median Age (years),38.1,36.8,39.4,38.2,36.8,39.5,38.4,37,39.7
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Mississippi: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-28)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
