table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for New Hampshire: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,1377529,686969,690560,1377848,687214,690634,1388992,693132,695860
.0,12082,6158,5924,12053,6167,5886,11431,5849,5582
.1,12352,6238,6114,12274,6212,6062,12317,6335,5982
.2,12585,6394,6191,12562,6374,6188,12632,6417,6215
.3,13071,6718,6353,12928,6634,6294,12760,6440,6320
.4,13430,6866,6564,13396,6858,6538,13152,6748,6404
.5,13523,6943,6580,13526,6935,6591,13578,6956,6622
.6,13558,6958,6600,13594,6979,6615,13680,7017,6663
.7,13898,7126,6772,13820,7087,6733,13795,7072,6723
.8,13895,7159,6736,13861,7136,6725,14031,7222,6809
.9,14406,7460,6946,14276,7384,6892,14018,7202,6816
.10,14667,7480,7187,14624,7482,7142,14423,7456,6967
.11,15217,7830,7387,15031,7720,7311,14773,7576,7197
.12,15724,8115,7609,15680,8084,7596,15093,7755,7338
.13,16031,8220,7811,15947,8194,7753,15806,8174,7632
.14,15970,8171,7799,15994,8187,7807,16043,8254,7789
.15,16175,8293,7882,16154,8280,7874,16117,8242,7875
.16,16634,8430,8204,16551,8418,8133,16198,8314,7884
.17,16659,8523,8136,16647,8503,8144,16529,8404,8125
.18,17676,8873,8803,17544,8793,8751,17664,8830,8834
.19,18548,9297,9251,18533,9286,9247,18466,9232,9234
.20,18578,9358,9220,18623,9367,9256,18629,9324,9305
.21,18475,9241,9234,18356,9200,9156,18392,9237,9155
.22,17235,8840,8395,17184,8820,8364,17281,8861,8420
.23,16212,8401,7811,16144,8358,7786,16186,8382,7804
.24,16474,8618,7856,16346,8546,7800,16338,8532,7806
.25,16682,8712,7970,16656,8696,7960,16704,8686,8018
.26,17096,8866,8230,17081,8883,8198,17182,8986,8196
.27,17498,9068,8430,17402,9023,8379,17628,9218,8410
.28,17652,9080,8572,17673,9109,8564,17877,9262,8615
.29,17522,9104,8418,17625,9133,8492,18033,9327,8706
.30,17538,9155,8383,17696,9211,8485,18257,9458,8799
.31,17536,9049,8487,17540,9082,8458,18361,9586,8775
.32,17509,8974,8535,17544,8998,8546,18129,9438,8691
.33,17566,8986,8580,17568,8987,8581,18140,9283,8857
.34,17533,8944,8589,17583,8974,8609,17997,9217,8780
.35,17165,8751,8414,17374,8865,8509,18051,9182,8869
.36,16683,8488,8195,16735,8523,8212,17746,9084,8662
.37,17015,8666,8349,16993,8660,8333,17011,8669,8342
.38,16829,8646,8183,16968,8697,8271,17274,8822,8452
.39,16739,8488,8251,16732,8518,8214,17222,8828,8394
.40,16258,8212,8046,16493,8335,8158,17030,8653,8377
.41,15752,7930,7822,15845,7973,7872,16658,8424,8234
.42,15505,7733,7772,15503,7748,7755,16063,8088,7975
.43,14982,7463,7519,15219,7585,7634,15642,7857,7785
.44,15021,7511,7510,14879,7439,7440,15353,7655,7698
.45,15393,7666,7727,15380,7660,7720,14918,7466,7452
.46,15605,7843,7762,15513,7779,7734,15562,7766,7796
.47,16442,8231,8211,16195,8111,8084,15618,7844,7774
.48,18157,9043,9114,17721,8840,8881,16304,8173,8131
.49,19662,9924,9738,19382,9760,9622,17772,8858,8914
.50,19156,9661,9495,19327,9744,9583,19449,9762,9687
.51,19191,9620,9571,19113,9591,9522,19374,9751,9623
.52,19022,9481,9541,18984,9468,9516,19126,9583,9543
.53,19789,9900,9889,19605,9803,9802,19057,9504,9553
.54,20307,10094,10213,20113,10023,10090,19642,9811,9831
.55,21552,10721,10831,21237,10547,10690,20109,10002,10107
.56,22285,11040,11245,22165,10986,11179,21273,10549,10724
.57,22419,11098,11321,22415,11093,11322,22109,10953,11156
.58,22767,11288,11479,22655,11216,11439,22425,11061,11364
.59,22730,11289,11441,22858,11357,11501,22736,11243,11493
.60,22302,11073,11229,22331,11081,11250,22852,11330,11522
.61,22295,11027,11268,22196,10980,11216,22269,11037,11232
.62,21791,10904,10887,21865,10907,10958,22185,10980,11205
.63,20957,10381,10576,21329,10594,10735,21785,10840,10945
.64,19952,9917,10035,20043,9941,10102,21216,10521,10695
.65,19401,9574,9827,19497,9633,9864,19872,9818,10054
.66,18557,9092,9465,18777,9219,9558,19332,9504,9828
.67,17702,8709,8993,17829,8752,9077,18545,9077,9468
.68,17059,8349,8710,17040,8354,8686,17598,8568,9030
.69,15459,7523,7936,15893,7737,8156,16782,8200,8582
.70,15010,7290,7720,15006,7282,7724,15641,7580,8061
.71,14889,7225,7664,14881,7205,7676,14712,7116,7596
.72,15171,7364,7807,14791,7169,7622,14561,7021,7540
.73,14921,7237,7684,15663,7589,8074,14388,6929,7459
.74,10011,4723,5288,10444,4959,5485,15260,7352,7908
.75,9888,4677,5211,9899,4678,5221,10139,4783,5356
.76,9723,4632,5091,9603,4563,5040,9520,4474,5046
.77,9571,4499,5072,9758,4598,5160,9199,4353,4846
.78,8059,3722,4337,8210,3797,4413,9363,4361,5002
.79,6908,3159,3749,7068,3230,3838,7815,3585,4230
.80,6176,2789,3387,6280,2834,3446,6713,3019,3694
.81,5790,2615,3175,5785,2602,3183,5958,2655,3303
.82,5258,2315,2943,5308,2345,2963,5410,2413,2997
.83,4685,1985,2700,4707,2004,2703,4898,2113,2785
.84,4533,1896,2637,4513,1893,2620,4391,1805,2586
.85+,27828,9857,17971,27712,9847,17865,27424,9818,17606
,,,,,,,,,
.Median Age (years),43,41.8,44.2,43,41.9,44.2,43,41.8,44.2
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for New Hampshire: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-33)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
