table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for New York: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,20201249,9872633,10328616,20154933,9849952,10304981,19835913,9695302,10140611
.0,229460,117178,112282,225596,115252,110344,211231,107724,103507
.1,228722,116680,112042,227515,116028,111487,217738,111187,106551
.2,231501,118572,112929,230021,117691,112330,220677,112564,108113
.3,232402,119109,113293,230677,118186,112491,223961,114587,109374
.4,233969,119764,114205,233099,119311,113788,225455,115500,109955
.5,234317,119392,114925,233631,119213,114418,228151,116779,111372
.6,230554,118051,112503,231174,118290,112884,229243,117002,112241
.7,232417,118944,113473,231075,118264,112811,227049,116118,110931
.8,232992,119497,113495,231526,118662,112864,227349,116340,111009
.9,233941,120224,113717,233016,119728,113288,227793,116715,111078
.10,233619,119744,113875,233043,119527,113516,229617,117996,111621
.11,234913,120695,114218,233077,119675,113402,229737,117837,111900
.12,241027,123651,117376,240087,123170,116917,230037,118101,111936
.13,240249,123211,117038,239625,122981,116644,237465,121884,115581
.14,236704,121235,115469,237010,121401,115609,236967,121783,115184
.15,238245,122044,116201,237684,121747,115937,234945,120371,114574
.16,243189,124526,118663,241957,123916,118041,235818,120792,115026
.17,242276,123929,118347,242084,123802,118282,240090,122752,117338
.18,254804,129143,125661,252805,128137,124668,250889,127228,123661
.19,255097,128747,126350,253564,128009,125555,246666,124639,122027
.20,255999,129305,126694,256700,129618,127082,252740,127648,125092
.21,253729,127349,126380,252356,126655,125701,251290,126395,124895
.22,249382,124322,125060,249502,124351,125151,242820,121714,121106
