table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Oklahoma: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,3959353,1971726,1987627,3962031,1972799,1989232,3986639,1984300,2002339
.0,48113,24605,23508,47806,24450,23356,46696,23936,22760
.1,48890,25046,23844,48722,24932,23790,48313,24753,23560
.2,50061,25777,24284,49850,25620,24230,49136,25192,23944
.3,51616,26521,25095,51180,26308,24872,50467,25909,24558
.4,53217,27185,26032,53027,27116,25911,51757,26562,25195
.5,53270,27228,26042,53358,27271,26087,53564,27363,26201
.6,53524,27519,26005,53606,27534,26072,53762,27489,26273
.7,53736,27527,26209,53650,27510,26140,54097,27810,26287
.8,53517,27322,26195,53473,27308,26165,54124,27770,26354
.9,53797,27509,26288,53725,27490,26235,54064,27625,26439
.10,54873,28103,26770,54628,27954,26674,54069,27603,26466
.11,56176,28724,27452,55664,28478,27186,55056,28190,26866
.12,57287,29306,27981,57335,29340,27995,55975,28643,27332
.13,56935,29144,27791,56979,29163,27816,57758,29593,28165
.14,54914,28064,26850,55416,28356,27060,57273,29287,27986
.15,54304,27873,26431,54535,27935,26600,55574,28427,27147
.16,54564,27875,26689,54650,27955,26695,54829,28035,26794
.17,53777,27558,26219,54015,27660,26355,55016,28125,26891
.18,52378,27183,25195,52159,27075,25084,52889,27457,25432
.19,53904,27938,25966,53907,27948,25959,53822,27953,25869
.20,54700,28406,26294,55031,28575,26456,55345,28757,26588
.21,54703,28167,26536,54627,28105,26522,55568,28496,27072
.22,55105,28603,26502,55325,28736,26589,56036,29052,26984
.23,54168,28130,26038,54379,28228,26151,55854,29017,26837
.24,52912,27468,25444,52922,27423,25499,54157,27973,26184
.25,52340,27125,25215,52306,27107,25199,52120,26943,25177
.26,52717,27052,25665,52657,27058,25599,52291,26934,25357
.27,53816,27557,26259,53479,27399,26080,52834,27072,25762
.28,55678,28162,27516,55368,28089,27279,54032,27606,26426
.29,56025,28206,27819,55940,28163,27777,55627,28249,27378
.30,54618,27238,27380,55235,27573,27662,56175,28182,27993
.31,53122,26735,26387,53344,26784,26560,55554,27732,27822
.32,52055,26245,25810,52256,26332,25924,53773,26992,26781
.33,51723,26272,25451,51748,26215,25533,52469,26396,26073
.34,52835,26727,26108,52555,26612,25943,52055,26331,25724
.35,52943,26843,26100,53187,26931,26256,52826,26588,26238
.36,53359,27036,26323,52986,26844,26142,53494,27109,26385
.37,54613,27496,27117,54429,27426,27003,53419,27016,26403
.38,53660,27330,26330,54097,27475,26622,54682,27561,27121
.39,52933,26859,26074,52948,26867,26081,54335,27542,26793
.40,51748,26137,25611,52373,26478,25895,53133,26928,26205
.41,48888,24698,24190,49475,24995,24480,52600,26516,26084
.42,47612,24181,23431,47659,24186,23473,49642,25060,24582
.43,46402,23535,22867,47007,23833,23174,47683,24135,23548
.44,45458,22949,22509,45311,22924,22387,47040,23793,23247
.45,45435,22876,22559,45634,22974,22660,45326,22874,22452
.46,44002,22171,21831,44206,22264,21942,45771,23045,22726
.47,44848,22569,22279,44502,22353,22149,44255,22258,21997
.48,46934,23568,23366,46413,23331,23082,44569,22346,22223
.49,49122,25024,24098,48768,24773,23995,46377,23318,23059
.50,46980,23823,23157,47529,24096,23433,48674,24664,24010
.51,44934,22707,22227,45276,22906,22370,47473,24060,23413
.52,43500,21870,21630,43728,22006,21722,45213,22787,22426
.53,43793,21927,21866,43668,21862,21806,43592,21881,21711
.54,44982,22595,22387,44518,22348,22170,43481,21713,21768
.55,47763,23664,24099,47036,23338,23698,44219,22127,22092
.56,49553,24357,25196,49175,24204,24971,46875,23164,23711
.57,50651,25019,25632,50379,24821,25558,48950,24070,24880
.58,51421,25399,26022,51099,25201,25898,50061,24514,25547
.59,51052,25093,25959,51167,25148,26019,50594,24827,25767
.60,50428,24736,25692,50425,24736,25689,50760,24907,25853
.61,49235,23932,25303,49303,23990,25313,49917,24311,25606
.62,48987,23787,25200,48852,23704,25148,48893,23688,25205
.63,47599,22981,24618,48191,23293,24898,48329,23322,25007
.64,46384,22430,23954,46258,22319,23939,47614,22923,24691
.65,45276,21860,23416,45371,21909,23462,45535,21895,23640
.66,43559,20864,22695,43907,21046,22861,44684,21446,23238
.67,41717,19816,21901,41907,19934,21973,43171,20626,22545
.68,40068,18943,21125,39985,18896,21089,41070,19419,21651
.69,37271,17591,19680,38006,17905,20101,39184,18421,20763
.70,36132,17012,19120,36165,17025,19140,37123,17422,19701
.71,34894,16308,18586,35028,16352,18676,35149,16508,18641
.72,35012,16355,18657,34263,15979,18284,34079,15829,18250
.73,35093,16432,18661,36499,17094,19405,33181,15386,17795
.74,25148,11573,13575,25737,11857,13880,35256,16406,18850
.75,25484,11688,13796,25277,11569,13708,24711,11325,13386
.76,25221,11367,13854,24821,11219,13602,24313,11043,13270
.77,24053,10816,13237,24610,11050,13560,23744,10631,13113
.78,20726,9239,11487,20873,9293,11580,23278,10384,12894
.79,18856,8283,10573,18980,8339,10641,19723,8672,11051
.80,17433,7606,9827,17507,7632,9875,17789,7759,10030
.81,16228,7045,9183,16088,6990,9098,16312,7070,9242
.82,14667,6297,8370,14832,6344,8488,14797,6308,8489
.83,12837,5419,7418,12919,5452,7467,13595,5777,7818
.84,11911,4964,6947,11851,4941,6910,11734,4869,6865
.85+,67178,24556,42622,66949,24545,42404,66283,24603,41680
,,,,,,,,,
.Median Age (years),37,36,38,37,36,38,37.1,36.1,38.1
