table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Oregon: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,4237256,2112841,2124415,4241544,2114774,2126770,4246155,2116838,2129317
.0,41718,21364,20354,41853,21383,20470,39738,20428,19310
.1,42339,21737,20602,42155,21628,20527,41820,21423,20397
.2,43936,22521,21415,43632,22368,21264,42280,21663,20617
.3,45962,23571,22391,45344,23253,22091,43703,22367,21336
.4,47428,24224,23204,47237,24156,23081,45243,23186,22057
.5,48101,24750,23351,47984,24645,23339,47187,24138,23049
.6,48179,24779,23400,48283,24850,23433,47954,24618,23336
.7,48121,24712,23409,48118,24727,23391,48227,24794,23433
.8,48527,24981,23546,48314,24842,23472,47998,24630,23368
.9,49273,25160,24113,49068,25112,23956,48248,24780,23468
.10,50613,26015,24598,50308,25806,24502,48917,25036,23881
.11,51748,26554,25194,51277,26326,24951,50148,25767,24381
.12,53292,27274,26018,53170,27226,25944,51142,26257,24885
.13,52721,26981,25740,52814,27041,25773,53096,27155,25941
.14,51120,26257,24863,51511,26445,25066,52685,27006,25679
.15,50320,25907,24413,50571,26013,24558,51431,26425,25006
.16,51001,26146,24855,50947,26153,24794,50530,25996,24534
.17,50180,25815,24365,50478,25941,24537,51004,26212,24792
.18,49415,25365,24050,49201,25260,23941,49696,25547,24149
.19,49351,25177,24174,49132,25069,24063,48339,24656,23683
.20,50058,25696,24362,50348,25814,24534,50078,25578,24500
.21,50881,25760,25121,50787,25736,25051,51292,26000,25292
.22,51915,26131,25784,52027,26207,25820,51909,26209,25700
.23,53480,27191,26289,53433,27139,26294,53055,26913,26142
.24,54138,27551,26587,53978,27440,26538,53588,27137,26451
.25,55459,28290,27169,55424,28282,27142,54616,27910,26706
.26,56902,28924,27978,56827,28916,27911,55846,28489,27357
.27,58625,29870,28755,58324,29708,28616,57192,29087,28105
.28,61074,30791,30283,60808,30757,30051,59061,30196,28865
.29,63379,32014,31365,62968,31783,31185,61381,30994,30387
.30,62557,31887,30670,63251,32154,31097,63525,32119,31406
.31,60936,30901,30035,61276,31123,30153,63546,32250,31296
.32,60054,30464,29590,60346,30598,29748,61832,31453,30379
.33,60020,30566,29454,60084,30584,29500,60603,30758,29845
.34,60703,30893,29810,60641,30860,29781,60250,30651,29599
.35,60482,30803,29679,60975,31048,29927,60792,30864,29928
.36,60200,30600,29600,60007,30525,29482,61066,31142,29924
.37,61238,31053,30185,61133,30994,30139,60025,30524,29501
.38,60757,30757,30000,61172,30979,30193,61141,31061,30080
.39,60401,30693,29708,60376,30642,29734,61032,30917,30115
.40,59456,30144,29312,60112,30505,29607,60451,30724,29727
.41,56957,28982,27975,57468,29190,28278,59888,30339,29549
.42,56248,28618,27630,56197,28599,27598,57442,29177,28265
.43,54364,27686,26678,55183,28092,27091,55997,28477,27520
.44,52912,27007,25905,52845,26970,25875,55043,27967,27076
.45,52280,26829,25451,52657,26986,25671,52609,26814,25795
.46,50515,25798,24717,50822,25975,24847,52617,26961,25656
.47,50586,25680,24906,50436,25609,24827,50563,25777,24786
.48,53094,27309,25785,52472,26907,25565,50246,25544,24702
.49,56612,29141,27471,55981,28826,27155,52238,26799,25439
.50,54351,27616,26735,55005,28016,26989,55665,28593,27072
.51,51988,26334,25654,52399,26540,25859,54669,27794,26875
.52,49125,24831,24294,49723,25156,24567,52252,26509,25743
.53,49377,24906,24471,49289,24852,24437,49419,24936,24483
.54,49459,24963,24496,49297,24890,24407,49055,24712,24343
.55,51016,25608,25408,50626,25421,25205,48942,24645,24297
.56,52194,25991,26203,52026,25938,26088,50307,25189,25118
.57,53335,26209,27126,53111,26164,26947,51729,25712,26017
.58,54719,26799,27920,54246,26572,27674,52644,25840,26804
