table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Pennsylvania: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,13002700,6416266,6586434,12989625,6410245,6579380,12964056,6399810,6564246
.0,134536,68864,65672,133457,68225,65232,127582,65100,62482
.1,136840,70127,66713,136096,69694,66402,134571,68892,65679
.2,140284,72033,68251,139650,71660,67990,136973,70039,66934
.3,142618,73079,69539,141668,72641,69027,140134,71950,68184
.4,145449,74267,71182,145069,74088,70981,142094,72865,69229
.5,146956,75247,71709,146679,75020,71659,145356,74296,71060
.6,147037,75351,71686,147309,75510,71799,147198,75308,71890
.7,147278,75097,72181,147083,75099,71984,147556,75620,71936
.8,148037,75809,72228,147444,75418,72026,147280,75242,72038
.9,149017,76434,72583,148644,76241,72403,147414,75384,72030
.10,152843,78413,74430,151832,77873,73959,148833,76374,72459
.11,156888,80614,76274,155352,79792,75560,151958,77928,74030
.12,161182,82890,78292,160861,82695,78166,155457,79845,75612
.13,160632,82347,78285,160620,82459,78161,161039,82830,78209
.14,158358,81221,77137,158884,81476,77408,161035,82632,78403
.15,158392,81085,77307,158575,81244,77331,159178,81757,77421
.16,161577,82968,78609,161180,82778,78402,159098,81729,77369
.17,160100,82358,77742,160577,82601,77976,161253,82929,78324
.18,168146,85006,83140,166971,84385,82586,167823,84841,82982
.19,177039,89150,87889,176183,88717,87466,173029,87132,85897
.20,167608,84406,83202,168420,84823,83597,167798,84528,83270
.21,162160,82145,80015,161632,81859,79773,163689,82756,80933
.22,155746,78839,76907,155400,78736,76664,155944,79052,76892
.23,152791,77715,75076,152694,77655,75039,151943,77566,74377
.24,156642,79856,76786,155548,79271,76277,153787,78398,75389
.25,160049,81541,78508,159353,81183,78170,156291,79629,76662
.26,165041,83852,81189,164370,83620,80750,160688,81955,78733
.27,169296,86079,83217,168187,85555,82632,165653,84613,81040
.28,171923,87365,84558,171388,87174,84214,168532,85599,82933
.29,175484,89517,85967,174632,88961,85671,172208,87654,84554
.30,178428,90898,87530,178645,90963,87682,175517,89436,86081
.31,177363,90101,87262,177084,90014,87070,179224,91164,88060
.32,174204,88221,85983,174516,88356,86160,177357,90063,87294
.33,171582,87059,84523,171948,87191,84757,174679,88325,86354
