table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Texas: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,29145505,14550765,14594740,29217653,14585860,14631793,29527941,14735970,14791971
.0,371260,189451,181809,368023,187842,180181,360323,184093,176230
.1,376249,191720,184529,376388,191770,184618,372557,189997,182560
.2,388176,197917,190259,386271,196863,189408,380511,193925,186586
.3,401985,205572,196413,398390,203574,194816,389989,198771,191218
.4,415277,211587,203690,413677,210871,202806,402062,205478,196584
.5,418496,213068,205428,418912,213340,205572,417653,212883,204770
.6,414089,211997,202092,416420,213002,203418,422434,215138,207296
.7,410318,209084,201234,411584,209950,201634,419812,214668,205144
.8,409586,209461,200125,409143,208966,200177,414859,211670,203189
.9,416817,213016,203801,415629,212562,203067,412277,210506,201771
.10,428804,218832,209972,426677,217795,208882,418575,214075,204500
.11,437730,223636,214094,434310,221793,212517,429479,219201,210278
.12,447852,229452,218400,448189,229493,218696,437158,223295,213863
.13,442969,226692,216277,444254,227477,216777,450878,230826,220052
.14,432276,220985,211291,435281,222528,212753,446733,228677,218056
.15,428007,218638,209369,429865,219646,210219,437328,223341,213987
.16,428446,218275,210171,429236,218761,210475,431718,220425,211293
.17,422102,214889,207213,423842,215696,208146,431087,219609,211478
.18,407976,209622,198354,407304,209277,198027,413451,212175,201276
.19,408181,209858,198323,407910,209681,198229,406528,209137,197391
.20,399063,204969,194094,403456,207166,196290,409168,209630,199538
.21,392664,201400,191264,393619,201869,191750,406921,208286,198635
.22,393197,201064,192133,395649,202335,193314,402433,205340,197093
.23,398519,203725,194794,399535,204226,195309,404621,206794,197827
.24,403239,206664,196575,402259,205830,196429,407585,208084,199501
.25,406509,208174,198335,407006,208433,198573,408069,208384,199685
.26,414398,211625,202773,414503,211784,202719,412751,210876,201875
.27,423651,215977,207674,421735,215093,206642,420256,214218,206038
.28,430844,218064,212780,431076,218612,212464,427136,217459,209677
.29,432674,218550,214124,432905,218677,214228,435858,221027,214831
.30,429266,216769,212497,433354,218707,214647,437848,220980,216868
.31,422887,214642,208245,423810,214857,208953,438466,221320,217146
.32,420301,214012,206289,421219,214222,206997,427318,216357,210961
.33,420856,213901,206955,420961,213970,206991,425497,216439,209058
.34,423606,215372,208234,423723,215398,208325,424737,215705,209032
.35,420682,213609,207073,424137,215498,208639,426923,216848,210075
.36,417218,211844,205374,416671,211431,205240,427506,216956,210550
.37,424511,216279,208232,423983,215878,208105,420372,213470,206902
.38,419014,212866,206148,422954,214944,208010,426927,217068,209859
.39,416140,210555,205585,415688,210450,205238,425687,216152,209535
.40,406754,205802,200952,412667,208898,203769,417507,211202,206305
.41,388895,196545,192350,392663,198358,194305,415150,210170,204980
.42,383410,193407,190003,383651,193812,189839,394052,199069,194983
.43,375748,188985,186763,379895,191107,188788,385157,194501,190656
.44,370035,185813,184222,369431,185645,183786,380935,191380,189555
.45,369063,185215,183848,370938,186092,184846,370067,185865,184202
.46,361477,180744,180733,362653,181467,181186,371297,186267,185030
.47,365844,183209,182635,364516,182383,182133,363505,181913,181592
.48,376111,188843,187268,374052,187644,186408,363815,181643,182172
.49,387197,194973,192224,386005,194221,191784,374265,187553,186712
.50,368143,184933,183210,372993,187470,185523,385382,193598,191784
.51,350284,175944,174340,353147,177316,175831,372278,186953,185325
.52,338269,170027,168242,341346,171500,169846,352466,176763,175703
.53,335009,167981,167028,335001,168019,166982,340715,170995,169720
.54,335807,168040,167767,335128,167791,167337,333279,166772,166507
.55,345708,171957,173751,343576,171069,172507,333875,166929,166946
.56,348281,173043,175238,348301,173012,175289,341496,169606,171890
.57,347453,172211,175242,347215,172117,175098,346339,171591,174748
.58,345834,171397,174437,345957,171296,174661,344846,170494,174352
.59,339689,167612,172077,340688,168160,172528,343036,169433,173603
.60,332131,163924,168207,334149,164807,169342,337607,166149,171458
.61,323098,158730,164368,324297,159393,164904,331021,162905,168116
.62,318780,156167,162613,317974,155740,162234,320943,157157,163786
.63,305938,148782,157156,310494,151140,159354,314571,153432,161139
.64,294904,142438,152466,295305,142678,152627,306862,148666,158196
.65,283716,136137,147579,285798,137217,148581,291387,140124,151263
.66,269498,128119,141379,272471,129629,142842,282022,134783,147239
.67,258300,122395,135905,259659,123056,136603,268850,127358,141492
.68,246165,116338,129827,246717,116571,130146,255878,120713,135165
.69,229262,107240,122022,233619,109449,124170,242226,113780,128446
.70,221183,103246,117937,222175,103589,118586,229353,106975,122378
.71,212994,99406,113588,213920,99668,114252,217481,100828,116653
.72,210923,98758,112165,208035,97234,110801,209123,96920,112203
.73,207648,97878,109770,215364,101282,114082,202863,94252,108611
