table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Vermont: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,643077,319825,323252,642495,319533,322962,645570,320850,324720
.0,5478,2802,2676,5529,2817,2712,5073,2625,2448
.1,5669,2894,2775,5608,2859,2749,5622,2875,2747
.2,5706,2906,2800,5697,2903,2794,5679,2881,2798
.3,6072,3116,2956,5966,3056,2910,5808,2958,2850
.4,6209,3136,3073,6197,3140,3057,6067,3120,2947
.5,6309,3282,3027,6290,3248,3042,6290,3183,3107
.6,6427,3348,3079,6422,3344,3078,6369,3286,3083
.7,6372,3299,3073,6388,3311,3077,6506,3404,3102
.8,6528,3366,3162,6481,3347,3134,6425,3314,3111
.9,6536,3422,3114,6532,3413,3119,6525,3375,3150
.10,6726,3536,3190,6677,3503,3174,6597,3438,3159
.11,6917,3591,3326,6844,3564,3280,6696,3511,3185
.12,7232,3716,3516,7183,3699,3484,6868,3589,3279
.13,7335,3786,3549,7300,3766,3534,7225,3717,3508
.14,7191,3732,3459,7223,3746,3477,7302,3769,3533
.15,7155,3737,3418,7167,3735,3432,7230,3738,3492
.16,7440,3904,3536,7390,3873,3517,7243,3783,3460
.17,7441,3839,3602,7457,3865,3592,7451,3908,3543
.18,9544,4791,4753,9485,4772,4713,9593,4879,4714
.19,11488,5936,5552,11444,5912,5532,11241,5806,5435
.20,10860,5639,5221,10884,5642,5242,10764,5553,5211
.21,10214,5210,5004,10132,5181,4951,10090,5155,4935
.22,9032,4538,4494,8985,4531,4454,8989,4563,4426
.23,7911,4062,3849,7922,4061,3861,8052,4119,3933
.24,7574,3866,3708,7530,3831,3699,7465,3724,3741
.25,7681,3951,3730,7619,3916,3703,7453,3830,3623
.26,7717,3991,3726,7683,3971,3712,7666,3913,3753
.27,7731,3999,3732,7713,3983,3730,7591,3882,3709
.28,7696,3922,3774,7740,3957,3783,7860,4019,3841
.29,7696,3906,3790,7699,3912,3787,7942,4030,3912
.30,7530,3850,3680,7620,3883,3737,7916,4003,3913
.31,7435,3770,3665,7448,3783,3665,7875,4005,3870
.32,7651,3907,3744,7607,3874,3733,7677,3899,3778
.33,7672,3834,3838,7667,3850,3817,7818,4002,3816
.34,7627,3797,3830,7649,3812,3837,7861,3930,3931
.35,7638,3822,3816,7699,3849,3850,7835,3923,3912
.36,7768,3881,3887,7699,3847,3852,7895,3955,3940
.37,7872,3912,3960,7879,3918,3961,7928,3969,3959
.38,7761,3873,3888,7828,3901,3927,7972,3963,4009
.39,7735,3887,3848,7743,3884,3859,7982,3981,4001
.40,7668,3791,3877,7735,3843,3892,7849,3948,3901
.41,7364,3602,3762,7428,3636,3792,7845,3879,3966
.42,7347,3654,3693,7321,3627,3694,7566,3714,3852
.43,7075,3518,3557,7189,3577,3612,7412,3673,3739
.44,6946,3501,3445,6908,3472,3436,7298,3633,3665
.45,7076,3562,3514,7080,3566,3514,7015,3551,3464
.46,7096,3603,3493,7058,3570,3488,7114,3576,3538
.47,7204,3627,3577,7145,3602,3543,7052,3546,3506
.48,7827,3965,3862,7679,3890,3789,7209,3624,3585
.49,8621,4300,4321,8459,4234,4225,7691,3868,3823
.50,8421,4212,4209,8488,4241,4247,8509,4279,4230
.51,8223,4062,4161,8235,4082,4153,8441,4206,4235
.52,8099,3993,4106,8086,3995,4091,8241,4119,4122
.53,8424,4181,4243,8334,4126,4208,8092,3978,4114
.54,8663,4337,4326,8564,4281,4283,8358,4127,4231
.55,9157,4530,4627,9018,4473,4545,8546,4270,4276
.56,9463,4655,4808,9395,4626,4769,9055,4482,4573
.57,9663,4726,4937,9617,4712,4905,9338,4576,4762
.58,10077,4918,5159,9951,4853,5098,9606,4704,4902
.59,10205,5007,5198,10198,4990,5208,9925,4831,5094
.60,9878,4891,4987,9916,4899,5017,10123,4962,5161
.61,10083,4987,5096,9981,4934,5047,9839,4865,4974
.62,10087,4965,5122,10047,4950,5097,9955,4893,5062
.63,9816,4816,5000,9921,4862,5059,9961,4898,5063
.64,9585,4739,4846,9559,4709,4850,9831,4796,5035
.65,9466,4701,4765,9458,4692,4766,9426,4605,4821
.66,9116,4480,4636,9201,4539,4662,9302,4606,4696
.67,8878,4308,4570,8868,4308,4560,9083,4440,4643
.68,8612,4199,4413,8570,4172,4398,8725,4226,4499
.69,7995,3879,4116,8160,3957,4203,8477,4123,4354
.70,7682,3740,3942,7694,3739,3955,8010,3872,4138
.71,7538,3702,3836,7543,3690,3853,7561,3661,3900
.72,7434,3647,3787,7294,3572,3722,7353,3581,3772
.73,7312,3568,3744,7663,3740,3923,7132,3455,3677
.74,5100,2417,2683,5245,2504,2741,7471,3636,3835
.75,5096,2380,2716,5073,2375,2698,5115,2416,2699
.76,5022,2411,2611,4957,2356,2601,4894,2266,2628
.77,4866,2305,2561,4985,2364,2621,4806,2253,2553
.78,3988,1866,2122,4073,1914,2159,4808,2261,2547
.79,3608,1672,1936,3627,1678,1949,3900,1806,2094
.80,3130,1408,1722,3200,1453,1747,3425,1576,1849
.81,2948,1315,1633,2946,1316,1630,3065,1388,1677
.82,2711,1223,1488,2739,1235,1504,2755,1239,1516
.83,2353,1020,1333,2379,1037,1342,2580,1120,1460
.84,2185,946,1239,2192,954,1238,2207,959,1248
.85+,13393,4740,8653,13290,4729,8561,13163,4786,8377
,,,,,,,,,
.Median Age (years),42.8,41.7,44,42.8,41.7,44,42.9,41.7,44
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Vermont: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-50)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
