table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for Washington: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,7705281,3880428,3824853,7718785,3887728,3831057,7738692,3898267,3840425
.0,86062,44003,42059,85849,43881,41968,81060,41476,39584
.1,86721,44150,42571,86540,44086,42454,85811,43939,41872
.2,89374,45882,43492,88931,45570,43361,86255,44014,42241
.3,93263,47850,45413,92180,47311,44869,88914,45671,43243
.4,95229,49025,46204,95058,48899,46159,91977,47279,44698
.5,95204,48833,46371,95364,48976,46388,94729,48669,46060
.6,94217,48461,45756,94677,48696,45981,95004,48757,46247
.7,94501,48356,46145,94378,48383,45995,94242,48476,45766
.8,94203,48195,46008,94055,48119,45936,94213,48304,45909
.9,94802,48553,46249,94615,48481,46134,93623,47901,45722
.10,96953,49600,47353,96507,49373,47134,94118,48122,45996
.11,98806,50679,48127,98003,50211,47792,96100,49109,46991
.12,100519,51601,48918,100593,51619,48974,97548,49942,47606
.13,98597,50667,47930,98974,50855,48119,100099,51351,48748
.14,95287,48979,46308,96093,49400,46693,98772,50693,48079
.15,93770,47931,45839,94243,48221,46022,95815,49240,46575
.16,93952,47875,46077,94035,47943,46092,94013,48106,45907
.17,92461,46922,45539,92916,47212,45704,93829,47841,45988
.18,89082,45606,43476,88606,45313,43293,89330,45609,43721
.19,89010,45690,43320,88618,45478,43140,86629,44348,42281
.20,90586,47262,43324,91136,47564,43572,90722,47379,43343
.21,91586,47997,43589,91403,47869,43534,92040,47973,44067
.22,94857,49389,45468,95194,49585,45609,94355,49127,45228
.23,99234,51656,47578,99114,51583,47531,98388,51313,47075
.24,102907,53832,49075,102667,53649,49018,101310,52725,48585
.25,107066,55876,51190,106884,55821,51063,105018,54972,50046
.26,111251,57759,53492,111112,57781,53331,108644,56626,52018
.27,115267,59898,55369,114698,59649,55049,112835,58683,54152
.28,120715,62656,58059,120071,62408,57663,116106,60415,55691
.29,124350,64656,59694,123942,64380,59562,121385,63165,58220
.30,124013,64558,59455,125219,65146,60073,125309,65064,60245
.31,120679,62488,58191,121548,63039,58509,126022,65452,60570
.32,117518,60687,56831,118397,61159,57238,122136,63394,58742
.33,115930,59854,56076,116510,60179,56331,119046,61372,57674
.34,117026,60223,56803,117029,60332,56697,116884,60496,56388
.35,115719,59739,55980,116880,60327,56553,117477,60600,56877
.36,114281,59059,55222,114141,58969,55172,117019,60413,56606
.37,114456,58921,55535,114768,59107,55661,114106,58908,55198
.38,113319,58261,55058,114202,58758,55444,114812,59296,55516
.39,110818,57125,53693,111157,57264,53893,113942,58645,55297
.40,107031,54975,52056,108755,55919,52836,111026,57115,53911
.41,101873,52230,49643,102979,52774,50205,108235,55603,52632
.42,99339,50526,48813,99514,50756,48758,102640,52579,50061
.43,96054,49014,47040,97426,49656,47770,98972,50489,48483
.44,93343,47561,45782,93292,47565,45727,97075,49437,47638
.45,92488,47171,45317,93167,47503,45664,92913,47436,45477
.46,89524,45666,43858,89969,45867,44102,92621,47188,45433
.47,90101,45676,44425,89741,45561,44180,89672,45691,43981
.48,94961,48517,46444,93733,47784,45949,89189,45230,43959
.49,101661,52155,49506,100354,51476,48878,93075,47360,45715
.50,98966,50612,48354,99782,51051,48731,99729,51078,48651
.51,95699,48967,46732,96122,49161,46961,99138,50712,48426
.52,90997,46285,44712,91937,46815,45122,95590,48858,46732
.53,90238,45625,44613,90307,45695,44612,91326,46431,44895
.54,90611,45731,44880,90208,45547,44661,89450,45127,44323
.55,94849,47549,47300,93737,47022,46715,89419,45055,44364
.56,97622,48931,48691,97106,48673,48433,92829,46526,46303
.57,98971,49524,49447,98683,49382,49301,96195,48117,48078
.58,99834,49919,49915,99373,49674,49699,97512,48714,48798
.59,99245,49357,49888,99547,49571,49976,98314,49006,49308
.60,97669,48566,49103,97823,48598,49225,98463,48884,49579
.61,96571,47690,48881,96328,47598,48730,96566,47876,48690
.62,96744,47672,49072,96408,47501,48907,95002,46803,48199
.63,94247,46354,47893,95360,46892,48468,95057,46689,48368
.64,92227,44841,47386,91910,44766,47144,93869,46000,47869
.65,90402,43704,46698,90502,43758,46744,90657,43976,46681
.66,87616,42123,45493,88140,42408,45732,88986,42878,46108
.67,84788,40750,44038,84913,40775,44138,86576,41463,45113
.68,81329,38977,42352,81393,39022,42371,83436,39858,43578
.69,75185,35657,39528,76737,36438,40299,79765,38089,41676
.70,72934,34721,38213,73010,34694,38316,75184,35588,39596
.71,70684,33608,37076,71011,33704,37307,71330,33746,37584
.72,70247,33237,37010,68958,32638,36320,69283,32686,36597
.73,69388,33154,36234,72424,34502,37922,67041,31582,35459
.74,48900,22938,25962,50410,23703,26707,70273,33277,36996
.75,48512,22760,25752,48435,22675,25760,48836,22797,26039
.76,47263,22092,25171,46809,21857,24952,46766,21746,25020
.77,44819,20921,23898,45998,21458,24540,44986,20847,24139
.78,37729,17642,20087,38408,17893,20515,43937,20357,23580
