table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Annual Estimates of the Resident Population by Single Year of Age and Sex for West Virginia: April 1, 2020 to July 1, 2021",,,,,,,,,
.Age,"April 1, 2020 Estimates Base",,,Population Estimate (as of July 1),,,,,
,,,,2020,,,2021,,
,"Total
Population",Male,Female,"Total
Population",Male,Female,"Total
Population",Male,Female
Total,1793716,894426,899290,1789798,892431,897367,1782959,889098,893861
.0,17464,8964,8500,17533,9028,8505,17094,8724,8370
.1,17892,9234,8658,17718,9135,8583,17682,9146,8536
.2,18354,9443,8911,18246,9393,8853,17783,9149,8634
.3,18765,9581,9184,18581,9510,9071,18285,9388,8897
.4,19176,9812,9364,19135,9782,9353,18563,9497,9066
.5,19827,10070,9757,19670,10007,9663,19140,9781,9359
.6,20076,10297,9779,20061,10276,9785,19674,9989,9685
.7,20289,10388,9901,20193,10346,9847,20054,10324,9730
.8,20168,10434,9734,20115,10375,9740,20216,10376,9840
.9,20118,10356,9762,20093,10357,9736,20137,10366,9771
.10,20616,10525,10091,20478,10467,10011,20125,10403,9722
.11,21366,10997,10369,21095,10830,10265,20533,10477,10056
.12,22002,11344,10658,21930,11298,10632,21127,10845,10282
.13,21825,11271,10554,21837,11273,10564,21987,11340,10647
.14,21363,11053,10310,21464,11100,10364,21923,11292,10631
.15,21305,11018,10287,21339,11033,10306,21563,11142,10421
.16,21681,11136,10545,21616,11127,10489,21378,11072,10306
.17,21562,11081,10481,21612,11117,10495,21767,11242,10525
.18,21541,11299,10242,21361,11180,10181,21481,11207,10274
.19,21788,11465,10323,21723,11424,10299,21368,11204,10164
.20,22172,11492,10680,22271,11577,10694,22203,11606,10597
.21,22394,11317,11077,22360,11306,11054,22766,11535,11231
.22,22190,11486,10704,22207,11500,10707,22442,11600,10842
.23,21810,11173,10637,21761,11124,10637,21834,11169,10665
.24,21368,10958,10410,21278,10927,10351,21306,10971,10335
.25,21080,10986,10094,21021,10938,10083,20863,10803,10060
.26,20909,10845,10064,20862,10831,10031,20765,10774,9991
.27,21336,11051,10285,21169,10975,10194,20828,10849,9979
.28,22248,11364,10884,22020,11294,10726,21263,11025,10238
.29,22783,11653,11130,22637,11575,11062,22137,11373,10764
.30,22115,11170,10945,22340,11305,11035,22578,11521,11057
.31,21024,10816,10208,21178,10847,10331,22312,11268,11044
.32,20366,10461,9905,20508,10537,9971,21332,10963,10369
.33,20322,10403,9919,20253,10371,9882,20390,10418,9972
.34,20376,10516,9860,20364,10502,9862,20368,10512,9856
.35,20081,10313,9768,20202,10377,9825,20258,10419,9839
.36,20376,10426,9950,20153,10314,9839,20299,10415,9884
.37,21534,10905,10629,21240,10773,10467,20017,10242,9775
.38,21580,10932,10648,21627,10962,10665,21253,10810,10443
.39,22132,11236,10896,21926,11124,10802,21642,10924,10718
.40,22541,11372,11169,22515,11367,11148,21970,11115,10855
.41,22077,11208,10869,22161,11231,10930,22591,11395,11196
.42,22222,11169,11053,22054,11103,10951,22121,11200,10921
.43,21690,10859,10831,21935,10994,10941,21979,11040,10939
.44,21191,10766,10425,21096,10690,10406,21924,11017,10907
.45,21657,11030,10627,21605,10989,10616,21023,10647,10376
.46,21381,10839,10542,21334,10812,10522,21550,10926,10624
.47,22328,11321,11007,21980,11130,10850,21244,10751,10493
.48,23680,12038,11642,23290,11837,11453,21989,11125,10864
.49,24882,12723,12159,24657,12590,12067,23115,11705,11410
.50,23607,11954,11653,23920,12135,11785,24590,12531,12059
.51,22952,11620,11332,22999,11648,11351,23902,12158,11744
.52,22645,11522,11123,22598,11475,11123,22877,11584,11293
.53,23084,11638,11446,22899,11551,11348,22318,11264,11054
.54,23445,11893,11552,23242,11776,11466,22816,11521,11295
.55,24628,12360,12268,24280,12204,12076,23077,11730,11347
.56,24961,12301,12660,24902,12320,12582,24122,12093,12029
.57,24794,12194,12600,24787,12185,12602,24660,12209,12451
.58,25229,12399,12830,25030,12285,12745,24545,12037,12508
.59,25480,12501,12979,25474,12490,12984,24716,12058,12658
.60,25630,12573,13057,25421,12460,12961,25137,12287,12850
.61,26279,12885,13394,25940,12706,13234,25169,12299,12870
.62,26644,13176,13468,26393,13012,13381,25567,12483,13084
.63,25897,12755,13142,26190,12904,13286,26030,12794,13236
.64,25171,12169,13002,25068,12165,12903,25771,12647,13124
.65,25082,12184,12898,24957,12093,12864,24591,11883,12708
.66,24458,11939,12519,24547,11950,12597,24502,11831,12671
.67,24139,11584,12555,23996,11535,12461,24067,11643,12424
.68,23919,11541,12378,23667,11389,12278,23484,11241,12243
.69,22451,10800,11651,22844,10979,11865,23060,11042,12018
.70,22127,10611,11516,22005,10557,11448,22280,10668,11612
.71,21911,10509,11402,21852,10453,11399,21367,10202,11165
.72,21502,10385,11117,21105,10162,10943,21145,10043,11102
.73,21115,10251,10864,22101,10699,11402,20320,9736,10584
.74,14321,6797,7524,14838,7078,7760,21251,10188,11063
.75,14290,6765,7525,14200,6713,7487,14230,6734,7496
.76,13969,6594,7375,13785,6507,7278,13531,6378,7153
.77,13766,6414,7352,13965,6505,7460,13093,6114,6979
.78,11832,5408,6424,11896,5440,6456,13226,6094,7132
.79,10822,4919,5903,10841,4922,5919,11183,5063,6120
.80,9634,4236,5398,9742,4314,5428,10090,4507,5583
.81,9279,4097,5182,9164,4035,5129,9064,3974,5090
.82,8560,3740,4820,8558,3725,4833,8435,3672,4763
.83,7609,3204,4405,7626,3230,4396,7771,3356,4415
.84,6815,2870,3945,6825,2875,3950,6821,2871,3950
.85+,36646,13042,23604,36337,12994,23343,35909,13081,22828
,,,,,,,,,
.Median Age (years),42.8,41.6,44,42.8,41.6,44,42.8,41.6,44
"Notes: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates. Median age is calculated based on single year of age. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020.  ",,,,,,,,,
Suggested Citation:,,,,,,,,,
"Annual Estimates of the Resident Population by Single Year of Age and Sex for West Virginia: April 1, 2020 to July 1, 2021 (SC-EST2021-SYASEX-54)",,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,
Release Date: June 2022,,,,,,,,,
